key,text
MID_RELIANCE_A_#001,"[フォガート] 1 
[ユナカ] 2 
[ユナカ] 
フォガート氏！ 
フォガート氏ーーっ！"
MID_RELIANCE_A_#002,"[フォガート] 
おお、ユナカか。 
いつにも増して元気だな。"
MID_RELIANCE_A_#003,"[ユナカ] 
わたくしめ、フォガート氏に倣って 
人を信じるように努力してみたんです。"
MID_RELIANCE_A_#004,"[ユナカ] 
そうしたら、急にみんなが親切になって 
毎日が楽しくなってきたのですぞ。"
MID_RELIANCE_A_#005,"[フォガート] 
なるほど。 
そういうことか…"
MID_RELIANCE_A_#006,"[フォガート] 
それは急にみんなが変わったんじゃなくて、 
元々みんな親切だったんだよ。"
MID_RELIANCE_A_#007,"[ユナカ] 
そ、そう…なのですか？"
MID_RELIANCE_A_#008,"[フォガート] 
ああ。ユナカが変わったから、 
そう見えるようになったんだ。"
MID_RELIANCE_A_#009,"[ユナカ] 
わたくしめが…変わった…"
MID_RELIANCE_A_#010,"[フォガート] 
これはすごい成長だよ。"
MID_RELIANCE_A_#011,"[ユナカ] 
フォガート氏！ 
わたくしめは嬉しいですぞ！"
MID_RELIANCE_A_#012,"[ユナカ] 
心の持ちようで、こんなにも 
毎日が楽しくなるものなのですな！"
MID_RELIANCE_A_#013,"[フォガート] 
どうだい。今のユナカなら、 
宴にも行けそうかな？"
MID_RELIANCE_A_#014,"[ユナカ] 
そ、それは…まだ…ちょっとだけ 
大勢人がいる場は恐いですぞ。"
MID_RELIANCE_A_#015,"[ユナカ] 
人を信じるにしても… 
多少は警戒心が出てしまう気がします…"
MID_RELIANCE_A_#016,"[ユナカ] 
ですが…フォガート氏と 
宴をするのはとっても楽しそうです。"
MID_RELIANCE_A_#017,"[ユナカ] 
次は宴に参加できるようになるのを目標に 
努力したいと思いますぞ。"
MID_RELIANCE_A_#018,"[ユナカ] 
わたくしめ、毎日を楽しめるように、 
もっと変わってみせます。"
MID_RELIANCE_A_#019,"[フォガート] 
この調子ならきっと 
すぐに克服できちゃうと思うよ。"
MID_RELIANCE_A_#020,"[フォガート] 
それじゃあ、目標の達成のために 
今日のところは食事でもしに行こうか。"
MID_RELIANCE_A_#021,"[フォガート] 
まずは人が少ないところから、 
ちょっとずつ試してみよう。"
MID_RELIANCE_A_#022,"[ユナカ] 
おおっ、それはいいですな！"
MID_RELIANCE_A_#023,"[ユナカ] 
いつの日か、大規模の晩餐会や 
舞踏会にも行けるようになりたいですぞ！"
MID_RELIANCE_A_#024,"[フォガート] 
ああ、ユナカなら行けるようになるさ。"
MID_RELIANCE_A_#025,"[ユナカ] 
やっぴーっ！　フォガート氏を信じ、 
これからもついていきますぞ！"
MID_RELIANCE_B_#001,"[フォガート] 1 
[ユナカ] 2 

[フォガート] 
この前は無理矢理誘ってごめんね。 
ユナカが宴が苦手だとは思わなかったんだ。"
MID_RELIANCE_B_#002,"[ユナカ] 
こ、こちらこそ…宴の途中に 
会場を飛び出して申し訳ありませんでした。"
MID_RELIANCE_B_#003,"[ユナカ] 
実はわたくしめ、 
本当は人が集まる場所が苦手なのです。"
MID_RELIANCE_B_#004,"[ユナカ] 
人が大勢いると、誰かがわたくしめの首を 
狙っているのではないかと不安で…"
MID_RELIANCE_B_#005,"[フォガート] 
ユナカの…首を狙う？"
MID_RELIANCE_B_#006,"[ユナカ] 
い、今のは失言ですぞ。 
聞かなかったことにしてくだされ。"
MID_RELIANCE_B_#007,"[ユナカ] 
と、とにかく… 
わたくしめは人と接することが不安なのです。"
MID_RELIANCE_B_#008,"[フォガート] 
そうか… 
人間関係でなんか辛いことがあったんだね。"
MID_RELIANCE_B_#009,"[フォガート] 
わかった。もう宴には誘わないよ。 
嫌な思いをさせて悪かったね。"
MID_RELIANCE_B_#010,"[ユナカ] 
いえ…お気遣い感謝しますぞ。"
MID_RELIANCE_B_#011,"[フォガート] 
…………"
MID_RELIANCE_B_#012,"[フォガート] 
ユナカには俺がどう見える？"
MID_RELIANCE_B_#013,"[ユナカ] 
え？ 
そうですな…"
MID_RELIANCE_B_#014,"[ユナカ] 
フォガート氏は毎日を楽しく生きている… 
そう見えますな…"
MID_RELIANCE_B_#015,"[ユナカ] 
正直、羨ましいであります。"
MID_RELIANCE_B_#016,"[フォガート] 
そうか… 
だったら、人を信じることさ。"
MID_RELIANCE_B_#017,"[ユナカ] 
え？"
