key,text
MGID_H_Ring_Byleth,"通称『風花の紋章士』ベレトが宿る指輪。 
元傭兵にして、士官学校の指導者。"
MGID_H_Ring_Celica,"通称『響きの紋章士』セリカが宿る指輪。 
豊穣の国の王女。神官戦士でもある。"
MGID_H_Ring_Eirik,"通称『聖魔の紋章士』エイリークが宿る指輪。 
平和の為に剣を振るう、心優しき王女。"
MGID_H_Ring_Ike,"通称『蒼炎の紋章士』アイクが宿る指輪。 
高名な傭兵団長で、比類無き戦技を持つ。"
MGID_H_Ring_Kamui,"通称『選択の紋章士』カムイが宿る指輪。 
神祖竜の血を引く、折れない心を持つ王族。"
MGID_H_Ring_Leaf,"通称『系譜の紋章士』リーフが宿る指輪。 
二人の聖戦士の血を引く、勇ましき王子。"
MGID_H_Ring_Lin,"通称『烈火の紋章士』リンが宿る指輪。 
大自然と共に生きる遊牧民で、凄腕の剣士。"
MGID_H_Ring_Lucina,"通称『覚醒の紋章士』ルキナが宿る指輪。 
希望を信じ、絶望に屈しない、聖なる王女。"
MGID_H_Ring_Marth,"通称『始まりの紋章士』マルスが宿る指輪。 
高潔でカリスマに溢れた英雄の中の英雄。"
MGID_H_Ring_Micaiah,"通称『暁の紋章士』ミカヤが宿る指輪。 
治癒や未来の予見など、不思議な力を持つ。"
MGID_H_Ring_Roy,"通称『封印の紋章士』ロイが宿る指輪。 
勇敢で才知に長けた、将の器を持つ公子。"
MGID_H_Ring_Siglud,"通称『聖戦の紋章士』シグルドが宿る指輪。 
聖戦士の血を受け継ぐ清廉なる騎士。"
MGID_Ring_Byleth,導き手の指輪
MGID_Ring_Celica,慈愛の王女の指輪
MGID_Ring_CharacterName,の指輪
MGID_Ring_Eirik,碧き風空の指輪
MGID_Ring_God_Category,の絆の指輪
MGID_Ring_Ike,蒼炎の勇者の指輪
MGID_Ring_Kamui,未来を選びし者の指輪
MGID_Ring_Leaf,賢王の指輪
MGID_Ring_Lin,草原の公女の指輪
MGID_Ring_Lucina,聖王女の指輪
MGID_Ring_Lueur,紡ぎし者の指輪
MGID_Ring_Marth,英雄王の指輪
MGID_Ring_Micaiah,暁の巫女の指輪
MGID_Ring_Roy,若き獅子の指輪
MGID_Ring_Siglud,聖騎士の指輪
MGID_Ring_Special_Category,特別な絆の指輪
MGID_World_Byleth,導き手の世界
MGID_World_Celica,慈愛の王女の世界
MGID_World_Eirik,碧き風空の世界
MGID_World_Ike,蒼炎の勇者の世界
MGID_World_Kamui,未来を選びし者の世界
MGID_World_Leaf,賢王の世界
MGID_World_Lin,草原の公女の世界
MGID_World_Lucina,聖王女の世界
MGID_World_Lueur,紡ぎし者の世界
MGID_World_Marth,英雄王の世界
MGID_World_Micaiah,暁の巫女の世界
MGID_World_Roy,若き獅子の世界
MGID_World_Siglud,聖騎士の世界
MGID_World_Special,八百万の世界
MID_BONDSRING_Alfonse,[アルフォンス]
MID_BONDSRING_Alm,[アルム]
MID_BONDSRING_Amelia,[アメリア]
MID_BONDSRING_Anna,[アンナ]
MID_BONDSRING_Aqua,[アクア]
MID_BONDSRING_Arden,[アーダン]
MID_BONDSRING_Asvel,[アスベル]
MID_BONDSRING_Azel,[アゼル]
MID_BONDSRING_Azul,[アズール]
MID_BONDSRING_Bernadetta,[ベルナデッタ]
MID_BONDSRING_BlackKnight,[漆黒の騎士]
MID_BONDSRING_Byleth00,"異界の地フォドラで傭兵として暮らすが 
ある出来事をきっかけに教師となった人物。"
MID_BONDSRING_Byleth01,"古の英雄ネメシスの武器「天帝の剣」を手に 
生徒たちを導き、戦った。"
MID_BONDSRING_Caineghis,[カイネギス]
MID_BONDSRING_Camilla,[カミラ]
MID_BONDSRING_Cecilia,[セシリア]
MID_BONDSRING_Celica00,"異界の大陸バレンシアにある 
ソフィア王国の王族の生き残り。"
MID_BONDSRING_Celica01,"世界に起きた異変の原因を求めて旅をし 
アルムと共に邪神ドーマと戦った。"
MID_BONDSRING_Celice,[セリス]
MID_BONDSRING_Chinon,[シノン]
MID_BONDSRING_Chrom,[クロム]
MID_BONDSRING_Claude,[クロード]
MID_BONDSRING_Conrad,[コンラート]
MID_BONDSRING_Cuan,[キュアン]
MID_BONDSRING_Deute,[デューテ]
MID_BONDSRING_Diadora,[ディアドラ]
MID_BONDSRING_Dieck,[ディーク]
MID_BONDSRING_Dimitri,[ディミトリ]
MID_BONDSRING_Dorcas,[ドルカス]
MID_BONDSRING_Edelgard,[エーデルガルト]
MID_BONDSRING_Effie,[エフィ]
MID_BONDSRING_Eirik00,"異界の大陸マギ・ヴァルにある 
ルネス王国の王女。"
MID_BONDSRING_Eirik01,"双子の兄エフラムと共に、双聖器と呼ばれる 
伝説の武器で、魔王フォデスと戦った。"
MID_BONDSRING_Elaice,[イレース]
MID_BONDSRING_Elise,[エリーゼ]
MID_BONDSRING_Eliwod,[エリウッド]
MID_BONDSRING_Erincia,[エリンシア]
MID_BONDSRING_Ethlin,[エスリン]
MID_BONDSRING_Fa,[ファ]
MID_BONDSRING_Felix,[フェリクス]
MID_BONDSRING_Ferdinand,[フェルディナント]
MID_BONDSRING_Ferry,[フュリー]
