key,text
MID_RELIANCE_A_#001,"[リュール] 1 

[ブシュロン] 2 

[ブシュロン] 
神竜様、この間は本当にすみませんでした…！"
MID_RELIANCE_A_#002,"[ブシュロン] 
俺が方向音痴なせいで、 
迷惑をかけてしまって…！"
MID_RELIANCE_A_#003,"[リュール] 
謝らないでください。 
無事に帰れましたし、何より楽しかったです。"
MID_RELIANCE_A_#004,"[ブシュロン] 
なら良かったです…！"
MID_RELIANCE_A_#005,"[リュール] 
それで今日は、どんな発散方法を 
教えてくれるんですか？"
MID_RELIANCE_A_#006,"[ブシュロン] 
今日は読書です。 
心に響く本を読んで、心をスッキリさせましょう。"
MID_RELIANCE_A_#007,"[ブシュロン] 
この本を読んでみてください。 
フィレネ王国の傑作、『フィレネの愛』という本です。"
MID_RELIANCE_A_#008,"[リュール] 
…やけに…ビタビタでシワシワですね。"
MID_RELIANCE_A_#009,"[ブシュロン] 
ああ、すみません。それは俺の涙です。"
MID_RELIANCE_A_#010,"[リュール] 
涙！？"
MID_RELIANCE_A_#011,"[ブシュロン] 
俺は感動するとすぐに泣いてしまうので… 
それで…うっ…！"
MID_RELIANCE_A_#012,"[ブシュロン] 
ごめんなさい… 
その本の表紙を見ただけで、もう泣けてきて…"
MID_RELIANCE_A_#013,"[リュール] 
早くないですか！？"
MID_RELIANCE_A_#014,"[ブシュロン] 
俺のことは気にせず、読んでください… 
すごくいい本ですから…"
MID_RELIANCE_A_#015,"[リュール] 
わ、わかりました…では…"
MID_RELIANCE_A_#016,"[ブシュロン] 
ううっ！！　今度は目次を見ただけで 
嗚咽が止まらない…！"
MID_RELIANCE_A_#017,"[リュール] 
ええっ！？"
MID_RELIANCE_A_#018,"[ブシュロン] 
すみません…俺…邪魔ですよね… 
向こうに行ってますね…"
MID_RELIANCE_A_#019,"[リュール] 
いえ、このままで大丈夫ですよ。 
私は構いませんし…"
MID_RELIANCE_A_#020,"[リュール] 
泣いたままどこかに行くと、 
みんなを心配させてしまいます。"
MID_RELIANCE_A_#021,"[ブシュロン] 
ううっ、神竜様、お優しい…！！ 
ううっ、そして開いた頁がまた泣ける…！"
MID_RELIANCE_A_#022,"[リュール] 
…無事に読み終わることができるでしょうか…"
MID_RELIANCE_B_#001,"[リュール] 1 

[ブシュロン] 2"
MID_RELIANCE_B_#002,"[ブシュロン] 
どうですか、神竜様。 
この山の中は。"
MID_RELIANCE_B_#003,"[リュール] 
なんて素敵な場所でしょう。"
MID_RELIANCE_B_#004,"[リュール] 
ただ立っているだけで、 
日々の悩みが吹き飛んでいきます。"
MID_RELIANCE_B_#005,"[ブシュロン] 
喜んでもらえたのならよかったです。"
MID_RELIANCE_B_#006,"[リュール] 
いつも来ているのは、この渓流なんですか？"
MID_RELIANCE_B_#007,"[ブシュロン] 
ええ… 
まあ、おおよそこの辺と言っておきましょう。"
MID_RELIANCE_B_#008,"[リュール] 
おおよそ？"
MID_RELIANCE_B_#009,"[ブシュロン] 
俺はかなりの方向音痴でして…"
MID_RELIANCE_B_#010,"[ブシュロン] 
また同じ場所に行きたいと思っても、 
成功したことがないんですよ。"
MID_RELIANCE_B_#011,"[リュール] 
…へ、へえー…"
MID_RELIANCE_B_#012,"[ブシュロン] 
どうしたんですか？ 
急に不安そうな顔になって。"
MID_RELIANCE_B_#013,"[リュール] 
…私たち、ちゃんと帰れますか？"
MID_RELIANCE_B_#014,"[ブシュロン] 
あはは、大丈夫ですよ。 
道に迷わないよう、枝を折りながらきましたから。"
MID_RELIANCE_B_#015,"[ブシュロン] 
見てください。そこの枝が折れてますよね。 
つまり、帰りはそこから…"
MID_RELIANCE_B_#016,"[ブシュロン] 
あれ？"
MID_RELIANCE_B_#017,"[リュール] 
折れてませんね。"
MID_RELIANCE_B_#018,"[ブシュロン] 
…………"
MID_RELIANCE_B_#019,"[ブシュロン] 
あれっ？ 
折ったはずなんですけど！"
MID_RELIANCE_B_#020,"[リュール] 
ど、どこの枝を折ったのですか？"
MID_RELIANCE_B_#021,"[ブシュロン] 
あれ？　どの枝も折れてない！ 
わわわ！　どうしよう！　ほんとごめんなさい！"
MID_RELIANCE_B_#022,"[ブシュロン] 
でも、大丈夫！ 
とりあえず、こっちの方向に行ってみましょう！"
MID_RELIANCE_B_#023,"[リュール] 
いえ、逆を行きましょう！"
MID_RELIANCE_B_#024,"[ブシュロン] 
えっ？"
MID_RELIANCE_B_#025,"[リュール] 
あなたが方向音痴なら、その反対が正解のはずです！"
MID_RELIANCE_B_#026,"[ブシュロン] 
なるほど！ 
ごもっともです！"
MID_RELIANCE_C_#001,"[リュール] 1 

[ブシュロン] 2 

[ブシュロン] 
神竜様、大丈夫ですか？"
MID_RELIANCE_C_#002,"[リュール] 
ブシュロン。 
突然どうしたんですか？"
MID_RELIANCE_C_#003,"[ブシュロン] 
あ、いえ。すみません。 
どことなく疲れていらっしゃるように見えたもので…"
MID_RELIANCE_C_#004,"[リュール] 
よくわかりましたね。 
実は今、何となく体がだるくって。"
MID_RELIANCE_C_#005,"[ブシュロン] 
それはいけませんね。 
食事はちゃんと摂れていますか？"
MID_RELIANCE_C_#006,"[リュール] 
しっかり食べています。"
MID_RELIANCE_C_#007,"[ブシュロン] 
睡眠は？"
MID_RELIANCE_C_#008,"[リュール] 
たくさん寝ていると思います。"
MID_RELIANCE_C_#009,"[ブシュロン] 
うーむ… 
食事も睡眠も問題ないのに体がだるい…"
MID_RELIANCE_C_#010,"[ブシュロン] 
もしかしたら、心労が原因かもしれませんね。"
MID_RELIANCE_C_#011,"[リュール] 
心労？"
MID_RELIANCE_C_#012,"[ブシュロン] 
はい。戦をしていると、どうしても 
心に負担がかかってきますから。"
MID_RELIANCE_C_#013,"[ブシュロン] 
神竜様は心労を発散する方法はお持ちですか？"
MID_RELIANCE_C_#014,"[リュール] 
考えたこともなかったです。 
ブシュロンには何か発散法があるのですか？"
MID_RELIANCE_C_#015,"[ブシュロン] 
ええ、いくつか。"
MID_RELIANCE_C_#016,"[ブシュロン] 
誰もいない山の中に分け入り、 
清流でのんびりと釣りをするとか…"
MID_RELIANCE_C_#017,"[リュール] 
へえ…！　楽しそうです。 
私も試してみたいです！"
MID_RELIANCE_C_#018,"[ブシュロン] 
ではよろしければ、俺と一緒に試されてみますか？ 
気に入るものがあればこれから使えるかもしれません。"
MID_RELIANCE_C_#019,"[リュール] 
はい！　ぜひお願いします。 
都合のいい時に誘ってください、ブシュロン！"
MID_RELIANCE_S_#001,"[リュール] 1 

[ブシュロン] 2 

[ブシュロン] 
神竜様、どうされたのですか？ 
こんなところに呼び出して…"
MID_RELIANCE_S_#002,"[リュール] 
ブシュロン。 
今日も心労の発散法を教えてください。"
MID_RELIANCE_S_#003,"[リュール] 
…ということを言いたくて、 
お呼びしたわけではありません。"
MID_RELIANCE_S_#004,"[ブシュロン] 
？"
MID_RELIANCE_S_#005,"[リュール] 
今日は三つのことをお伝えしたくて、 
きてもらいました。"
MID_RELIANCE_S_#006,"[リュール] 
ひとつ目は、お礼です。"
MID_RELIANCE_S_#007,"[リュール] 
いつも私のことを支えてくれて、 
本当にありがとうございます。"
MID_RELIANCE_S_#008,"[ブシュロン] 
とんでもないです。 
俺はただ、神竜様のお役に立ちたいだけで。"
MID_RELIANCE_S_#009,"[リュール] 
そういう一生懸命なところも、 
謙虚なところも本当に素敵です。"
MID_RELIANCE_S_#010,"[ブシュロン] 
素敵…？"
MID_RELIANCE_S_#011,"[リュール] 
はい。思い切って言ってみました。 
今のが二つ目の伝えたいことです。"
MID_RELIANCE_S_#012,"[リュール] 
あと、もうひとつだけ伝えさせてください。 
それは…"
MID_RELIANCE_S_#013,"[リュール] 
…………"
MID_RELIANCE_S_#014,"[リュール] 
その…ごめんなさい… 
なんだか…感極まってしまって…"
MID_RELIANCE_S_#015,"[ブシュロン] 
うっ…"
MID_RELIANCE_S_#016,"[リュール] 
どうしたのですか？"
MID_RELIANCE_S_#017,"[ブシュロン] 
神竜様の感極まる様子を見ていたら 
俺まで感極まってきてしまって。"
MID_RELIANCE_S_#018,"[リュール] 
ブシュロンは人の気持ちに寄り添ってくれますね。 
だから私は、あなたを特別だと思ったのかも。"
MID_RELIANCE_S_#019,"[ブシュロン] 
…？"
MID_RELIANCE_S_#020,"[リュール] 
ブシュロン、私のパートナーになってもらえませんか？ 
この『約束の指輪』を、受け取ってほしいんです。"
MID_RELIANCE_S_#021,"[リュール] 
私と、特別な絆を結んでください。"
MID_RELIANCE_S_#022,"[ブシュロン] 
！！　そ、そんな… 
すごく嬉しいです。神竜様…ううっ…"
MID_RELIANCE_S_#023,"[ブシュロン] 
…ここで泣いてはいけませんね。 
俺もきちんと伝えないと。"
MID_RELIANCE_S_#024,"[ブシュロン] 
俺は王族でも守り人でもない、ただの兵ですが… 
それでも、神竜様のことを、大切に思っていました。"
MID_RELIANCE_S_#025,"[リュール] 
ブシュロン…"
MID_RELIANCE_S_#026,"[ブシュロン] 
もちろん、ぜひお受けします。 
喜んでそのお気持ちに応えさせてください。"
MID_RELIANCE_S_#027,"[ブシュロン] 
俺なんかでよければ、 
地の果てまでもご一緒しましょう！"
MID_RELIANCE_S_#028,"[リュール] 
ありがとう、ブシュロン。 
私はとても幸せですよ。"
MID_RELIANCE_S_#029,"[ブシュロン] 
神竜様…それは俺の台詞です。"
MID_RELIANCE_S_#030,"[ブシュロン] 
これからはずっと隣にいます。人生に迷っても涙しても… 
神竜 様と一緒なら、幸せです。"
