key,text
MID_RELIANCE_A_#001,"[奥尔坦希亚] 1 
[罗萨德] 2 

[罗萨德] 
奥尔坦希亚，我们撤退吧。 
这么多异形兵是没胜算的。"
MID_RELIANCE_A_#002,"[奥尔坦希亚] 
呼……呼…… 
没问题！人家会……保护大家！"
MID_RELIANCE_A_#003,"[罗萨德] 
奥尔坦希亚！ 
危险！"
MID_RELIANCE_A_#004,"[奥尔坦希亚] 
罗萨德！"
MID_RELIANCE_A_#005,"[罗萨德] 
呜……"
MID_RELIANCE_A_#006,"[奥尔坦希亚] 
罗萨德，你居然替人家……！"
MID_RELIANCE_A_#007,"[奥尔坦希亚] 
……撤退！ 
所有人都要活着回去！"
MID_RELIANCE_A_#008,
MID_RELIANCE_A_#009,"[奥尔坦希亚] 
罗萨德，振作点！ 
你不可以死啊！"
MID_RELIANCE_A_#010,"[罗萨德] 
唔……"
MID_RELIANCE_A_#011,"[奥尔坦希亚] 
太好了！你终于醒了！ 
怎么样！？认得出人家吗！？"
MID_RELIANCE_A_#012,"[罗萨德] 
嗯，没事…… 
只是稍微晕过去而已～"
MID_RELIANCE_A_#013,"[奥尔坦希亚] 
什么稍微……你伤成这样， 
人家……人家都以为你要死了……"
MID_RELIANCE_A_#014,"[奥尔坦希亚] 
……你都受伤了，还在写什么！？ 
不会是写遗书吧！？"
MID_RELIANCE_A_#015,"[罗萨德] 
嘿嘿嘿，我在画肖像啦～ 
捕捉到奥尔坦希亚的好表情喽～"
MID_RELIANCE_A_#016,"[奥尔坦希亚] 
你，你在搞什么啦……"
MID_RELIANCE_A_#017,"[奥尔坦希亚] 
居然还这么有精神， 
人家真是白担心了……！"
MID_RELIANCE_A_#018,"[罗萨德] 
你看看这张画， 
不觉得这表情很棒吗～？"
MID_RELIANCE_A_#019,"[奥尔坦希亚] 
这是看到你恢复意识后， 
人家松了一口气的表情呢。"
MID_RELIANCE_A_#020,"[奥尔坦希亚] 
……嗯，还不错。"
MID_RELIANCE_A_#021,"[奥尔坦希亚] 
你说得对，罗萨德。 
人家还在学校时，确实会摆出这种表情呢。"
MID_RELIANCE_A_#022,"[罗萨德] 
像是庆幸自己没被老师点到名的时候～"
MID_RELIANCE_A_#023,"[奥尔坦希亚] 
喂！ 
人家刚才可是很严肃的哦！"
MID_RELIANCE_A_#024,"[罗萨德] 
奥尔坦希亚， 
我可以把这幅肖像当成宝物吗～？"
MID_RELIANCE_A_#025,"[奥尔坦希亚] 
真拿你没办法。 
好吧，但不能给别人看到哦。"
MID_RELIANCE_A_#026,"[罗萨德] 
我知道啦。"
MID_RELIANCE_A_#027,"[奥尔坦希亚] 
…………"
MID_RELIANCE_A_#028,"[奥尔坦希亚] 
罗萨德，谢谢你刚才救了人家。 
你的表现很帅气哦。"
MID_RELIANCE_A_#029,"[奥尔坦希亚] 
现在回想起来， 
人家总是被你所救呢。"
MID_RELIANCE_A_#030,"[罗萨德] 
不用谢啦， 
让我多看你一些迷人的表情就行了～"
MID_RELIANCE_A_#031,"[奥尔坦希亚] 
呵呵， 
小事一桩。"
MID_RELIANCE_A_#032,"[奥尔坦希亚] 
罗萨德…… 
谢谢你愿意成为人家的臣子。"
MID_RELIANCE_A_#033,"[奥尔坦希亚] 
今后也要一起并肩作战哦。"
