key,text
MID_RELIANCE_A_#001,"[史塔卢克] 1 
[奥尔坦希亚] 2 
[奥尔坦希亚] 
史塔卢克王子。"
MID_RELIANCE_A_#002,"[史塔卢克] 
咦！？ 
奥尔坦希亚公主……"
MID_RELIANCE_A_#003,"[奥尔坦希亚] 
先听人家说完再走。 
人家决定不帮你了。"
MID_RELIANCE_A_#004,"[奥尔坦希亚] 
反正不管人家怎么做， 
你都不可能养成自信心吧。"
MID_RELIANCE_A_#005,"[史塔卢克] 
这是个明智的决定…… 
虽然当初是我拜托你的……"
MID_RELIANCE_A_#006,"[奥尔坦希亚] 
就是说啊。 
你真是个失礼又任性的人。"
MID_RELIANCE_A_#007,"[史塔卢克] 
对不起……"
MID_RELIANCE_A_#008,"[史塔卢克] 
你不用为我这种人费心， 
只要无视我就好……"
MID_RELIANCE_A_#009,"[奥尔坦希亚] 
不，人家才不要这样做。"
MID_RELIANCE_A_#010,"[史塔卢克] 
咦？"
MID_RELIANCE_A_#011,"[奥尔坦希亚] 
虽然你自卑又没自信，性格简直悲观到极点…… 
但这才是真正的你。"
MID_RELIANCE_A_#012,"[奥尔坦希亚] 
身为你的伙伴， 
人家要接纳真正的你。"
MID_RELIANCE_A_#013,"[史塔卢克] 
咦……？"
MID_RELIANCE_A_#014,"[奥尔坦希亚] 
你主动要人家教你 
养成自信心的方法……"
MID_RELIANCE_A_#015,"[奥尔坦希亚] 
代表你也想改掉这种悲观的个性， 
跟我们拉近距离对吧？"
MID_RELIANCE_A_#016,"[史塔卢克] 
……是的。"
MID_RELIANCE_A_#017,"[史塔卢克] 
我觉得……如果能改掉这种个性…… 
说不定就能融入大家的圈子……"
MID_RELIANCE_A_#018,"[奥尔坦希亚] 
你能有这份心很好， 
但你没必要强迫自己改变哦。"
MID_RELIANCE_A_#019,"[奥尔坦希亚] 
也许过度悲观的个性是个问题， 
但你仍有许多优点。"
MID_RELIANCE_A_#020,"[奥尔坦希亚] 
所以，就像刚才说的…… 
人家要接纳真正的你。"
MID_RELIANCE_A_#021,"[史塔卢克] 
奥尔坦希亚公主…… 
谢谢你。"
MID_RELIANCE_A_#022,"[奥尔坦希亚] 
不，不用道谢啦！ 
人家只是有话直说而已！"
MID_RELIANCE_A_#023,"[史塔卢克] 
……你真的很温柔。 
那颗善良的心对我来说还是很耀眼……"
MID_RELIANCE_A_#024,"[史塔卢克] 
但可能是因为理解了你的想法吧， 
我就算待在你身边也不会觉得害怕了。"
MID_RELIANCE_A_#025,"[奥尔坦希亚] 
咦！？ 
你怎么突然牢牢地盯着人家看啊……！"
MID_RELIANCE_A_#026,"[史塔卢克] 
嗯，因为我想补回之前的份…… 
很抱歉我老是突然跑掉。"
MID_RELIANCE_A_#027,"[奥尔坦希亚] 
……什么嘛，你靠太近啦。 
现在反而是人家觉得尴尬了……"
MID_RELIANCE_A_#028,"[奥尔坦希亚] 
别，别看啦，史塔卢克王子…… 
明明是王子却这么可爱……"
MID_RELIANCE_A_#029,"[奥尔坦希亚] 
这让人家公主的面子要往哪摆啊！ 
呜呜──！！"
MID_RELIANCE_A_#030,"[奥尔坦希亚] 

[史塔卢克] 
啊……奥尔坦希亚公主……"
MID_RELIANCE_A_#031,"[史塔卢克] 
……呵呵。 
这下子我们的立场互换了呢。"
MID_RELIANCE_B_#001,"[史塔卢克] 1 
[奥尔坦希亚] 2 
[奥尔坦希亚] 
史塔卢克王子。"
MID_RELIANCE_B_#002,"[史塔卢克] 
…………"
MID_RELIANCE_B_#003,"[奥尔坦希亚] 
喂～！ 
史塔卢克王子，你听得见吧！"
MID_RELIANCE_B_#004,"[史塔卢克] 
咦──！ 
奥尔坦希亚公主！"
MID_RELIANCE_B_#005,"[史塔卢克] 
和我这种人说话， 
对你的人生一点帮助都没有哦！"
MID_RELIANCE_B_#006,"[奥尔坦希亚] 
你想事情还是一样那么负面呢。 
不过，这样教起来才有挑战性嘛。"
MID_RELIANCE_B_#007,"[奥尔坦希亚] 
听好喽。人家就如你所愿， 
教你如何养成自信心。"
MID_RELIANCE_B_#008,"[史塔卢克] 
咦……！ 
谢谢你……"
MID_RELIANCE_B_#009,"[史塔卢克] 
不过，你怎么会改变主意了呢？ 
之前不是很不情愿吗？"
MID_RELIANCE_B_#010,"[奥尔坦希亚] 
前阵子真的很对不起， 
人家玩笑开得太过分了。"
MID_RELIANCE_B_#011,"[奥尔坦希亚] 
老实说，人家不喜欢布罗帝亚…… 
但我们已经是伙伴了。"
MID_RELIANCE_B_#012,"[奥尔坦希亚] 
既然是伙伴， 
就应该要互相帮忙啊。"
MID_RELIANCE_B_#013,"[史塔卢克] 
奥尔坦希亚公主……"
