key,text
MID_SELECTRING_CHANGE,"是否摘下“ ”， 
换上“ ”？"
MID_SELECTRING_CHANGE_REMOVE,"是否摘下 ， 
换上 ？ 
（目前装备中的单位： ）"
MID_SELECTRING_COMMON_EMPTY,没有牵绊戒指。
MID_SELECTRING_GOD_CHANGE_YES,更改
MID_SELECTRING_GOD_EMPTY,无纹章士戒指 。
MID_SELECTRING_LUEUR_NOTES,"纹章士 
可在出击期间通过“结合+”进行结合。"
MID_SELECTRING_REMOVE,是否摘下“ ”？
MID_SELECTRING_REMOVE_CONFIRM,卸除
MID_SELECTRING_SET,是否装备“ ”？
MID_SELECTRING_SET_CONFIRM,装备
MID_SELECTRING_SET_REMOVE,"是否装备“ ”？ 
（目前装备中的单位： ）"
MID_SELECTRING_TITLE_GOD,纹章士戒指
MID_SORTIE_ALL_UNITS_ENTRUST,统一自动装备
MID_SORTIE_ALL_UNITS_ENTRUST_CONFIRM,"是否自动整理 
出击单位的持有物品？ 
（未出击单位的持有物品 
将全部交给运输队。）"
MID_SORTIE_ALL_UNITS_ENTRUST_ERROR,"需在出击准备中先选择好出击单位， 
才能使用“统一自动装备”。"
MID_SORTIE_ALL_UNITS_ENTRUST_GOD,统一自动装备
MID_SORTIE_ALL_UNITS_ENTRUST_GOD_CONFIRM,"是否将出击单位的戒指 
设置为自动装备？"
MID_SORTIE_ALL_UNITS_ENTRUST_GOD_No,取消
MID_SORTIE_ALL_UNITS_ENTRUST_GOD_Yes,装备
MID_SORTIE_ALL_UNITS_ENTRUST_WARNING1,"运输队的持有物品不足， 
无法交予所有出击单位 
足够的持有物品。"
MID_SORTIE_ALL_UNITS_ENTRUST_WARNING2,"运输队已无空间， 
无法整理持有物品。"
MID_SORTIE_ALL_UNITS_ENTRUST_Yes,整理
MID_SORTIE_ALL_UNITS_STORE_ALL,统一全部保管
MID_SORTIE_ALL_UNITS_STORE_ALL_CONFIRM,"是否将所有单位的持有物品 
全部交由运输队保管？"
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD,统一解除装备
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD_CONFIRM,是否要摘下所有单位的戒指 ？
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD_No,取消
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD_Yes,摘下
MID_SORTIE_ALL_UNITS_STORE_ALL_WARNING,"运输队已无空间， 
无法将所有单位的持有物品 
全部交由运输队保管。"
MID_SORTIE_BACK,返回
MID_SORTIE_BACK_CONFIRM,是否返回世界地图？
MID_SORTIE_BACK_CONFIRM_HELP,回到世界地图。
MID_SORTIE_BACK_CONFIRM_HELP_M026,返回据点索拉涅尔。
MID_SORTIE_BACK_CONFIRM_M026,是否返回据点索拉涅尔？
MID_SORTIE_BONDS_RELIANCE,牵绊对话
MID_SORTIE_BONDS_RELIANCE_NONE,无纹章士。
MID_SORTIE_CHANGE_POSITION,更改配置
MID_SORTIE_CHANGE_POSITION_HELP,更改我方单位配置及确认战况。
MID_SORTIE_CLASSCHANGE_BASIC_ARMOR,刀剑/枪/重斧兵
MID_SORTIE_CLASSCHANGE_BASIC_KNIGHT,刀剑/枪/斧骑士
MID_SORTIE_CLASSCHANGE_BASIC_PEGASUS,刀剑/枪/斧飞马骑士
MID_SORTIE_CLASSCHANGE_CONFIRM_DIALOG,是否转职为“ ”？
MID_SORTIE_CLASSCHANGE_CONFIRM_DIALOG_YES,确定转职
MID_SORTIE_CLASSCHANGE_HAVE_APTITUDE,持有的资质
MID_SORTIE_CLASSCHANGE_NEED_APTITUDE,必要资质
MID_SORTIE_CLASSCHANGE_NEED_ITEM,必要道具
MID_SORTIE_CLASSCHANGE_NEED_JOB,Lv.
MID_SORTIE_CLASSCHANGE_NEED_LV,必要等级
MID_SORTIE_CLASSCHANGE_NONE,没有能转职的兵种。
MID_SORTIE_CLASSCHANGE_SKILL_LEVEL,于Lv. 学成
MID_SORTIE_COMMON_TRADE,交换
MID_SORTIE_CONTINUEBATTLE_NOSELECT,连战中无法选择。
MID_SORTIE_EQUIP_GOD,纹章士戒指
MID_SORTIE_EQUIP_GOD_HELP,更换纹章士戒指 。
MID_SORTIE_H_ITEM_SHOP,购买道具。
MID_SORTIE_H_WEAPON_SHOP,购买武器。
MID_SORTIE_INVENTORY,整备
MID_SORTIE_INVENTORY_ARRANGE,更改排序
MID_SORTIE_INVENTORY_DISCARD,舍弃
MID_SORTIE_INVENTORY_EMPTY,未持有任何物品。
MID_SORTIE_INVENTORY_EQUIP,装备
MID_SORTIE_INVENTORY_HELP,整理持有物品或装备特技。
MID_SORTIE_INVENTORY_RECEIVE,收下
MID_SORTIE_INVENTORY_REMOVE,卸除
MID_SORTIE_INVENTORY_STORE,保管
MID_SORTIE_INVENTORY_USE,使用
MID_SORTIE_ITEM_SHOP,道具店
MID_SORTIE_RELIANCE,支援对话
MID_SORTIE_RELIANCE_ATTENTION,可在据点或世界地图进行牵绊对话及支援对话。
MID_SORTIE_RELIANCE_NONE,无支援对象。
MID_SORTIE_RELIANCE_UNIT_SELECT,请选择对象。
MID_SORTIE_SAVE,保存
MID_SORTIE_SAVE_HELP,保存当前进度。
MID_SORTIE_SELECT_UNIT,编组单位
MID_SORTIE_SELECT_UNIT_HELP,选择要出击的我方单位。
MID_SORTIE_SELECT_UNIT_SELECT,请选择单位。
MID_SORTIE_SHOP,商店
MID_SORTIE_SHOP_HELP,购买武器及道具。
MID_SORTIE_SKILL_CATEGORY_BONDS,牵绊
MID_SORTIE_SKILL_CATEGORY_ENGAGE,结合
MID_SORTIE_SKILL_CATEGORY_EQUIPED,装备中
MID_SORTIE_SKILL_CATEGORY_GOD,同步
MID_SORTIE_SKILL_CATEGORY_INHERITANCE,继承
MID_SORTIE_SKILL_CATEGORY_JOB,兵种
MID_SORTIE_SKILL_CATEGORY_PERSON,个人
MID_SORTIE_SKILL_OVERLAPPING,重复
MID_SORTIE_SKILL_POOL_NONE,未继承任何特技。
MID_SORTIE_SKILL_POOL_TITLE,已继承特技
MID_SORTIE_SKILL_SUPPLEMENT_HELP,与装备中的特技有所重复。
MID_SORTIE_START,开始战斗
MID_SORTIE_START_CONFIRM,是否开始战斗？
MID_SORTIE_START_CONFIRM_YES,开始
MID_SORTIE_START_HELP,准备完毕后出击。
MID_SORTIE_TITLEHELP_CLASSCHANGE,请选择兵种。
MID_SORTIE_TITLEHELP_INVENTORY,请选择道具。
MID_SORTIE_TITLEHELP_RING_SELECT,请选择要更换的戒指 。
MID_SORTIE_TITLEHELP_SKILL,请选择要装备的特技。
MID_SORTIE_TITLEHELP_TRADE,请选择要交换的持有物品。
MID_SORTIE_TITLEHELP_UNIT_SELECT,请选择要出击的我方单位。
MID_SORTIE_TITLEHELP_UNIT_SELECT_ITEM,请选择单位。
MID_SORTIE_TITLE_CLASSCHANGE,转职
MID_SORTIE_TITLE_INVENTORY,整理持有物品
MID_SORTIE_TITLE_RING_SELECT,纹章士戒指
MID_SORTIE_TITLE_SKILL,特技装备
MID_SORTIE_TITLE_TRADE,交换持有物品
MID_SORTIE_TITLE_UNIT_SELECT,编组出击单位
MID_SORTIE_TITLE_UNIT_SELECT_ITEM,整备
MID_SORTIE_UNIT_CLASSCHANGE,转职
MID_SORTIE_UNIT_ENTRUST,自动装备
MID_SORTIE_UNIT_ENTRUST_WARNING1,"运输队的持有物品不足， 
无法交予持有物品。"
MID_SORTIE_UNIT_ENTRUST_WARNING2,"运输队没有空间整理 
此单位的持有物品， 
故无法使用“自动装备”。"
MID_SORTIE_UNIT_ITEM,整理持有物品
MID_SORTIE_UNIT_ITEM_LIST,持有物品一览
MID_SORTIE_UNIT_NONE,没有单位。
MID_SORTIE_UNIT_SKILL,特技装备
MID_SORTIE_UNIT_SKILL_OPEN,可以使用“特技装备”了。
MID_SORTIE_UNIT_STORE,寄放
MID_SORTIE_UNIT_STORE_ALL,寄放所有物品
MID_SORTIE_UNIT_STORE_ALL_WARNING,"运输队已无空间， 
或是有无法寄放的物品。"
MID_SORTIE_UNIT_TRADE,交换持有物品
MID_SORTIE_WEAPON_SHOP,武器店
MID_TROOPLIST_PAGETITLE_BASIC,状态
