key,text
MID_RELIANCE_A_#001,"[Alear] 1 
[Zelkov] 2"
MID_RELIANCE_A_#002,"[Zelkov] 
Today's work is complete. Now I am free to 
*kill time* until sleep arrives."
MID_RELIANCE_A_#003,"[Alear] 
Ah, Zelkov! I've been *waiting* for you!"
MID_RELIANCE_A_#004,"[Zelkov] 
Divine One?"
MID_RELIANCE_A_#005,"[Alear] 
I finished my tasks *early* today, so I came 
*here.* I hope you *don't mind!*"
MID_RELIANCE_A_#006,"[Zelkov] 
I don't mind, but...the way you are speaking... 
Do you mean to suggest...a *deeper meaning*?"
MID_RELIANCE_A_#007,"[Alear] 
Perhaps I do. Perhaps some of your *influence* 
has rubbed off on me, Zelkov."
MID_RELIANCE_A_#008,"[Zelkov] 
You should not want to walk the path I walk. 
People will *look* at you strangely."
MID_RELIANCE_A_#009,"[Alear] 
Let them. I don't *care* what they think."
MID_RELIANCE_A_#010,"[Alear] 
I'm just *amusing myself* and *killing time* by 
*speaking in a profound way.*"
MID_RELIANCE_A_#011,"[Zelkov] 
Oh, no no no! Please, Divine One, do not allow 
yourself to be *influenced* by someone like me."
MID_RELIANCE_A_#012,"[Alear] 
Why *not*?"
MID_RELIANCE_A_#013,"[Zelkov] 
We lead very different lives, Divine One. 
You have an important *purpose* to fulfill."
MID_RELIANCE_A_#014,"[Zelkov] 
I am a terrible influence. Please, you must 
follow a path more *fitting* to your station."
MID_RELIANCE_A_#015,"[Alear] 
I don't think I *will.* Not in this room, anyway."
MID_RELIANCE_A_#016,"[Zelkov] 
What do you mean?"
MID_RELIANCE_A_#017,"[Alear] 
It's true that there are *differences* between 
you and me, *Zelkov.*"
MID_RELIANCE_A_#018,"[Alear] 
But here, in *this* room, what do those 
*differences* *matter*?"
MID_RELIANCE_A_#019,"[Alear] 
All we're doing is *killing time.*"
MID_RELIANCE_A_#020,"[Zelkov] 
I deeply regret filling your head with *rubbish.*"
MID_RELIANCE_A_#021,"[Alear] 
Please, don't apologize. *Go on,* tell me more 
about your *collection*."
MID_RELIANCE_A_#022,"[Zelkov] 
Very well, what should I talk about next? 
Ah, this here is *perfect.*"
MID_RELIANCE_A_#023,"[Zelkov] 
A list of the most mysterious words to 
*emphasize* to *suggest* a deeper meaning."
MID_RELIANCE_A_#024,"[Alear] 
Ooo! That sounds *interesting!*"
MID_RELIANCE_B_#001,"[Alear] 1 
[Zelkov] 2"
MID_RELIANCE_B_#002,"[Zelkov] 
Welcome. This is the *interesting* place that I 
mentioned to you before. My secret sanctum."
MID_RELIANCE_B_#003,"[Alear] 
Whoa! I've never seen so many shelves full 
of...stuff!"
MID_RELIANCE_B_#004,"[Zelkov] 
Yes. I *collect* odds and ends for my pursuits 
here in this place."
MID_RELIANCE_B_#005,"[Zelkov] 
Instructions for a *culinary* technique of my 
own devising. A map for a hike only I know."
MID_RELIANCE_B_#006,"[Zelkov] 
There is a manual of training techniques I wrote, 
next to a rock that I polished to a *sparkle.*"
MID_RELIANCE_B_#007,"[Zelkov] 
And here are some balls of *lint* I've gathered 
for reasons even I don't quite understand."
MID_RELIANCE_B_#008,"[Zelkov] 
That should suffice for a summary. A detailed 
accounting would take *hours.*"
MID_RELIANCE_B_#009,"[Zelkov] 
Just know *every* object here has helped me 
kill time. Feel free to handle whatever you like."
MID_RELIANCE_B_#010,"[Alear] 
Thank you! What a treasure trove..."
MID_RELIANCE_B_#011,"[Zelkov] 
Once my work is done each day, I fill my 
evenings with these varied *pursuits.*"
MID_RELIANCE_B_#012,"[Zelkov] 
As I *enjoy* them, I am always mindful to leave 
something unfinished for the next day."
MID_RELIANCE_B_#013,"[Zelkov] 
That ensures I always have a project. 
A reason to *continue* living."
MID_RELIANCE_B_#014,"[Alear] 
Wow... So philosophical..."
MID_RELIANCE_B_#015,"[Zelkov] 
You... You truly think so?"
MID_RELIANCE_B_#016,"[Zelkov] 
Well... Thank you for enduring this frivolity. 
I hope I did not *bore* you."
