key,text
MID_FRIENDLIST_Alfred_TextA,"Height: 5'9"" 
Ring Size: 6 | M 
Personality: Generous and 
kind, often helping before he 
can think. Loves to find small 
joys and hates being alone. 
Most floral-smelling person in 
the army."
MID_FRIENDLIST_Alfred_TextB,"Hobbies: exercise, chatting 
Talents: rising early, making 
flower garlands 
Background: He was ill as a 
child and now seeks to 
compensate through exercise. 
His father taught him mastery 
of the lance before he died."
MID_FRIENDLIST_Alfred_TextC,"Likes: training, exercise, the 
sun at dawn, music, flowers, 
muscles, four-leafed clovers, 
other people's happiness 

Dislikes: precise work, 
sewing, spicy food, 
insomnia, regrets"
MID_FRIENDLIST_Alfred_TextD,"Initial Class: Noble 
Birthday: August 8th 
Basic Info: Crown prince of 
Firene. He arrived at Lythos 
Castle on the night it was 
attacked, along with his 
retainers Boucheron and Etie."
MID_FRIENDLIST_Alfred_TextS,"Life with Alfred: He keeps the 
Divine Dragon updated on 
small joys their friends find 
and tries to keep his health 
up so that they have more 
time to spend together. He 
keeps the Pact Ring in an 
embroidered bag."
MID_FRIENDLIST_Anna_TextA,"Height: 4'8"" 
Ring Size: 2.5 | E 
Personality: A shrewd miser 
and enthusiastic merchant 
who cries if her wares don't 
sell. She adores festivals and 
celebrates more holidays 
than anyone else in the army."
MID_FRIENDLIST_Anna_TextB,"Hobbies: product planning 
Talents: counting gold, 
chopping wood 
Background: She comes from 
a secluded Elusian village. 
She was separated from her 
family of merchants, but has 
managed to support herself."
MID_FRIENDLIST_Anna_TextC,"Likes: dairy, luxury goods, 
crafting, sewing, cooking, 
festivals, snow, making 
money 

Dislikes: scary stories, bugs, 
spicy/tough foods, waking up 
after dreaming of her family"
MID_FRIENDLIST_Anna_TextD,"Initial Class: Axe Fighter 
Birthday: June 8th 
Basic Info: A novice merchant 
who snuck into a bandit 
hideout in search of valuable 
treasure. After coming out of 
hiding, she joined the Divine 
Dragon's army."
MID_FRIENDLIST_Anna_TextS,"Life with Anna: She shares 
product ideas with the Divine 
Dragon to develop her 
business. They celebrate 
the anniversary of their 
partnership every year. 
She keeps the Pact Ring on 
a string around her neck."
MID_FRIENDLIST_Bonet_TextA,"Height: 6' 
Ring Size: 10 | T 1/2 
Personality: Deeply focused 
on exploring new ingredients, 
he tries to taste anything that 
seems tasty, even if it's not 
food. Out of all the allies, he 
knows the most about flags."
MID_FRIENDLIST_Bonet_TextB,"Hobbies: taste testing, 
gardening 
Talents: replicating any dish 
Background: After bandits 
razed his parents' bistro, he 
competed to become a royal 
chef. Bunet didn't win, but 
Fogado made him a retainer."
MID_FRIENDLIST_Bonet_TextC,"Likes: cooking, tea parties, 
herbs, flowers, ingredients of 
all kinds, tasty looking things 

Dislikes: strong odors, 
sunburns, training, 
loud places, bright places, 
heavily flavored food"
MID_FRIENDLIST_Bonet_TextD,"Initial Class: Great Knight 
Birthday: May 30th 
Basic Info: Solm's royal chef 
met the Divine Dragon while 
he was in the Tullah Desert 
fighting Corrupted with his 
friend Pandreo. Prince 
Fogado introduced them."
MID_FRIENDLIST_Bonet_TextS,"Life with Bunet: His finds joy 
in creating new dishes 
inspired by days spent with 
the Divine Dragon. He keeps 
the Pact Ring in a small 
silverware-style box with 
flowers and herbs. He once 
tasted the ring's gem."
MID_FRIENDLIST_Boucheron_TextA,"Height: 6'3"" 
Ring Size: 10.25 | U 
Personality: Compassionate, 
sensitive, and quick to cry. 
Often traveled by carriage 
growing up, so his sense of 
direction is weak. The most 
tolerant person in the army."
MID_FRIENDLIST_Boucheron_TextB,"Hobbies: outdoor reading 
Talents: manual labor 
Background: The second son 
of a Firenese count from a 
town known for its waters. 
Has one older brother. He's 
known Prince Alfred since 
they were young."
MID_FRIENDLIST_Boucheron_TextC,"Likes: reading, fishing, walks, 
well-marked hiking paths, 
nature, stories with happy 
endings 

Dislikes: precise work, scary 
stories, unmarked paths, 
stories with sad endings"
MID_FRIENDLIST_Boucheron_TextD,"Initial Class: Axe Fighter 
Birthday: May 11th 
Basic Info: Royal knight of 
Firene. He arrived at Lythos 
Castle on the night it was 
attacked, along with Prince 
Alfred and his fellow retainer, 
Etie."
