key,text
MID_RELIANCE_A_#001,"[琉尔] 1 
[艾比] 2 

[琉尔] 
艾比，你为什么说 
我是你的神呢？"
MID_RELIANCE_A_#002,"[艾比] 
因为在我最痛苦的时候， 
是靠神龙大人撑过来的……"
MID_RELIANCE_A_#003,"[艾比] 
你是我的心灵支柱…… 
是我心目中的神……"
MID_RELIANCE_A_#004,"[琉尔] 
你遭遇过很伤心的事吗？"
MID_RELIANCE_A_#005,"[艾比] 
自年幼起…… 
我身边就充斥着龌龊的丑事……"
MID_RELIANCE_A_#006,"[艾比] 
伊尔席翁城因利益斗争而陷入混乱…… 
令人作呕的明争暗斗简直稀松平常……"
MID_RELIANCE_A_#007,"[艾比] 
最糟的是……"
MID_RELIANCE_A_#008,"[艾比] 
这肮脏的利益斗争的核心人物…… 
是我母亲……"
MID_RELIANCE_A_#009,"[琉尔] 
……你的……"
MID_RELIANCE_A_#010,"[艾比] 
肮脏的大人们……表面上和睦相处， 
暗中却若无其事地互放冷箭……"
MID_RELIANCE_A_#011,"[艾比] 
……我非常讨厌当时的环境， 
还有参与其中的所有人。"
MID_RELIANCE_A_#012,"[艾比] 
在那段难熬的日子里， 
支撑我的就是你，神龙大人……"
MID_RELIANCE_A_#013,"[琉尔] 
为什么是我？"
MID_RELIANCE_A_#014,"[艾比] 
一开始我只是想跟大家对着干…… 
既然大家都信仰邪龙，那我就私下信仰神龙……"
MID_RELIANCE_A_#015,"[艾比] 
或许这只是微不足道的反抗…… 
但对当时的我来说意义重大……"
MID_RELIANCE_A_#016,"[艾比] 
越是崇拜神龙大人…… 
我就越能体会到自己跟那些人不同……"
MID_RELIANCE_A_#017,"[琉尔] 
不论是以什么样的形式， 
我都很高兴能帮上你的忙，艾比。"
MID_RELIANCE_A_#018,"[艾比] 
你、你看着我的眼睛说这种话…… 
太让人难为情了……"
MID_RELIANCE_A_#019,"[艾比] 
对我来说，你可是神啊…… 
希望你能克制一点……"
MID_RELIANCE_A_#020,"[琉尔] 
哈哈哈。 
好，我会注意的。"
MID_RELIANCE_A_#021,"[艾比] 
神龙大人……"
MID_RELIANCE_A_#022,"[艾比] 
现在你仍然是我的心灵支柱哦…… 
真的很谢谢你……"
MID_RELIANCE_B_#001,"[琉尔] 1 
[艾比] 2 

[艾比] 
…………"
MID_RELIANCE_B_#002,"[琉尔] 
艾比， 
差不多可以告诉我了吧？"
