key,text
MID_RELIANCE_A_#001,"[艾媞耶] 1 
[菈琵思] 2 

[艾媞耶] 
菈琵思小姐，谢谢您前阵子的帮助。 
托您的福，我更上一层楼了。"
MID_RELIANCE_A_#002,"[菈琵思] 
太好了， 
很高兴你喜欢我做的东西。"
MID_RELIANCE_A_#003,"[菈琵思] 
你送了我那么多费列聂的茶叶当谢礼， 
反倒让我觉得不太好意思呢。"
MID_RELIANCE_A_#004,"[艾媞耶] 
您可千万别这么说， 
那台锻炼器材真的很值得。"
MID_RELIANCE_A_#005,"[艾媞耶] 
对了，那是什么？ 
看起来像是马铃薯。"
MID_RELIANCE_A_#006,"[菈琵思] 
啊……！ 
这些啊……那个……"
MID_RELIANCE_A_#007,"[菈琵思] 
其实我是土生土长的布罗帝亚乡下人， 
我老家的特产就是马铃薯……"
MID_RELIANCE_A_#008,"[菈琵思] 
所以我父母偶尔会寄一些薯干给我。"
MID_RELIANCE_A_#009,"[艾媞耶] 
布罗帝亚乡下的薯干？ 
那该不会是……"
MID_RELIANCE_A_#010,"[艾媞耶] 
不容易形成脂肪，很有饱腹感， 
在精通健身的人之间很有名的薯干！？"
MID_RELIANCE_A_#011,"[菈琵思] 
还有这种传闻吗！？"
MID_RELIANCE_A_#012,"[艾媞耶] 
我都不知道要上哪去买这种薯干…… 
没想到会在这里见到。"
MID_RELIANCE_A_#013,"[菈琵思] 
你有兴趣的话，要不要吃吃看？"
MID_RELIANCE_A_#014,"[艾媞耶] 
可以吗！？ 
那我就不客气了！"
MID_RELIANCE_A_#015,"[艾媞耶] 
……好好吃！"
MID_RELIANCE_A_#016,"[艾媞耶] 
甜味瞬间便充盈了整个口腔， 
抚慰了疲惫的身体！"
MID_RELIANCE_A_#017,"[艾媞耶] 
太好吃了……谢谢您……！ 
我真的好感动……！"
MID_RELIANCE_A_#018,"[菈琵思] 
我第一次看到有人吃了薯干后开心成这样…… 
更没想到原来还有那样的传闻。"
MID_RELIANCE_A_#019,"[菈琵思] 
我这边还有很多， 
你不嫌弃就拿一些回去吧。"
MID_RELIANCE_A_#020,"[艾媞耶] 
可以吗！？"
MID_RELIANCE_A_#021,"[菈琵思] 
嗯，当然可以。"
MID_RELIANCE_A_#022,"[艾媞耶] 
天啊……太感谢您了…… 
我得再好好答谢您呢。"
MID_RELIANCE_A_#023,"[菈琵思] 
那艾媞耶，我想和你一起锻炼。"
MID_RELIANCE_A_#024,"[菈琵思] 
我虽然力气大， 
但不擅长打持久战。"
MID_RELIANCE_A_#025,"[菈琵思] 
如果你愿意陪我一起跑步增强体力， 
我会很开心的。"
MID_RELIANCE_A_#026,"[艾媞耶] 
小事一桩！ 
我们一起跑个痛快吧！"
MID_RELIANCE_A_#027,"[艾媞耶] 
您之所以力气这么大， 
说不定就是因为吃了这些马铃薯呢。"
MID_RELIANCE_A_#028,"[艾媞耶] 
今后我们也一起精进自己吧。 
菈琵思小姐！"
MID_RELIANCE_B_#001,"[艾媞耶] 1 
[菈琵思] 2 

[艾媞耶] 
菈琵思小姐， 
锻炼器材做得还顺利吗？"
MID_RELIANCE_B_#002,"[菈琵思] 
艾媞耶，你来得正好， 
我刚好完成了呢。"
MID_RELIANCE_B_#003,"[菈琵思] 
你看，这是肌肉锻炼器── 
壮壮三号。"
MID_RELIANCE_B_#004,"[艾媞耶] 
３号？"
MID_RELIANCE_B_#005,"[菈琵思] 
前两台试作品都失败了……"
MID_RELIANCE_B_#006,"[菈琵思] 
但这一台能满足你的需求， 
手臂、胸腹以及背部的肌肉全都能练到。"
MID_RELIANCE_B_#007,"[艾媞耶] 
太棒了……！真是理想的锻炼器材。 
请问制作费是多少呢？"
MID_RELIANCE_B_#008,"[菈琵思] 
这是我用树枝和废弃物做的， 
所以不用钱啦。"
MID_RELIANCE_B_#009,"[艾媞耶] 
树枝和废弃物？！ 
您、您真是厉害啊……"
MID_RELIANCE_B_#010,"[艾媞耶] 
但还是要算工本费的， 
我之后一定会好好答谢您。"
MID_RELIANCE_B_#011,"[艾媞耶] 
现在我能试用看看吗？"
MID_RELIANCE_B_#012,"[菈琵思] 
当然没问题。"
MID_RELIANCE_B_#013,"[艾媞耶] 
呼……呼……！ 
原来如此……！"
MID_RELIANCE_B_#014,"[艾媞耶] 
这恰到好处的负重感…… 
能感受到制作者非凡的才华。"
MID_RELIANCE_B_#015,"[艾媞耶] 
非常完美， 
正合我的需求！"
MID_RELIANCE_B_#016,"[菈琵思] 
太好了……！"
MID_RELIANCE_B_#017,"[艾媞耶] 
竟然能做出这么棒的器材， 
莫非您平时也很喜欢锻炼？"
MID_RELIANCE_B_#018,"[菈琵思] 
是啊……我都是捡石头来练的。 
像是那块，或是那块……"
MID_RELIANCE_B_#019,"[艾媞耶] 
您这么细的手臂…… 
抬得起那么大的石头？"
MID_RELIANCE_B_#020,"[艾媞耶] 
您、您是怎么办到的？ 
真是太不可思议了……"
MID_RELIANCE_B_#021,"[艾媞耶] 
菈琵思小姐，请务必跟我多聊聊， 
我和您应该能成为好朋友。"
MID_RELIANCE_B_#022,"[菈琵思] 
嗯？好的，请多指教。"
MID_RELIANCE_C_#001,"[艾媞耶] 1 
[菈琵思] 2 

[艾媞耶] 
菈琵思小姐， 
方便打扰您一下吗？"
MID_RELIANCE_C_#002,"[菈琵思] 
哎呀，艾媞耶。 
怎么了？"
MID_RELIANCE_C_#003,"[艾媞耶] 
听说您非常心灵手巧， 
什么都做得出来？"
MID_RELIANCE_C_#004,"[菈琵思] 
你从哪听说的呀。"
MID_RELIANCE_C_#005,"[菈琵思] 
基本上,只要有材料， 
家具跟玩具这些我都能做哦。"
MID_RELIANCE_C_#006,"[菈琵思] 
在布罗帝亚的时候， 
我还曾经自制乐器办过演奏会呢。"
MID_RELIANCE_C_#007,"[艾媞耶] 
太好了……！ 
我看好您的手艺，想拜托您一件事。"
