key,text
MID_RELIANCE_A_#001,"[史塔卢克] 1 

[希特丽妮卡] 2 

[史塔卢克] 
希特丽妮卡。"
MID_RELIANCE_A_#002,"[希特丽妮卡] 
史塔卢克……"
MID_RELIANCE_A_#003,"[史塔卢克] 
或许是因为流着相同的血吧…… 
我和希特丽妮卡非常相似呢。"
MID_RELIANCE_A_#004,"[史塔卢克] 
我不认同自己的价值…… 
就这点来说，希特丽妮卡也一样哦。"
MID_RELIANCE_A_#005,"[希特丽妮卡] 
你的意思是？"
MID_RELIANCE_A_#006,"[史塔卢克] 
你说自己没资格当我的家臣…… 
但这其实是一个天大的错误。"
MID_RELIANCE_A_#007,"[希特丽妮卡] 
你无需安慰我。"
MID_RELIANCE_A_#008,"[希特丽妮卡] 
我的实力比其他家臣还弱， 
这是不折不扣的事实。"
MID_RELIANCE_A_#009,"[史塔卢克] 
你说得对。 
单纯论力量的话，你可能稍为逊色。"
MID_RELIANCE_A_#010,"[史塔卢克] 
不过，你为了弥补自己的不足， 
成为家臣后日复一日地特训。"
MID_RELIANCE_A_#011,"[史塔卢克] 
不论刮风下雨， 
你都坚持不懈。"
MID_RELIANCE_A_#012,"[史塔卢克] 
为了自己的理想而努力奋斗…… 
你不觉得这也是一种实力吗？"
MID_RELIANCE_A_#013,"[希特丽妮卡] 
话虽如此……但这跟王族的 
家臣所需要的实力并不同吧。"
MID_RELIANCE_A_#014,"[史塔卢克] 
不， 
我不这么认为。"
MID_RELIANCE_A_#015,"[史塔卢克] 
正是因为希特丽妮卡的这份努力， 
才让我觉得你值得信赖啊。"
MID_RELIANCE_A_#016,"[希特丽妮卡] 
史塔卢克……"
MID_RELIANCE_A_#017,"[史塔卢克] 
当我听到你要成为我的家臣时， 
你知道我有多么安心吗？"
MID_RELIANCE_A_#018,"[史塔卢克] 
希特丽妮卡，我就老实说吧。"
MID_RELIANCE_A_#019,"[史塔卢克] 
我真的很庆幸是 
你来当我的家臣。"
MID_RELIANCE_A_#020,"[史塔卢克] 
就算是靠关系成为家臣的又如何……"
MID_RELIANCE_A_#021,"[史塔卢克] 
我根本一点都不在乎。"
MID_RELIANCE_A_#022,"[史塔卢克] 
我在意的是…… 
你想成为家臣的理由。"
MID_RELIANCE_A_#023,"[希特丽妮卡] 
我想保护史塔卢克……"
MID_RELIANCE_A_#024,"[史塔卢克] 
嗯…… 
谢谢你的这份厚意。"
MID_RELIANCE_A_#025,"[史塔卢克] 
希特丽妮卡…… 
有你这样的家臣，我实在太幸运了。"
MID_RELIANCE_A_#026,"[希特丽妮卡] 
史塔卢克……"
MID_RELIANCE_A_#027,"[希特丽妮卡] 
被你这么一夸奖， 
我不努力特训都不行了呢。"
MID_RELIANCE_A_#028,"[希特丽妮卡] 
毕竟我要保护史塔卢克啊。"
MID_RELIANCE_A_#029,"[史塔卢克] 
不， 
是我要保护希特丽妮卡才对哦。"
MID_RELIANCE_A_#030,"[希特丽妮卡] 
呵呵呵。 
史塔卢克，谢谢你。"
MID_RELIANCE_B_#001,"[希特丽妮卡] 2 

[希特丽妮卡] 
……不行啊。 
这种程度的实力根本不够。"
MID_RELIANCE_B_#002,"[希特丽妮卡] 
我没资格…… 
当史塔卢克的家臣……"
MID_RELIANCE_B_#003,"[史塔卢克] 1 

[史塔卢克] 
我倒不这么认为。"
MID_RELIANCE_B_#004,"[希特丽妮卡] 
史塔卢克？ 
你什么时候来的？"
MID_RELIANCE_B_#005,"[史塔卢克] 
我想知道希特丽妮卡在烦恼什么， 
于是就躲起来观察你特训的情形。"
MID_RELIANCE_B_#006,"[史塔卢克] 
没想到你在烦恼这种事…… 
你怎么会没资格当我的家臣呢？"
MID_RELIANCE_B_#007,"[希特丽妮卡] 
…………"
MID_RELIANCE_B_#008,"[希特丽妮卡] 
我们是堂亲关系， 
从小就情同手足呢。"
MID_RELIANCE_B_#009,"[希特丽妮卡] 
你的个性从以前就很悲观， 
老是一副战战兢兢的样子……"
MID_RELIANCE_B_#010,"[希特丽妮卡] 
凡事都被拿来跟帝亚曼德比较， 
也难怪你会没有自信呢。"
MID_RELIANCE_B_#011,"[史塔卢克] 
是啊…… 
虽然现在也差不多就是了……"
MID_RELIANCE_B_#012,"[希特丽妮卡] 
但我知道许多史塔卢克的优点。"
MID_RELIANCE_B_#013,"[希特丽妮卡] 
你能一眼看出并认同其他人的价值。"
MID_RELIANCE_B_#014,"[希特丽妮卡] 
还会诚心地称赞别人。"
MID_RELIANCE_B_#015,"[希特丽妮卡] 
史塔卢克， 
我还能说出更多你的优点哦。"
MID_RELIANCE_B_#016,"[史塔卢克] 
你，你太过奖了……"
MID_RELIANCE_B_#017,"[希特丽妮卡] 
我从小就在想…… 
我一定要保护史塔卢克。"
