key,text
MID_RELIANCE_A_#001,"[ゴルドマリー] 1 
[ユナカ] 2 
[ユナカ] 
ゴルドマリー氏。 
先日は情けないところを見せてしまいましたな…"
MID_RELIANCE_A_#002,"[ユナカ] 
やはり家事をすると気持ちが落ち着かず、 
取り乱してしまうのでござる…"
MID_RELIANCE_A_#003,"[ゴルドマリー] 
大丈夫ですよ。 
どうかお気になさらず…"
MID_RELIANCE_A_#004,"[ゴルドマリー] 
あのあと、ユナカさんのことを 
ずっと考えていました…"
MID_RELIANCE_A_#005,"[ゴルドマリー] 
噂で聞いたのですが、 
ユナカさんは物真似がお得意なんですよね。"
MID_RELIANCE_A_#006,"[ユナカ] 
は、はい。まあ。"
MID_RELIANCE_A_#007,"[ゴルドマリー] 
それでしたら… 
わたしの物真似をしていただけませんか？"
MID_RELIANCE_A_#008,"[ユナカ] 
えっ？"
MID_RELIANCE_A_#009,"[ゴルドマリー] 
わたしが鼻歌をうたいながら、 
洗濯をしているところを真似てみてください。"
MID_RELIANCE_A_#010,"[ユナカ] 
わ、わかりました… 
確か…こんな感じでしたな…"
MID_RELIANCE_A_#011,"[ユナカ] 
「ふんふん…♪ 
今日はお洗濯日より…」"
MID_RELIANCE_A_#012,"[ユナカ] 
「家事を完璧にこなす姿に、 
男性の視線は釘付け…」"
MID_RELIANCE_A_#013,"[ゴルドマリー] 
いいですよ… 
その感じのまま、実際にお洗濯してみましょう…！"
MID_RELIANCE_A_#014,"[ユナカ] 
わ、わかりました…！"
MID_RELIANCE_A_#015,"[ゴルドマリー] 
どうでしたか？ 
お洗濯、怖かったですか？"
MID_RELIANCE_A_#016,"[ユナカ] 
いえ。それが不思議なことに、 
全くなんともなかったですぞ。"
MID_RELIANCE_A_#017,"[ユナカ] 
ゴルドマリー氏の気持ちになりきっているので、 
自分の過去を思い出す暇がありませんでした。"
MID_RELIANCE_A_#018,"[ゴルドマリー] 
よかった… 
大成功です…！"
MID_RELIANCE_A_#019,"[ゴルドマリー] 
これからは、わたしの真似をしながら 
家事をしてみてください…"
MID_RELIANCE_A_#020,"[ゴルドマリー] 
そのうちに、家事をしても大丈夫だと 
心が学習していきます。"
MID_RELIANCE_A_#021,"[ゴルドマリー] 
小さな成功の体験が、心の傷の克服に繋がると 
聞いたことがあるのです…"
MID_RELIANCE_A_#022,"[ユナカ] 
な、なるほど。 
そういうことですか…！"
MID_RELIANCE_A_#023,"[ユナカ] 
ありがとうございます。 
ゴルドマリー氏は本物の女神ですな。"
MID_RELIANCE_A_#024,"[ユナカ] 
わたくしめは新しい自分になりたいと言いましたが、 
その目標ができました。ゴルドマリー氏です…！"
MID_RELIANCE_A_#025,"[ゴルドマリー] 
お…お恥ずかしい… 
恐縮です…"
MID_RELIANCE_A_#026,"[ゴルドマリー] 
元々完璧だったのに、 
さらに完璧になってしまったようですね…"
MID_RELIANCE_A_#027,"[ユナカ] 
よし、さっそくメモですぞ。 
褒められたときは…"
MID_RELIANCE_A_#028,"[ユナカ] 
「元々完璧だったのに、さらに完璧になってしまった」 
と言って涙目で謝る、と…"
MID_RELIANCE_A_#029,"[ゴルドマリー] 
ちょ、ちょっと待ってください… 
今のは学ばなくていいのですよ…！"
MID_RELIANCE_A_#030,"[ユナカ] 
はは、冗談ですぞ。 
照れたお顔もかわいいですな、師匠！"
MID_RELIANCE_A_#031,"[ユナカ] 
手のかかる弟子かもしれませんが、 
これからどうぞ、よろしくお願いいたします！"
MID_RELIANCE_A_#032,"[ゴルドマリー] 
わかりました… 
こんなわたしでよければ、こちらこそ是非…"
MID_RELIANCE_B_#001,"[ゴルドマリー] 1 
[ゴルドマリー] 
ふんふん…♪ 
お皿洗い楽しいです…"
MID_RELIANCE_B_#002,"[ゴルドマリー] 
きれいなお皿… 
そこに映るわたしもきれいです…"
MID_RELIANCE_B_#003,"[ユナカ] 2 
[ユナカ] 
ゴルドマリー氏。 
この間は申し訳ありませんでした。"
