key,text
MID_GR_Alfred_A_#001,"[Alfred] 1 

[Eirika] 2 
[Alfred] 
Emblems are weird. You're right here in front 
of me, but you don't have a body."
MID_GR_Alfred_A_#002,"[Alfred] 
Your will is so strong that you don't need one. 
Guess that's what it takes to be an Emblem."
MID_GR_Alfred_A_#003,"[Eirika] 
I'm not so certain. I'd consider myself a novice 
and not much stronger than you."
MID_GR_Alfred_A_#004,"[Eirika] 
When I see how hard you drive yourself, it spurs 
me to do my all to match."
MID_GR_Alfred_B_#001,"[Alfred] 1 

[Eirika] 2 

[Eirika] 
Is it not hard for you to rise before daybreak? 
To undergo a morning routine while still sleepy?"
MID_GR_Alfred_B_#002,"[Alfred] 
Once, maybe, but I'm used to it. Mornings are 
better when you've got your game face on!"
MID_GR_Alfred_C_#001,"[Alfred] 1 

[Eirika] 2 

[Eirika] 
You're always so lively in the mornings. The 
mere sight of it is enough to fill me with energy."
MID_GR_Alfred_C_#002,"[Alfred] 
Yeah, I can have that effect on people! Wanna 
come running with me sometime?"
MID_GR_Anna_A_#001,"[Anna] 1 

[Eirika] 2 

[Eirika] 
Just browsing through your dazzling array of 
wares is enough to brighten my mood."
MID_GR_Anna_A_#002,"[Anna] 
Great! Look all you want! For you, Eirika, 
my stall is always open."
MID_GR_Anna_A_#003,"[Eirika] 
That's nice of you. But are you sure it's not a 
problem that I can't buy anything?"
MID_GR_Anna_A_#004,"[Anna] 
Nah. Just between us, I'm raking in the dough 
from all the customers coming to see you!"
MID_GR_Anna_B_#001,"[Anna] 1 

[Eirika] 2 

[Eirika] 
You always have such interesting items for sale. 
If only I could purchase any of them."
MID_GR_Anna_B_#002,"[Anna] 
I normally frown on window shoppers, but if it 
makes you happy, I'd be willing to let it slide."
MID_GR_Anna_C_#001,"[Anna] 1 

[Eirika] 2 
[Anna] 
Ooo, a pretty Emblem! Welcome to my shop. 
I've got all kinds of rare stuff for sale!"
MID_GR_Anna_C_#002,"[Eirika] 
I came to see your wares, but something about 
you feels very familiar."
MID_GR_Bonet_A_#001,"[Bunet] 1 

[Eirika] 2 
[Bunet] 
So, you can't sense flavors with your eyes? 
A shame. I so wanted you to taste my cooking."
MID_GR_Bonet_A_#002,"[Eirika] 
I wanted that too. But I have an idea..."
MID_GR_Bonet_A_#003,"[Eirika] 
I will watch you cook, paying attention to every 
detail. And I will imagine how each bite tastes."
MID_GR_Bonet_A_#004,"[Bunet] 
Use the power of imagination...to conjure the 
soul of a meal? A delicious experiment indeed."
MID_GR_Bonet_B_#001,"[Bunet] 1 

[Eirika] 2 
[Bunet] 
Eirika, please, as you can sense flavor with 
your eyes, tell me... How does this dish taste?"
MID_GR_Bonet_B_#002,"[Eirika] 
Oh! I only meant I can see your food is delicious 
because I can see people smile when they eat it."
MID_GR_Bonet_C_#001,"[Bunet] 1 

[Eirika] 2 

[Eirika] 
Your cooking looks truly delicious, Bunet. I can 
almost taste it just by looking at it."
MID_GR_Bonet_C_#002,"[Bunet] 
You can tell a dish's flavor from a single look? 
Splendid! How I envy those eyes of yours."
MID_GR_Boucheron_A_#001,"[Boucheron] 1 

[Eirika] 2 

[Eirika] 
I'd like to take up reading as a hobby. But not 
being able to turn the pages is an issue."
MID_GR_Boucheron_A_#002,"[Boucheron] 
Well, if there's a book you want to read, I'd be 
happy to turn the pages for you."
MID_GR_Boucheron_A_#003,"[Eirika] 
Thank you! I'm curious about Elyos, so a history 
book would be nice. Or is that too long?"
MID_GR_Boucheron_A_#004,"[Boucheron] 
No sweat. These muscles of mine could power 
through a thousand pages if they had to."
MID_GR_Boucheron_B_#001,"[Boucheron] 1 

[Eirika] 2 

[Boucheron] 
Do you read much, Eirika? I like it because it 
puts you in someone else's shoes."
MID_GR_Boucheron_B_#002,"[Eirika] 
If everyone read as much as you do, I don't 
doubt the world would be a kinder place."
MID_GR_Boucheron_C_#001,"[Boucheron] 1 

[Eirika] 2 

[Eirika] 
I admire your form, Boucheron. I wish I had 
muscles like yours."
MID_GR_Boucheron_C_#002,"[Boucheron] 
What?! I don't know, Eirika. I've seen you fight, 
and you do just fine the way you are."
MID_GR_Celine_A_#001,"[Céline] 1 

[Eirika] 2 

[Eirika] 
I can tell from the scent alone that your tea 
is magnificent, Céline."
MID_GR_Celine_A_#002,"[Céline] 
You honor me. As a princess, it's important for 
me to establish a welcoming atmosphere."
MID_GR_Celine_A_#003,"[Eirika] 
There's more to it than manners and etiquette, 
isn't there? You wear your heart in your leaves."
MID_GR_Celine_A_#004,"[Céline] 
I learned from your example. There is joy in 
seeing signs that someone else cares for us."
MID_GR_Celine_B_#001,"[Céline] 1 

[Eirika] 2 

[Eirika] 
War takes a heavy mental toll. We must not 
forget to care for those scarred by combat."
MID_GR_Celine_B_#002,"[Céline] 
I find that the soothing aroma of a floral tea 
does much to calm the mind. I'll prepare a pot."
MID_GR_Celine_C_#001,"[Céline] 1 

[Eirika] 2 

[Céline] 
They tell me you dislike conflict, Eirika. Is it not 
painful for you to wage war as an Emblem?"
MID_GR_Celine_C_#002,"[Eirika] 
I've made up my mind to do whatever I can if it 
stops even one person from grieving."
MID_GR_Chloe_A_#001,"[Chloé] 1 

[Eirika] 2 
[Chloé] 
Eirika, all I meant was that one of you is already 
beautiful. Two of you would be even lovelier!"
MID_GR_Chloe_A_#002,"[Eirika] 
I had heard that you appreciated storybook 
scenes of that sort. And since we're twins..."
MID_GR_Chloe_A_#003,"[Chloé] 
You'd look even dreamier side by side! The 
trouble is, he only shows himself in battle."
MID_GR_Chloe_A_#004,"[Eirika] 
True enough. I know you had your heart set on 
it, but I think you and I match up nicely too."
MID_GR_Chloe_B_#001,"[Chloé] 1 

[Eirika] 2 
[Chloé] 
Your brother's so wonderful, Eirika. He's as 
gorgeous as you and every bit as strong too."
MID_GR_Chloe_B_#002,"[Eirika] 
I'm sure he appreciates the compliments. Wait... 
Chloé, are you..."
MID_GR_Chloe_C_#001,"[Chloé] 1 

[Eirika] 2 
[Chloé] 
Um, Eirika? Who is that beautiful man who 
shows up sometimes and looks just like you?"
MID_GR_Chloe_C_#002,"[Eirika] 
That's my twin brother, Ephraim. Sorry if he 
surprised you, but he's impressed with you too."
MID_GR_Citrinica_A_#001,"[Citrinne] 1 

[Eirika] 2 

[Eirika] 
I've given it plenty of thought, Citrinne...and I've 
landed on a gift idea that I would truly love."
MID_GR_Citrinica_A_#002,"[Citrinne] 
Oh, that's marvelous! I'm so glad! Tell me, what 
expression of our friendship shall I buy for you?"
MID_GR_Citrinica_A_#003,"[Eirika] 
What I would cherish most...is the knowledge 
that you care for me. And I already have that."
MID_GR_Citrinica_A_#004,"[Citrinne] 
Oh, Eirika... If that's a gift, then you've given it 
right back to me. Let's both cherish it together."
MID_GR_Citrinica_B_#001,"[Citrinne] 1 

[Eirika] 2 

[Citrinne] 
There must be some gift I can offer you, Eirika. 
Shall I buy you a mountain? Rent out the coast?"
MID_GR_Citrinica_B_#002,"[Eirika] 
Um, those would both be a bit much, but I can 
sense your sincerity. Let me think it over."
MID_GR_Citrinica_C_#001,"[Citrinne] 1 

[Eirika] 2 

[Citrinne] 
I love to treat friends to little gifts. What can I 
get for you, Eirika? Say the word and it's yours."
MID_GR_Citrinica_C_#002,"[Eirika] 
Hehe, you're so kind, Citrinne. For now, the 
offer on its own is more than enough."
MID_GR_Clan_A_#001,"[Clanne] 1 

[Eirika] 2 
[Clanne] 
Twins are strange, right? We're born at the 
same time, but one is always older."
MID_GR_Clan_A_#002,"[Eirika] 
My brother always uses the excuse that he's 
older so he can do things for me."
MID_GR_Clan_A_#003,"[Eirika] 
He says being younger means getting doted on, 
even if I was born at nearly the same time."
MID_GR_Clan_A_#004,"[Clanne] 
If he's anything like me, he's showing you how 
much he loves his twin."
MID_GR_Clan_B_#001,"[Clanne] 1 

[Eirika] 2 

[Eirika] 
My twin brother has always treated me like a 
child, even though I was born shortly after him."
MID_GR_Clan_B_#002,"[Clanne] 
Oh yeah? Wow. I'm the older one and I always 
worry about my sister too."
MID_GR_Clan_C_#001,"[Clanne] 1 

[Eirika] 2 
[Clanne] 
Wow, you're a twin too, Lady Eirika?"
MID_GR_Clan_C_#002,"[Eirika] 
Yes! Just like you, we're an older brother and 
younger sister. We should compare experiences."
MID_GR_Diamand_A_#001,"[Diamant] 1 

[Eirika] 2 
[Diamant] 
My father taught me to control through power. 
Now I'm crown prince of a military juggernaut."
MID_GR_Diamand_A_#002,"[Eirika] 
I also had a military-minded father, so I decided 
to train in the combat arts."
MID_GR_Diamand_A_#003,"[Eirika] 
I will be honest, I take no pleasure from drawing 
a sword, but sometimes there's no other choice."
MID_GR_Diamand_A_#004,"[Diamant] 
I agree. Power must be used to protect people... 
but it must also protect the peace that follows."
MID_GR_Diamand_B_#001,"[Diamant] 1 

[Eirika] 2 

[Eirika] 
You've been the heir to your throne since birth, 
haven't you, Diamant? How has that felt?"
MID_GR_Diamand_B_#002,"[Diamant] 
Matters of the crown are always on my mind... 
but I make sure my heart gives the orders."
MID_GR_Diamand_C_#001,"[Diamant] 1 

[Eirika] 2 
[Diamant] 
I heard you have a twin brother, Eirika. Did that 
ever complicate the matter of succession?"
MID_GR_Diamand_C_#002,"[Eirika] 
Not at all. I never planned to challenge my older 
brother. There is no one more suited to be king."
MID_GR_Etie_A_#001,"[Etie] 1 

[Eirika] 2 

[Eirika] 
I must say, Etie. The idea of working out as a 
way of life has opened my mind."
MID_GR_Etie_A_#002,"[Etie] 
The best part is you really get results going 
about it that way!"
MID_GR_Etie_A_#003,"[Etie] 
Still, you've gotta focus on the process, not the 
results. Wanna give it a try sometime, Eirika?"
MID_GR_Etie_A_#004,"[Eirika] 
I'd like that. If I see things your way, I think 
I could train hard while having fun doing it!"
