key,text
MID_RELIANCE_A_#001,"[琉尔] 1 

[路易] 2 
[路易] 
谢谢您，神龙大人。 
您真是帮大忙了。"
MID_RELIANCE_A_#002,"[路易] 
每次给弟弟们选礼物时， 
我总会看得眼花缭乱，迟迟下不了决定。"
MID_RELIANCE_A_#003,"[琉尔] 
不客气，这只是举手之劳。 
但我想只要是你送的，不管是什么他们都会很开心的。"
MID_RELIANCE_A_#004,"[琉尔] 
对了……你的信写好了吗？ 
我记得你说要和礼物一起寄过去的。"
MID_RELIANCE_A_#005,"[路易] 
我原本是那么打算的…… 
但想想还是算了吧。"
MID_RELIANCE_A_#006,"[琉尔] 
为什么呢？"
MID_RELIANCE_A_#007,"[路易] 
本来是想着我会有好一阵子没办法回家， 
所以至少送些礼物和写信给他们……"
MID_RELIANCE_A_#008,"[路易] 
可当我真要开始写信时， 
却不知道该怎么下笔……"
MID_RELIANCE_A_#009,"[琉尔] 
我看这样好了，你先别顾虑太多， 
想到什么就先写下来再说。"
MID_RELIANCE_A_#010,"[路易] 
想到什么就先写下来吗……"
MID_RELIANCE_A_#011,"[路易] 
总觉得这样会变得很像流水账…… 
比如“我过得很好，你们呢？”这样的开头。"
MID_RELIANCE_A_#012,"[琉尔] 
那样也很好啊。 
我相信对他们来说，光是收到你的信就很开心了。"
MID_RELIANCE_A_#013,"[琉尔] 
而且我觉得…… 
心意还是要及时传达给对方才好。"
MID_RELIANCE_A_#014,"[路易] 
神龙大人……"
MID_RELIANCE_A_#015,"[路易] 
您说得对……谢谢您。 
我想我还是写信给他们吧。"
MID_RELIANCE_A_#016,"[路易] 
难得有这个机会， 
我打算也写点神龙大人的事。"
MID_RELIANCE_A_#017,"[琉尔] 
要写我吗？"
MID_RELIANCE_A_#018,"[路易] 
因为我想让弟弟他们知道， 
神龙大人您是个多么美好的人。"
MID_RELIANCE_A_#019,"[路易] 
我想将重要的伙伴介绍给家人认识。"
MID_RELIANCE_A_#020,"[琉尔] 
虽然有点不好意思…… 
但我很高兴哦，谢谢你，路易。"
MID_RELIANCE_B_#001,"[琉尔] 1 

[路易] 2 
[路易] 
…………"
MID_RELIANCE_B_#002,"[琉尔] 
嗨，路易。"
MID_RELIANCE_B_#003,"[路易] 
神龙大人……"
MID_RELIANCE_B_#004,"[琉尔] 
你在看女孩们谈天吗？ 
要是会打扰到你，我就先离开吧。"
MID_RELIANCE_B_#005,"[路易] 
不，没有的事， 
我只是想到了家人。"
MID_RELIANCE_B_#006,"[路易] 
……想到我那三个还留在家乡的弟弟。"
MID_RELIANCE_B_#007,"[琉尔] 
弟弟……也就是说，你是长兄吧。"
MID_RELIANCE_B_#008,"[路易] 
是的，我在四兄弟里面排行老大。"
MID_RELIANCE_B_#009,"[琉尔] 
原来如此。 
长子往往要承担更多，很辛苦吧？"
MID_RELIANCE_B_#010,"[路易] 
的确称得上辛苦吧。"
MID_RELIANCE_B_#011,"[路易] 
母亲走得早， 
所以三个弟弟都是我带大的。"
MID_RELIANCE_B_#012,"[路易] 
不过我弟弟们都很招人疼， 
所以虽然辛苦，我还是熬过来了。"
MID_RELIANCE_B_#013,"[琉尔] 
这段照顾弟弟们的过往， 
应该在你的骑士生涯中派上过用场吧。"
MID_RELIANCE_B_#014,"[路易] 
的确是派上用场了。 
因为有过这样的经历，平常小事不足以让我乱了手脚。"
MID_RELIANCE_B_#015,"[路易] 
不过说起来…… 
或许我会有这样的兴趣是受了环境的影响。"
MID_RELIANCE_B_#016,"[琉尔] 
兴趣？"
MID_RELIANCE_B_#017,"[路易] 
也许是因为我是在男孩堆里面长大的， 
所以我才会喜欢看女孩们聚在一起吧。"
MID_RELIANCE_B_#018,"[琉尔] 
是、是这样啊……"
MID_RELIANCE_B_#019,"[琉尔] 
那你的弟弟们…… 
该不会也有这样的兴趣吧？"
MID_RELIANCE_B_#020,"[路易] 
他们倒是完全没这方面的兴趣呢。"
MID_RELIANCE_B_#021,"[琉尔] 
那、那你的兴趣， 
应该跟成长环境没太大关系吧……"
MID_RELIANCE_B_#022,"[路易] 
哈哈哈， 
那我就真不知道是为什么了。"
MID_RELIANCE_C_#001,"[琉尔] 1 

[路易] 2 

[琉尔] 
路易，你在做什么呀？"
MID_RELIANCE_C_#002,"[路易] 
神龙大人， 
我没在做什么。"
MID_RELIANCE_C_#003,"[路易] 
就只是站在这里， 
安静地遥望女孩们谈天罢了。"
MID_RELIANCE_C_#004,"[琉尔] 
为、为什么要这么做呢？"
MID_RELIANCE_C_#005,"[路易] 
为什么…… 
这还真有点难回答呢。"
MID_RELIANCE_C_#006,"[路易] 
某种意义上来说，这算是个哲学问题。"
MID_RELIANCE_C_#007,"[路易] 
如果一定要我给出个答案， 
那就是为了我的幸福吧。"
MID_RELIANCE_C_#008,"[琉尔] 
也就是说…… 
你喜欢看女孩们谈天的情景，是吗？"
MID_RELIANCE_C_#009,"[路易] 
是的，非常喜欢。"
MID_RELIANCE_C_#010,"[路易] 
我不会靠近，也不会参与谈话， 
当然更不会去接触她们。"
MID_RELIANCE_C_#011,"[路易] 
我只是远远地、静静地看着她们， 
我这样的行为是不妥的吗？"
MID_RELIANCE_C_#012,"[琉尔] 
……我想多少有些不妥吧。"
MID_RELIANCE_C_#013,"[琉尔] 
有些事情即使不犯法，也是不为世人接纳的。"
MID_RELIANCE_C_#014,"[琉尔] 
如果她们感到不适， 
那你就别再继续了。"
MID_RELIANCE_C_#015,"[路易] 
我明白的，神龙大人。"
