key,text
MID_SAVEDATA_CONFIRM_CLEARDATA,"クリアデータをセーブしますか？ 
（自軍の状態は第26章戦闘開始前のものになりますが 
クリアの実績が記録されます）"
MID_SAVEDATA_CONFIRM_COPY,セーブデータをコピーしますか？
MID_SAVEDATA_CONFIRM_COPY_YES,コピーする
MID_SAVEDATA_CONFIRM_DELETE,セーブデータを消去しますか？
MID_SAVEDATA_CONFIRM_DELETE_YES,消去する
MID_SAVEDATA_CONFIRM_SKIP_WRITING,"現在の状態をセーブせずに 
次へ進みますか？"
MID_SAVEDATA_CONFIRM_SKIP_YES,進む
MID_SAVEDATA_CONFIRM_SUSPEND,"現在の状態をセーブしてタイトル画面に戻ります。 
よろしいですか？"
MID_SAVEDATA_CONFIRM_SUSPEND_COPY,中断データはコピーできません。
MID_SAVEDATA_CONFIRM_SUSPEND_LOAD,"中断データをロード後にゲームを終了すると 
出撃前の状態に戻ってしまいます。 
状態を保存したい時は、再び「中断」を行ってください。"
MID_SAVEDATA_CONFIRM_WRITING,現在の状態をセーブしますか？
MID_SAVEDATA_COPYING,"セーブデータをコピーしています。 
電源を切ったりしないでください。"
MID_SAVEDATA_COPY_DST_HELP,コピー先のスロットを選択してください
MID_SAVEDATA_COPY_FAILED,セーブデータのコピーに失敗しました。
MID_SAVEDATA_COPY_SRC_HELP,コピー元のスロットを選択してください
MID_SAVEDATA_COPY_TITLE,データコピー
MID_SAVEDATA_DELETE_FAILED,セーブデータの消去に失敗しました。
MID_SAVEDATA_DELETE_HELP,スロットを選択してください
MID_SAVEDATA_DELETE_TITLE,データ消去
MID_SAVEDATA_DELETING,"セーブデータを消去しています。 
電源を切ったりしないでください。"
MID_SAVEDATA_LOAD_FAILED,セーブデータのロードに失敗しました。
MID_SAVEDATA_LOAD_HELP,スロットを選択してください
MID_SAVEDATA_LOAD_YES,ロードする
MID_SAVEDATA_NO_DATA,セーブデータなし
MID_SAVEDATA_OLD_VERSION,"ソフトのバージョンが古いため 
このセーブデータはロードできません 
ニンテンドーeショップ等で更新を行ってください"
MID_SAVEDATA_READING,"セーブデータをロードしています。 
電源を切ったりしないでください。"
MID_SAVEDATA_SAVE_FAILED,現在の状態のセーブに失敗しました。
MID_SAVEDATA_SAVE_HELP,スロットを選択してください
MID_SAVEDATA_SAVE_TITLE,セーブ
MID_SAVEDATA_SAVE_YES,セーブする
MID_SAVEDATA_SEQ_BMAP,出撃中
MID_SAVEDATA_SEQ_BMAP_AFTER,クリア後
MID_SAVEDATA_SEQ_BMAP_ENCOUNT,遭遇戦中
MID_SAVEDATA_SEQ_BMAP_TRAINING,訓練中
MID_SAVEDATA_SEQ_ENCOUNT_AFTER,遭遇戦後
MID_SAVEDATA_SEQ_GMAP,ワールドマップ
MID_SAVEDATA_SEQ_HUB,拠点ソラネル
MID_SAVEDATA_SEQ_KIZUNA,散策中
MID_SAVEDATA_SEQ_SORTIE,出撃前
MID_SAVEDATA_SEQ_SORTIE_ENCOUNT,遭遇戦前
MID_SAVEDATA_SEQ_SORTIE_TRAINING,訓練前
MID_SAVEDATA_SEQ_TRAINING_AFTER,訓練後
MID_SAVEDATA_SUSPEND_HELP,スロットを選択してください
MID_SAVEDATA_SUSPEND_TITLE,中断
MID_SAVEDATA_SUSPEND_YES,中断する
MID_SAVEDATA_TYPE_AUTO,オートセーブ
MID_SAVEDATA_TYPE_MANUAL,スロット
MID_SAVEDATA_VERSION_ERROR,"セーブデータのバージョンが異なるため 
ロードに失敗しました。 
ゲームを最新版に更新してください。"
MID_SAVEDATA_WRITING,"現在の状態をセーブしています。 
電源を切ったりしないでください。"
