key,text
MID_LVUP_1_Alfred,"[阿尔弗雷德] t 
[阿尔弗雷德] Surprise 
[阿尔弗雷德] 
哎呀，没办法。 
偶尔也是会有这种情况的。"
MID_LVUP_1_Anna,"[安娜] t 
[安娜] Pain 
[安娜] 
这、这是为了下一次在蓄积力量！ 
肯定是这样！"
MID_LVUP_1_Bonet,"[波聂] t 
[波聂] Surprise 
[波聂] 
和想象中的味道不一样呢……"
MID_LVUP_1_Boucheron,"[布修隆] t 

[布修隆] Sad 

[布修隆] 
呜…… 
没出息到我都哭了……"
MID_LVUP_1_Celine,"[锡莉奴] t 
[锡莉奴] Sad 

[锡莉奴] 
下次一定要…… 
练就可以捍卫和平的力量……"
MID_LVUP_1_Chloe,"[克萝艾] t 
[克萝艾] Sad 
[克萝艾] 
对不起。 
可能是我的肚子有点饿……"
MID_LVUP_1_Citrinica,"[希特丽妮卡] t 

[希特丽妮卡] Sad 

[希特丽妮卡] 
哎呀…… 
只好等下一个机会了。"
MID_LVUP_1_Clan,"[柯岚] t 
[柯岚] Sad 
[柯岚] 
是不是我还不够努力呢…… 
回头要好好检讨才行。"
MID_LVUP_1_Diamand,"[帝亚曼德] t 
[帝亚曼德] Status 
[帝亚曼德] 
现在可没有时间后悔。 
只能靠现有的力量战斗了。"
MID_LVUP_1_Etie,"[艾媞耶] t 

[艾媞耶] Surprise 

[艾媞耶] 
哎呀。 
看来我锻炼得还不够呢。"
MID_LVUP_1_Fogato,"[佛贾特] t 

[佛贾特] Shy 

[佛贾特] 
啊哈哈……抱歉。 
完全没有变化啊。"
MID_LVUP_1_Fram,"[芙岚] t 
[芙岚] Surprise 
[芙岚] 
为、为什么？ 
我明明很努力了……"
MID_LVUP_1_Goldmary,"[戈尔德玛莉] t 
[戈尔德玛莉] Surprise 
[戈尔德玛莉] 
咦？ 
应该是我看错了吧？"
MID_LVUP_1_Hortensia,"[奥尔坦希亚] t 
[奥尔坦希亚] StandBy 
[奥尔坦希亚] 
是要人家更努力的意思对吧？ 
人家接受挑战！"
MID_LVUP_1_Ivy,"[艾比] t 
[艾比] Sad 

[艾比] 
我辜负了神龙大人的期待……"
MID_LVUP_1_Jade,"[洁德] t 
[洁德] Sad 

[洁德] 
“骑士并未获得太多成长……”"
MID_LVUP_1_Jean,"[贾恩] t 
[贾恩] Sad 
[贾恩] 
糟糕……一定是我不够努力。 
我得勤加练习才行。"
MID_LVUP_1_Kagetsu,"[花月] t 
[花月] Surprise 
[花月] 
咦～！ 
实在无法理解，真是稀奇古怪！"
MID_LVUP_1_Lapis,"[菈琵思] t 
[菈琵思] Sad 
[菈琵思] 
不知道为什么， 
这让我联想到庄稼歉收的农田。"
MID_LVUP_1_Linden,"[霖丹] t 
[霖丹] Serious 

[霖丹] 
老夫的发育期已经结束很久了呐。"
MID_LVUP_1_Louis,"[路易] t 
[路易] Surprise 
[路易] 
哎呀哎呀。这是…… 
真是抱歉啊。"
MID_LVUP_1_Lueur,"[琉尔] t 
[琉尔] Sad 

[琉尔] 
好像没怎么变呢……"
MID_LVUP_1_Mauve,"[莫布] t 
[莫布] Serious 
[莫布] 
必须更加精进才行呢。"
MID_LVUP_1_Merin,"[玫琳] t 
[玫琳] Shy 
[玫琳] 
这还真是…… 
让你看见我的丑态了啊。"
MID_LVUP_1_Misutira,"[蜜丝提拉] t 

[蜜丝提拉] Shy 

[蜜丝提拉] 
没办法。 
总会有状况不好的时候呢！"
MID_LVUP_1_Pandoro,"[庞德罗] t 
[庞德罗] Pain 

[庞德罗] 
神龙大人， 
请您原谅我这头迷途的羔羊……"
MID_LVUP_1_Panetone,"[帕涅托涅] t 
[帕涅托涅] Pain 

[帕涅托涅] 
真没用啊……"
MID_LVUP_1_Rosado,"[罗萨德] t 
[罗萨德] Shy 

[罗萨德] 
嗯，这也算是一种可爱吧～"
MID_LVUP_1_Saphir,"[札菲亚] t 

[札菲亚] StandBy 

[札菲亚] 
这也是常有的事呢。 
期待下次吧！"
MID_LVUP_1_Seadas,"[赛安达斯] t 
[赛安达斯] Normal 

[赛安达斯] 
努力不见得一定会有回报。"
MID_LVUP_1_Staluke,"[史塔卢克] t 

[史塔卢克] Sad 

[史塔卢克] 
反正我也不过如此了……"
MID_LVUP_1_Umber,"[安巴] t 
[安巴] Pain 

[安巴] 
好啊！这么一来就能变得更强…… 
……没变强！？"
MID_LVUP_1_Vandre,"[凡德雷] t 

[凡德雷] Sad 

[凡德雷] 
……呃。十分抱歉，神龙大人。"
MID_LVUP_1_Veyre,"[贝珥] t 
[贝珥] Sad 

[贝珥] 
对、对不起。 
想必让你失望了吧。"
MID_LVUP_1_Yunaka,"[尤娜卡] t 
[尤娜卡] Shy 
[尤娜卡] 
啊哈哈…… 
希望你笑过就算了！"
MID_LVUP_1_Zelkova,"[杰尔科巴] t 
[杰尔科巴] Die 

[杰尔科巴] 
有时“没有变化”也很“重要”……"
MID_LVUP_2_Alfred,"[阿尔弗雷德] t 
[阿尔弗雷德] Shy 
[阿尔弗雷德] 
若是成长太过迅速， 
身体也会不堪负荷的。"
MID_LVUP_2_Anna,"[安娜] t 
[安娜] 
Relax 
[安娜] 
今天的业绩还行啦。 
下次也要加油。"
MID_LVUP_2_Bonet,"[波聂] t 
[波聂] Status 
[波聂] 
夺取性命将其化为食粮…… 
看来战斗和烹饪是一样的。"
MID_LVUP_2_Boucheron,"[布修隆] t 

[布修隆] Status 

[布修隆] 
好像变强一点了…… 
真叫人自豪。"
MID_LVUP_2_Celine,"[锡莉奴] t 
[锡莉奴] 
Relax 

[锡莉奴] 
真令人高兴。 
今后我也会虚心受教、继续精进的。"
MID_LVUP_2_Chloe,"[克萝艾] t 
[克萝艾] 
Relax 
[克萝艾] 
希望我能够脚踏实地慢慢成长。"
MID_LVUP_2_Citrinica,"[希特丽妮卡] t 

[希特丽妮卡] Status 

[希特丽妮卡] 
就照这个步调， 
慢慢补足王城士兵应有的实力吧……"
MID_LVUP_2_Clan,"[柯岚] t 
[柯岚] 
Smile 
[柯岚] 
跟我想的一样。 
我变得更强了，神龙大人。"
MID_LVUP_2_Diamand,"[帝亚曼德] t 
[帝亚曼德] Serious 
[帝亚曼德] 
我不奢求太多。 
只要能变强就好。"
MID_LVUP_2_Etie,"[艾媞耶] t 

[艾媞耶] 
Relax 

[艾媞耶] 
终于看见成果了。 
继续保持下去吧。"
MID_LVUP_2_Fogato,"[佛贾特] t 

[佛贾特] 
Relax 

[佛贾特] 
各位敌人，感谢啦！ 
多亏你们让我变得更强了！"
MID_LVUP_2_Fram,"[芙岚] t 
[芙岚] 
Relax 
[芙岚] 
这么一来， 
或许就能稍微得到神龙大人的关注了！"
MID_LVUP_2_Goldmary,"[戈尔德玛莉] t 
[戈尔德玛莉] Sad 
[戈尔德玛莉] 
非常抱歉…… 
我又变强了……真的很抱歉……"
MID_LVUP_2_Hortensia,"[奥尔坦希亚] t 
[奥尔坦希亚] 
Relax 
[奥尔坦希亚] 
无论是实力还是外貌， 
都是这样一步步慢慢积累的。"
MID_LVUP_2_Ivy,"[艾比] t 
[艾比] Normal 

[艾比] 
身为公主， 
这只是最基本的义务。"
MID_LVUP_2_Jade,"[洁德] t 
[洁德] Serious 

[洁德] 
“骑士的成长恰如其分……”"
MID_LVUP_2_Jean,"[贾恩] t 
[贾恩] Shy 
[贾恩] 
太好了。 
即使只是略有成长亦是万幸呀。"
MID_LVUP_2_Kagetsu,"[花月] t 
[花月] 
Smile 
[花月] 
余又变强了。 
真想找人比试比试！"
MID_LVUP_2_Lapis,"[菈琵思] t 
[菈琵思] Normal 
[菈琵思] 
略有小成亦是极大恩惠， 
要懂得感恩才行。"
MID_LVUP_2_Linden,"[霖丹] t 
[霖丹] 
Smile 

[霖丹] 
这把年纪还能有所成长， 
真是可喜可贺呐。"
MID_LVUP_2_Louis,"[路易] t 
[路易] 
Relax 
[路易] 
若能凭借这份力量守护大家， 
我会非常开心的。"
MID_LVUP_2_Lueur,"[琉尔] t 
[琉尔] Status 

[琉尔] 
我变得强一些了吗？"
MID_LVUP_2_Mauve,"[莫布] t 
[莫布] StandBy 
[莫布] 
实力提升了啊。 
那得立下更多功勋才行了。"
MID_LVUP_2_Merin,"[玫琳] t 
[玫琳] 
Smile 
[玫琳] 
若已帅气地获得了成长， 
我便心满意足了。"
MID_LVUP_2_Misutira,"[蜜丝提拉] t 

[蜜丝提拉] Status 

[蜜丝提拉] 
我又变强了。 
照这个步调继续奋战吧！"
MID_LVUP_2_Pandoro,"[庞德罗] t 
[庞德罗] 
Relax 

[庞德罗] 
啊，我变强了。 
神龙大人，非常感谢您。"
MID_LVUP_2_Panetone,"[帕涅托涅] t 
[帕涅托涅] 
Smile 

[帕涅托涅] 
哎呀，那个， 
我稍微变强一点了呢。"
MID_LVUP_2_Rosado,"[罗萨德] t 
[罗萨德] 
Relax 

[罗萨德] 
或许这点程度的成长 
才是最可爱的呢～"
MID_LVUP_2_Saphir,"[札菲亚] t 

[札菲亚] 
Relax 

[札菲亚] 
所谓战斗至少也该有这点成绩才行。 
好了，去找人小试身手吧。"
MID_LVUP_2_Seadas,"[赛安达斯] t 
[赛安达斯] 
Relax 

[赛安达斯] 
很高兴能获得成长。 
继续往下个阶段迈进吧。"
MID_LVUP_2_Staluke,"[史塔卢克] t 

[史塔卢克] Sad 

[史塔卢克] 
竟然为了我这种人花费时间…… 
实在是抱歉……"
MID_LVUP_2_Umber,"[安巴] t 
[安巴] 
Smile 

[安巴] 
只要能稍微变强一些 
我就很开心了！"
MID_LVUP_2_Vandre,"[凡德雷] t 

[凡德雷] 
Relax 

[凡德雷] 
嗯。 
这也算小有收获了吧。"
MID_LVUP_2_Veyre,"[贝珥] t 
[贝珥] 
Smile 

[贝珥] 
能变强真是太好了， 
都是托大家的福。"
MID_LVUP_2_Yunaka,"[尤娜卡] t 
[尤娜卡] Status 
[尤娜卡] 
感觉人家对于武器的掌握更加熟练了！"
MID_LVUP_2_Zelkova,"[杰尔科巴] t 
[杰尔科巴] Normal 

[杰尔科巴] 
算是个“还过得去”的“成果”吧……"
MID_LVUP_3_Alfred,"[阿尔弗雷德] t 
[阿尔弗雷德] 
Smile 
[阿尔弗雷德] 
成果相当不错。 
连肌肉也在开心地欢呼着呢。"
MID_LVUP_3_Anna,"[安娜] t 
[安娜] Status 
[安娜] 
谢谢惠顾！ 
就凭这股气势，一鼓作气赚大钱吧！"
MID_LVUP_3_Bonet,"[波聂] t 
[波聂] 
Smile 
[波聂] 
似乎是变强了…… 
就让我料理点敌人来确认成效吧。"
MID_LVUP_3_Boucheron,"[布修隆] t 

[布修隆] Pain 

[布修隆] 
我又长肌肉了。 
十分抱歉，阿尔弗雷德殿下。"
MID_LVUP_3_Celine,"[锡莉奴] t 
[锡莉奴] 
Smile 

[锡莉奴] 
我非常满意。 
这是我身为公主渴求力量的回报。"
MID_LVUP_3_Chloe,"[克萝艾] t 
[克萝艾] 
Smile 
[克萝艾] 
呵呵。是不是该去逛逛摊贩 
来犒赏一下自己呢。"
MID_LVUP_3_Citrinica,"[希特丽妮卡] t 

[希特丽妮卡] Shy 

[希特丽妮卡] 
真是倍感光荣。 
这就好比受邀参加晚宴一样荣幸哦。"
MID_LVUP_3_Clan,"[柯岚] t 
[柯岚] 
Smile 
[柯岚] 
结果比预期的还要好。 
照这个样子继续加油吧。"
MID_LVUP_3_Diamand,"[帝亚曼德] t 
[帝亚曼德] 
Smile 
[帝亚曼德] 
看来我已获得 
不负布罗帝亚皇子之名的力量了。"
MID_LVUP_3_Etie,"[艾媞耶] t 

[艾媞耶] 
Relax 

[艾媞耶] 
这是理所当然的。 
为了练就强健体格，我会继续努力的。"
MID_LVUP_3_Fogato,"[佛贾特] t 

[佛贾特] Status 

[佛贾特] 
要和大家并肩作战的话， 
至少也得拿出这点成果才行。"
MID_LVUP_3_Fram,"[芙岚] t 
[芙岚] 
Smile 
[芙岚] 
成功了！ 
芙岚正值发育期哦！"
MID_LVUP_3_Goldmary,"[戈尔德玛莉] t 
[戈尔德玛莉] Shy 
[戈尔德玛莉] 
啊……这么一来…… 
又要变得更受欢迎了……"
MID_LVUP_3_Hortensia,"[奥尔坦希亚] t 
[奥尔坦希亚] Status 
[奥尔坦希亚] 
太好了。 
人家又变得更可爱了。"
MID_LVUP_3_Ivy,"[艾比] t 
[艾比] Die 

[艾比] 
既获得此般成果， 
我已无怨言。"
MID_LVUP_3_Jade,"[洁德] t 
[洁德] Die 

[洁德] 
“骑士获得了长足的进步……”"
MID_LVUP_3_Jean,"[贾恩] t 
[贾恩] 
Smile 
[贾恩] 
多谢啦！多亏有这些敌人， 
我才能变这么强。"
MID_LVUP_3_Kagetsu,"[花月] t 
[花月] Status 
[花月] 
余既然到达这个境界， 
看来已是无人可挡咯！？"
MID_LVUP_3_Lapis,"[菈琵思] t 
[菈琵思] 
Smile 
[菈琵思] 
太好了！ 
这场战斗真是硕果累累啊。"
MID_LVUP_3_Linden,"[霖丹] t 
[霖丹] 
Smile 

[霖丹] 
不错的结果呐。 
下次要尝试什么呢。"
MID_LVUP_3_Louis,"[路易] t 
[路易] 
Relax 
[路易] 
哦？那边有百合蔷薇之园…… 
嗯，请别在意我。"
MID_LVUP_3_Lueur,"[琉尔] t 
[琉尔] 
Relax 

[琉尔] 
希望我的实力是真的有所成长。"
