key,text
MID_SAVEDATA_CONFIRM_CLEARDATA,"是否保存通关数据？ 
（我军的状态维持在第26章战斗开始前， 
仅保存通关成就。）"
MID_SAVEDATA_CONFIRM_COPY,是否复制保存数据？
MID_SAVEDATA_CONFIRM_COPY_YES,复制
MID_SAVEDATA_CONFIRM_DELETE,是否删除保存数据？
MID_SAVEDATA_CONFIRM_DELETE_YES,删除
MID_SAVEDATA_CONFIRM_SKIP_WRITING,"是否确定不保存当前进度 
直接进入下一章节？"
MID_SAVEDATA_CONFIRM_SKIP_YES,进入
MID_SAVEDATA_CONFIRM_SUSPEND,"确定要保存当前进度， 
并回到游戏开始画面吗？"
MID_SAVEDATA_CONFIRM_SUSPEND_COPY,无法复制中断数据。
MID_SAVEDATA_CONFIRM_SUSPEND_LOAD,"如在读取中断数据后退出游戏， 
进度将会回到出击前的状态。 
想保留进度时请再次“中断”游戏。"
MID_SAVEDATA_CONFIRM_WRITING,是否保存当前进度？
MID_SAVEDATA_COPYING,"正在复制保存数据。 
请勿关闭电源。"
MID_SAVEDATA_COPY_DST_HELP,请选择复制存档的保存位置。
MID_SAVEDATA_COPY_FAILED,复制保存数据失败。
MID_SAVEDATA_COPY_SRC_HELP,请选择要复制的存档。
MID_SAVEDATA_COPY_TITLE,复制数据
MID_SAVEDATA_DELETE_FAILED,删除保存数据失败。
MID_SAVEDATA_DELETE_HELP,请选择存档。
MID_SAVEDATA_DELETE_TITLE,删除数据
MID_SAVEDATA_DELETING,"正在删除保存数据。 
请勿关闭电源。"
MID_SAVEDATA_LOAD_FAILED,保存数据读取失败。
MID_SAVEDATA_LOAD_HELP,请选择存档。
MID_SAVEDATA_LOAD_YES,读取
MID_SAVEDATA_NO_DATA,无保存数据。
MID_SAVEDATA_OLD_VERSION,"软件版本过旧， 
无法读取此保存数据。 
请至Nintendo eShop等处更新软件。"
MID_SAVEDATA_READING,"正在读取保存数据。 
请勿关闭电源。"
MID_SAVEDATA_SAVE_FAILED,当前进度保存失败。
MID_SAVEDATA_SAVE_HELP,请选择存档。
MID_SAVEDATA_SAVE_TITLE,保存
MID_SAVEDATA_SAVE_YES,保存
MID_SAVEDATA_SEQ_BMAP,出击中
MID_SAVEDATA_SEQ_BMAP_AFTER,通关后
MID_SAVEDATA_SEQ_BMAP_ENCOUNT,遭遇战中
MID_SAVEDATA_SEQ_BMAP_TRAINING,训练中
MID_SAVEDATA_SEQ_ENCOUNT_AFTER,遭遇战后
MID_SAVEDATA_SEQ_GMAP,世界地图
MID_SAVEDATA_SEQ_HUB,据点索拉涅尔
MID_SAVEDATA_SEQ_KIZUNA,散步中
MID_SAVEDATA_SEQ_SORTIE,出击前
MID_SAVEDATA_SEQ_SORTIE_ENCOUNT,遭遇战前
MID_SAVEDATA_SEQ_SORTIE_TRAINING,训练前
MID_SAVEDATA_SEQ_TRAINING_AFTER,训练后
MID_SAVEDATA_SUSPEND_HELP,请选择保存位置。
MID_SAVEDATA_SUSPEND_TITLE,中断
MID_SAVEDATA_SUSPEND_YES,中断
MID_SAVEDATA_TYPE_AUTO,自动保存
MID_SAVEDATA_TYPE_MANUAL,存档位
MID_SAVEDATA_VERSION_ERROR,"由于保存数据的版本不同 
导致读取失败。 
请将游戏更新至最新版本。"
MID_SAVEDATA_WRITING,"正在保存当前进度。 
请勿关闭电源。"
