key,text
MID_RELIANCE_A_#001,"[琉尔] 1 
[贝珥] 2 

[贝珥] 
呵呵，我今天也好开心哦！"
MID_RELIANCE_A_#002,"[贝珥] 
原来和家人待在一起这么幸福呀。"
MID_RELIANCE_A_#003,"[琉尔] 
……有件事我想问问你。"
MID_RELIANCE_A_#004,"[琉尔] 
你对我们的父亲…… 
尚卜尔是怎么想的？"
MID_RELIANCE_A_#005,"[贝珥] 
咦……"
MID_RELIANCE_A_#006,"[琉尔] 
他毕竟是我们的敌人， 
所以我想先听听你的想法。"
MID_RELIANCE_A_#007,"[贝珥] 
…………"
MID_RELIANCE_A_#008,"[贝珥] 
从过去到现在，爸爸伤害了很多人。 
真的是个很坏的人。"
MID_RELIANCE_A_#009,"[贝珥] 
印象中他也从没对我好过， 
我想他根本没把我放在心上吧。"
MID_RELIANCE_A_#010,"[贝珥] 
可是……"
MID_RELIANCE_A_#011,"[贝珥] 
爸爸和哥哥一样，都是我的家人。 
所以我没有办法打从心底讨厌他。"
MID_RELIANCE_A_#011_F,"[贝珥] 
爸爸和姐姐一样，都是我的家人。 
所以我没有办法打从心底讨厌他。"
MID_RELIANCE_A_#012,"[琉尔] 
说得也是……"
MID_RELIANCE_A_#013,"[贝珥] 
其实我很希望我们一家子和和美美的， 
但我也清楚那是无法实现的梦。"
MID_RELIANCE_A_#014,"[贝珥] 
所以我想着……至少要阻止爸爸， 
别让更多人承受悲伤痛苦。"
MID_RELIANCE_A_#015,"[贝珥] 
……不，应该说，我绝对会阻止他的。"
MID_RELIANCE_A_#016,"[贝珥] 
这就是我对爸爸的想法。"
MID_RELIANCE_A_#017,"[琉尔] 
……谢谢你，贝珥。 
我的想法和你一样。"
MID_RELIANCE_A_#018,"[琉尔] 
我们和他已无法互相理解， 
所以我也会尽全力阻止他。"
MID_RELIANCE_A_#019,"[琉尔] 
为此，我很需要你的帮助。"
MID_RELIANCE_A_#020,"[贝珥] 
只要有我、哥哥还有大家在， 
我们一定能做到的。"
MID_RELIANCE_A_#020_F,"[贝珥] 
只要有我、姐姐还有大家在， 
我们一定能做到的。"
MID_RELIANCE_A_#021,"[琉尔] 
一起战胜他吧，贝珥。 
唯有度过这个难关，我们才有未来。"
MID_RELIANCE_A_#022,"[贝珥] 
嗯！"
MID_RELIANCE_B_#001,"[琉尔] 1 
[贝珥] 2 

[贝珥] 
你还记得你把龙石交给我的事吗？"
MID_RELIANCE_B_#002,"[琉尔] 
抱歉，我不太记得苏醒之前的事……"
MID_RELIANCE_B_#003,"[贝珥] 
其实千年前…… 
虽然只有一次，但我跟哥哥见过哦。"
MID_RELIANCE_B_#003_F,"[贝珥] 
其实千年前…… 
虽然只有一次，但我跟姐姐见过哦。"
MID_RELIANCE_B_#004,"[琉尔] 
只有一次？"
MID_RELIANCE_B_#005,"[贝珥] 
嗯，我们之前只见过一次面。"
MID_RELIANCE_B_#006,"[贝珥] 
我们其他的兄弟姐妹都在战争中丧命了……"
MID_RELIANCE_B_#007,"[贝珥] 
哥哥是唯一的幸存者， 
而且还来见了我。"
MID_RELIANCE_B_#007_F,"[贝珥] 
姐姐是唯一的幸存者， 
而且还来见了我。"
MID_RELIANCE_B_#008,"[贝珥] 
当时我还小，又很软弱，一直哭个不停。 
你把龙石交给我，并鼓励了我。"
MID_RELIANCE_B_#009,"[贝珥] 
你说，虽然没办法陪在我身边， 
但愿意成为我的后盾……"
MID_RELIANCE_B_#010,"[琉尔] 
原来是这样啊， 
以前的我曾……"
MID_RELIANCE_B_#011,"[贝珥] 
虽然那颗龙石现在碎掉了…… 
但那一直都是我的护身符哦。"
MID_RELIANCE_B_#012,"[贝珥] 
我伤心难过的时候、妈妈走的那一天， 
还有和爸爸重逢却受他恶语相向的那天……"
MID_RELIANCE_B_#013,"[贝珥] 
我都是看着龙石…… 
想着有天一定能再见面，才能继续努力。"
MID_RELIANCE_B_#014,"[琉尔] 
贝珥……"
MID_RELIANCE_B_#015,"[贝珥] 
嘻嘻……虽然你可能不记得了， 
但我真的很感谢你。"
MID_RELIANCE_B_#016,"[贝珥] 
如果不是你给了我龙石， 
我们今天就不会像这样再相聚了。"
MID_RELIANCE_B_#017,"[琉尔] 
我才要感谢你， 
谢谢你这一千多年来都不曾忘记过我。"
MID_RELIANCE_B_#018,"[琉尔] 
况且，如果没有你…… 
我也不可能完好地站在这里。"
MID_RELIANCE_B_#019,"[贝珥] 
以后我们会一直在一起的吧？"
MID_RELIANCE_B_#020,"[琉尔] 
当然。 
我们不会再分开了，贝珥。"
MID_RELIANCE_C_#001,"[琉尔] 1 
[贝珥] 2 

[贝珥] 
…………"
MID_RELIANCE_C_#002,"[琉尔] 
贝珥，你为什么一直盯着我看？"
MID_RELIANCE_C_#003,"[贝珥] 
你真的已经不要紧了吗？"
MID_RELIANCE_C_#004,"[琉尔] 
嗯，没事了。 
虽然以异形兵形式复活的感觉有些奇妙……"
MID_RELIANCE_C_#005,"[琉尔] 
但我现在很有精神， 
这都多亏了有你帮忙。"
MID_RELIANCE_C_#006,"[贝珥] 
太好了……"
MID_RELIANCE_C_#007,"[贝珥] 
其实我还想…… 
为之前那些事好好道歉。"
MID_RELIANCE_C_#008,"[贝珥] 
有太多人因我失去了性命。 
都怪我太过软弱，输给了自己。"
MID_RELIANCE_C_#009,"[贝珥] 
我知道这是不可原谅的，但请让我道歉吧。 
真的很对不起。"
MID_RELIANCE_C_#010,"[琉尔] 
贝珥，你不需要放在心上的， 
都是因为邪龙将你洗脑才会发生那些事……"
MID_RELIANCE_C_#011,"[琉尔] 
你靠自己的力量解开了洗脑， 
那是件很了不起的事哦。"
MID_RELIANCE_C_#012,"[贝珥] 
谢谢你……"
MID_RELIANCE_C_#013,"[贝珥] 
我会变得更强的， 
就像那天说的，成为救世之龙。"
MID_RELIANCE_C_#014,"[贝珥] 
我会努力实现这个梦想的， 
你能在我身边支持我吗？"
MID_RELIANCE_C_#015,"[琉尔] 
当然了，我可是你的哥哥啊。"
MID_RELIANCE_C_#015_F,"[琉尔] 
当然了，我可是你的姐姐啊。"
MID_RELIANCE_C_#016,"[琉尔] 
连同以前没能好好陪你的份， 
尽我所能地帮助你。"
MID_RELIANCE_C_#017,"[琉尔] 
今后我们一家人一起努力吧。"
MID_RELIANCE_C_#018,"[贝珥] 
嗯！"
MID_RELIANCE_S_#001,"[琉尔] 1 
[贝珥] 2 

[贝珥] 
哥哥，我有东西想要给你。"
MID_RELIANCE_S_#001_F,"[琉尔] 1 
[贝珥] 2 

[贝珥] 
姐姐，我有东西想要给你。"
MID_RELIANCE_S_#002,"[琉尔] 
有东西要给我？"
MID_RELIANCE_S_#003,"[贝珥] 
就是这个！ 
希望你可以好好珍惜它！"
MID_RELIANCE_S_#004,"[琉尔] 
这石头真漂亮……好清透的蓝色！ 
这是你为了我去找的吗？"
MID_RELIANCE_S_#005,"[贝珥] 
对呀！ 
千年前你送了我龙石，这是我的回礼。"
MID_RELIANCE_S_#006,"[贝珥] 
我有对石头许愿哦！ 
许愿哪怕我们再次分离，也一定能再重逢。"
MID_RELIANCE_S_#007,"[琉尔] 
……我们的想法真的很接近呢。"
MID_RELIANCE_S_#008,"[贝珥] 
什么意思？"
MID_RELIANCE_S_#009,"[琉尔] 
贝珥，我也有东西要给你。 
希望你能收下。"
MID_RELIANCE_S_#010,"[贝珥] 
这是……“约定戒指”？！"
MID_RELIANCE_S_#011,"[琉尔] 
你是我的家人也是我认定的搭档， 
我希望你能收下这枚戒指。"
MID_RELIANCE_S_#012,"[贝珥] 
可是……"
MID_RELIANCE_S_#013,"[琉尔] 
我想象不到除了你， 
还有谁能收下这枚戒指。"
MID_RELIANCE_S_#014,"[贝珥] 
这、这怎么可以， 
对神龙来说……这是具有特殊意义的东西……！"
MID_RELIANCE_S_#015,"[贝珥] 
琉弥艾尔是因我而死的…… 
我哪有资格收下这枚戒指……！"
MID_RELIANCE_S_#016,"[琉尔] 
哪里就没有了？ 
我希望你收下你就有资格收下。"
MID_RELIANCE_S_#017,"[琉尔] 
况且，我想母亲…… 
肯定也愿意祝福你，祝福我们过得幸福。"
MID_RELIANCE_S_#018,"[琉尔] 
……我保证。"
MID_RELIANCE_S_#019,"[贝珥] 
…………"
MID_RELIANCE_S_#020,"[贝珥] 
……好吧，我知道了。 
谢谢你，我会收下戒指的。"
MID_RELIANCE_S_#021,"[贝珥] 
这枚戒指是继龙石之后…… 
我最棒的护身符了！"
MID_RELIANCE_S_#022,"[琉尔] 
太好了……"
MID_RELIANCE_S_#023,"[琉尔] 
听说你一直都很宝贝那颗龙石， 
所以我就在想，或许这枚戒指可以替代它。"
MID_RELIANCE_S_#024,"[琉尔] 
不，不只是替代， 
我更希望它能象征我们之间新的情谊……"
MID_RELIANCE_S_#025,"[琉尔] 
只是没想到在我给出戒指之前， 
你会先一步送我这颗石头。"
MID_RELIANCE_S_#026,"[贝珥] 
真的好开心啊…… 
我们的思维真的很像呢。"
MID_RELIANCE_S_#027,"[琉尔] 
不过，虽然刚才你说了 
“哪怕我们再次分离……”但是……"
MID_RELIANCE_S_#028,"[琉尔] 
我再也不会去其他地方了， 
从今往后我会一直待在你身边。"
