key,text
MID_RELIANCE_A_#001,"[锡莉奴] 1 
[莫布] 2 

[锡莉奴] 
莫布， 
为什么你不继续寻找回忆之地了呢？"
MID_RELIANCE_A_#002,"[莫布] 
锡莉奴殿下……"
MID_RELIANCE_A_#003,"[莫布] 
非常抱歉。"
MID_RELIANCE_A_#004,"[莫布] 
您帮了我这么多， 
我一定要好好向您说明。"
MID_RELIANCE_A_#005,"[锡莉奴] 
不想说的话不必勉强， 
我只是有点好奇而已……"
MID_RELIANCE_A_#006,"[莫布] 
原本我以为，借助锡莉奴殿下的力量， 
一定能找到回忆中的那个地方……"
MID_RELIANCE_A_#007,"[莫布] 
但我惊觉到一件事。"
MID_RELIANCE_A_#008,"[莫布] 
我会对那里难以忘怀， 
并不是因为景色优美……"
MID_RELIANCE_A_#009,"[莫布] 
而是因为和家人一起 
在那里度过了幸福的时光。"
MID_RELIANCE_A_#010,"[锡莉奴] 
这样啊……"
MID_RELIANCE_A_#011,"[莫布] 
阳光穿过叶隙落下， 
照亮了母亲温柔的笑容，还有摸着我的头的父亲……"
MID_RELIANCE_A_#012,"[莫布] 
我大口吃着最爱的酥皮馅饼，幸福得不得了…… 
那时的我，没有一丝不安或恐惧。"
MID_RELIANCE_A_#013,"[锡莉奴] 
莫布……"
MID_RELIANCE_A_#014,"[莫布] 
即使旧地重游， 
我也无法找回当初的感动了吧。"
MID_RELIANCE_A_#015,"[莫布] 
因为我深爱的家人们， 
都已经不在这个世上了……"
MID_RELIANCE_A_#016,"[锡莉奴] 
…………"
MID_RELIANCE_A_#017,"[锡莉奴] 
即便如此， 
我们也应该把回忆之地找出来。"
MID_RELIANCE_A_#018,"[莫布] 
咦？"
MID_RELIANCE_A_#019,"[锡莉奴] 
纵然家人已不在人世…… 
但我们大家可以陪你一起去呀？"
MID_RELIANCE_A_#020,"[莫布] 
锡莉奴殿下……"
MID_RELIANCE_A_#021,"[莫布] 
恕我收回前言， 
请您继续帮我……寻找回忆中的那个地方。"
MID_RELIANCE_A_#022,"[锡莉奴] 
嗯，当然没问题。"
MID_RELIANCE_A_#023,"[锡莉奴] 
跟重要伙伴一起去的话…… 
一定能创造出新的幸福回忆。"
MID_RELIANCE_A_#024,"[莫布] 
锡莉奴殿下…… 
谢谢您。"
MID_RELIANCE_B_#001,"[锡莉奴] 1 
[莫布] 2 

[锡莉奴] 
是这里吗？"
MID_RELIANCE_B_#002,"[莫布] 
呜…… 
感觉不太一样。"
MID_RELIANCE_B_#003,"[锡莉奴] 
那这幅画呢？"
MID_RELIANCE_B_#004,"[莫布] 
……也不对， 
我没见过这里的景色。"
MID_RELIANCE_B_#005,"[锡莉奴] 
这样啊，我们已经看了好几幅 
费列聂名胜的风景画了……"
MID_RELIANCE_B_#006,"[锡莉奴] 
看来这些画都不符合 
你记忆中的那个场所呢。"
