key,text
MID_KR_Alfred_M003,"[アルフレッド] 2 
[アルフレッド] 
[アルフレッド] 
Angry 
[アルフレッド] EmoTalk 
神竜様…これからは僕も、君の力となる。 
剣にも、盾にも…寄り添える花にでもなってみせるよ。"
MID_KR_Alfred_M004,"[アルフレッド] 2 
[アルフレッド] 
[アルフレッド] Strike 
[アルフレッド] EmoTalk 
セリーヌと合流できて良かったが、城が心配だ… 
神竜様、見回りが終わったらすぐに発とう。"
MID_KR_Alfred_M005,"[アルフレッド] 2 
[アルフレッド] 
[アルフレッド] 
Smile 
[アルフレッド] EmoTalk 
フィレネを救ってくれて、本当にありがとう。 
此度の恩は必ず返そう。まずは祠への案内からだね。"
MID_KR_Alfred_M006,"[アルフレッド] 2 
[アルフレッド] 
[アルフレッド] Sad 
[アルフレッド] EmoTalk 
悪いのは、村を襲った賊だ。けれど王族として… 
なんとか防げなかったのかと後悔の念が離れないよ。"
MID_KR_Alfred_M015,"[アルフレッド] 2 
[アルフレッド] 
[アルフレッド] 
Angry 
[アルフレッド] EmoTalk 
大丈夫かい…？　落ち着くまで暫くここにいよう。 
それにしても、奴の様子は何かおかしかった。"
MID_KR_Alfred_M016,"[アルフレッド] 2 
[アルフレッド] 
[アルフレッド] 
Angry 
[アルフレッド] EmoTalk 
フィレネ王国は無事だろうか。 
イルシオンは…いや、邪竜はいったい何を考えている？"
MID_KR_Alfred_M020,"[アルフレッド] 2 
[アルフレッド] 
[アルフレッド] 
Smile 
[アルフレッド] EmoTalk 
君のことが必要なんだ。傍にいてほしい… 
離れたとしても、走って追いかけて…再び手を取るさ。"
MID_KR_Alfred_M024,"[アルフレッド] 2 
[アルフレッド] 
[アルフレッド] 
Smile 
[アルフレッド] EmoTalk 
千年前の君も、いつかは僕たちと出会うのかな。 
幸せな未来が待つようにと、願わずにいられないよ。"
MID_KR_Anna_S002,"[アンナ] 2 
[アンナ] 
[アンナ] 
Smile 
[アンナ] EmoTalk 
ありがとう、神竜様。仲間になれてうれしいわ！ 
ホントは一人で、ちょっぴりさみしかったの。"
MID_KR_Bonet_M012,"[ボネ] 2 
[ボネ] 
[ボネ] 
Smile 
[ボネ] EmoTalk 
自警団へのお力添え、ありがとうございました。 
ともに勝利の味に酔いましょう…"
MID_KR_Boucheron_M003,"[ブシュロン] 2 

[ブシュロン] 

[ブシュロン] Sad 

[ブシュロン] EmoTalk 
ああ…ルミエル様。このことが公になれば、 
フィレネの民たちも皆、悲しむことでしょう…"
MID_KR_Boucheron_M017,"[ブシュロン] 2 

[ブシュロン] 

[ブシュロン] Sad 

[ブシュロン] EmoTalk 
…涙が出そうです。でも、泣くべきなのは俺ではない。 
俺は、村を元に戻すために、いくらでも力を尽くします。"
MID_KR_Byleth_S006,"[ベレト] 2 
[ベレト] 
[ベレト] 
Smile 
[ベレト] EmoTalk 
見事な指揮だった。仲間との連携もなかなかのものだ。 
今回の戦いは、色々と学ばせてもらった。"
MID_KR_Celica_S013,"[セリカ] 2 
[セリカ] 
[セリカ] 
Smile 
[セリカ] EmoTalk 
私の負けね。でも、とてもいい戦いだったわ。 
これからも力を合わせて、一緒に頑張りましょう。"
MID_KR_Celine_M004,"[セリーヌ] 2 

[セリーヌ] 
[セリーヌ] Sad 
[セリーヌ] EmoTalk 
お城に残っているお母様はご無事かしら。 
どうしてイルシオン軍が、フィレネ王国に…"
MID_KR_Celine_M005,"[セリーヌ] 2 

[セリーヌ] 
[セリーヌ] 
Smile 
[セリーヌ] EmoTalk 
お母様を助けてくださり、ありがとうございます。 
これからはわたしも、神竜様のお力になります。"
MID_KR_Celine_M017,"[セリーヌ] 2 

[セリーヌ] 
[セリーヌ] Sad 
[セリーヌ] EmoTalk 
お母様が知ったら悲しまれると思います。 
わたしも、今は…　…………"
MID_KR_Celine_M020,"[セリーヌ] 2 

[セリーヌ] 
[セリーヌ] 
Smile 
[セリーヌ] EmoTalk 
神竜様が何者であっても…わたしを、フィレネ王国を 
救ってくださったことは変わりません。これからも共に。"
MID_KR_Celine_M022,"[セリーヌ] 2 

[セリーヌ] 
[セリーヌ] Shy 
[セリーヌ] EmoTalk 
神竜様。戻ってくださって本当に良かった… 
こうして再び言葉を交わせて…わたしは幸せです。"
MID_KR_Chloe_M004,"[クロエ] 2 
[クロエ] 
[クロエ] 
Smile 
[クロエ] EmoTalk 
セリーヌ様がご無事なのは、神竜様のおかげです。 
わたしはクロエ。どうぞよろしくお願いいたします。"
MID_KR_Chloe_M017,"[クロエ] 2 
[クロエ] 
[クロエ] Sad 
[クロエ] EmoTalk 
…とても美しい村だったのよ。御伽噺のような… 
なのに、こんなこと…ひどすぎるわ。"
MID_KR_Citrinica_M007,"[シトリニカ] 2 

[シトリニカ] 

[シトリニカ] Shy 
イルシオン軍を退けて一安心だけれど…お城が心配です。 
あの場所は、わたしにとっても家のようなものですから。"
MID_KR_Clan_M001_#001,"[クラン] 2 
[クラン] 
[クラン] 
Smile 
[クラン] EmoTalk 
一時はどうなるかと思いましたが… 
神竜様のおかげで助かりました。"
MID_KR_Clan_M001_#002,"[クラン] 
Relax 
そういえば、指輪から出てきた人は 
どこに行ったんですか？"
MID_KR_Clan_M002,"[クラン] 2 
[クラン] 
[クラン] 
Smile 
[クラン] EmoTalk 
僕、少しはお役に立てたでしょうか？ 
これからも神竜様のために頑張りますね。"
MID_KR_Clan_M003,"[クラン] 2 
[クラン] 
[クラン] Sad 
[クラン] EmoTalk 
ルミエル様は…いつも優しくしてくださいました。 
あの笑顔がもう…見られないなんて……"
MID_KR_Clan_M020,"[クラン] 2 
[クラン] 
[クラン] 
Smile 
[クラン] EmoTalk 
真実を知ったところで僕の気持ちは変わりません。 
神竜だからではなく、あなただから…守りたいんです。"
MID_KR_Clan_M022,"[クラン] 2 
[クラン] 
[クラン] 
Smile 
[クラン] EmoTalk 
紋章士になられるなんて、すごいです。 
あの蒼い髪と瞳、まるで…ルミエル様のようでした。"
MID_KR_Clan_M025,"[クラン] 2 
[クラン] 
[クラン] Shy 
[クラン] EmoTalk 
ルミエル様…笑っていらっしゃいましたね。 
僕には、今までで一番…お幸せそうに見えましたよ。"
MID_KR_Diamand_M008,"[ディアマンド] 2 
[ディアマンド] 
[ディアマンド] 
Angry 
[ディアマンド] EmoTalk 
ついにこの時が来たか… 
覚悟は決まった、国境へと向かおう。"
MID_KR_Diamand_M009,"[ディアマンド] 2 
[ディアマンド] 
[ディアマンド] 
Angry 
[ディアマンド] EmoTalk 
ハイアシンス王め、父上を連れ去るとは… 
急いで、デスタン大教会に向かおう。"
MID_KR_Diamand_M015,"[ディアマンド] 2 
[ディアマンド] 
[ディアマンド] Serious 
思い出さないようにしていたのだが… 
私もまだまだだな…"
MID_KR_Diamand_M017,"[ディアマンド] 2 
[ディアマンド] 
[ディアマンド] 
Angry 
[ディアマンド] EmoTalk 
村人の救助が完了した。 
犠牲は少なくないが…助かった者も多くいる。"
MID_KR_Diamand_M019,"[ディアマンド] 2 
[ディアマンド] 
[ディアマンド] 
Smile 
[ディアマンド] EmoTalk 
ザフィーアの合流は心強いな。 
ブロディア城が無事だという報せも聞けて安心した。"
