key,text
MID_RELIANCE_A_#001,"[リュール] 1 
[リンデン] 2 

[リンデン] 
神竜様は飲み込みが早いですのう。"
MID_RELIANCE_A_#002,"[リュール] 
リンデンの教え方が上手なんですよ。"
MID_RELIANCE_A_#003,"[リンデン] 
はっはっは。 
お世辞を言っても何も出ませんぞ。"
MID_RELIANCE_A_#004,"[リンデン] 
しかし、長生きはしてみるものですな。"
MID_RELIANCE_A_#005,"[リンデン] 
まさかイルシオンの王城兵だったわしが… 
こうして神竜様と交流することになるとは…"
MID_RELIANCE_A_#006,"[リンデン] 
若い頃のわしに話したとしても 
到底、信じてもらえないでしょうな。"
MID_RELIANCE_A_#007,"[リンデン] 
…………"
MID_RELIANCE_A_#008,"[リュール] 
どうしたんですか？"
MID_RELIANCE_A_#009,"[リンデン] 
神竜様。 
お節介ながら、一つ言葉を贈らせてください。"
MID_RELIANCE_A_#010,"[リンデン] 
…生きてくだされ。 
どのような辛いことがあっても。"
MID_RELIANCE_A_#011,"[リュール] 
リンデン…"
MID_RELIANCE_A_#012,"[リンデン] 
長い人生の中、 
死んでしまいたいくらい辛いこともあった。"
MID_RELIANCE_A_#013,"[リンデン] 
じゃが、その後に必ず… 
生きていてよかったと思うような幸せが待っていた。"
MID_RELIANCE_A_#014,"[リンデン] 
神竜様と出会えたのも 
その幸せの中の大切なひとつじゃな。"
MID_RELIANCE_A_#015,"[リュール] 
そう言ってもらえると嬉しいです…"
MID_RELIANCE_A_#016,"[リンデン] 
死にたいと思う夜を必死に越え、 
生きたいと願う朝を迎えてくだされ。"
MID_RELIANCE_A_#017,"[リンデン] 
それが長く生きてきた者からの忠告ですじゃ。"
MID_RELIANCE_A_#018,"[リュール] 
はい。 
その言葉、忘れません。"
MID_RELIANCE_A_#019,"[リュール] 
ですが、リンデン…"
MID_RELIANCE_A_#020,"[リュール] 
長生きでいうのなら… 
私の方がリンデンより長生きですよ？"
MID_RELIANCE_A_#021,"[リンデン] 
はっはっはっは！ 
確かにそうじゃったな！"
MID_RELIANCE_A_#022,"[リンデン] 
これは一本、取られましたわ！ 
はっはっはっは！"
MID_RELIANCE_B_#001,"[リュール] 1 
[リンデン] 2 

[リュール] 
リンデン。 
この前の睡眠の話、興味深かったです。"
MID_RELIANCE_B_#002,"[リンデン] 
神竜様。"
MID_RELIANCE_B_#003,"[リュール] 
実験には協力できませんが、 
またお話をしたいなと思いまして。"
MID_RELIANCE_B_#004,"[リンデン] 
こんな老いぼれに頻繁に会いにくるなど、 
時間の無駄ですぞ。"
MID_RELIANCE_B_#005,"[リンデン] 
もっと他の者と交流した方が 
神竜様の人生によい影響があるはずです。"
MID_RELIANCE_B_#006,"[リュール] 
なぜ私を遠ざけようとするのか… 
ヴァンドレに怒られたからですね？"
MID_RELIANCE_B_#007,"[リンデン] 
ぎくっ。"
MID_RELIANCE_B_#008,"[リュール] 
私の髪をサンダーで焦がそうとしたから…"
MID_RELIANCE_B_#009,"[リンデン] 
う、うう…そんなことも… 
あったかもしれんのう。"
MID_RELIANCE_B_#010,"[リュール] 
私は気にしませんよ。 
なので気にせず、話をしましょう。"
MID_RELIANCE_B_#011,"[リンデン] 
それは嬉しいですが…先日のことを抜きにしても、 
わしと話すことで神竜様に益があるとは思えませぬ。"
MID_RELIANCE_B_#012,"[リンデン] 
時間は有限ですじゃ。 
有効活用せねば罰が当たりますぞ。"
MID_RELIANCE_B_#013,"[リュール] 
…その通りですね。 
時間は有効活用しないと。"
MID_RELIANCE_B_#014,"[リュール] 
私だって時間を無駄にはしたくありません。"
MID_RELIANCE_B_#015,"[リンデン] 
うむ。では…"
MID_RELIANCE_B_#016,"[リュール] 
ですので、リンデン。 
すぐ話をしましょう。"
MID_RELIANCE_B_#017,"[リュール] 
これ以上の問答こそ時間の無駄遣いです。 
今日も私の知らないことをたくさん教えてください。"
MID_RELIANCE_B_#018,"[リンデン] 
神竜様…"
MID_RELIANCE_B_#019,"[リンデン] 
ま、まったく仕方のない御方じゃ！"
MID_RELIANCE_B_#020,"[リンデン] 
神竜様が望むのなら、 
わしが持つ知識をいくらでもお分けしよう！"
MID_RELIANCE_C_#001,"[リュール] 1 
[リンデン] 2 

[リンデン] 
神竜様、覚悟はできたかのう？"
MID_RELIANCE_C_#002,"[リュール] 
はい、リンデン。 
もう迷いはありません。"
MID_RELIANCE_C_#003,"[リュール] 
ですが、最後にもう一度だけ確認させてください。"
MID_RELIANCE_C_#004,"[リュール] 
この実験は人々の役に立つ… 
誰かの幸せに繋がるのですね？"
MID_RELIANCE_C_#005,"[リンデン] 
もちろんじゃ、神竜様。"
MID_RELIANCE_C_#006,"[リンデン] 
神竜様を調べさせていただくことにより 
必ずや新しい発見があることじゃろう。"
MID_RELIANCE_C_#007,"[リンデン] 
特に可能性が高いのが… 
睡眠の質に関する新たな発見じゃな。"
MID_RELIANCE_C_#008,"[リュール] 
睡眠の…質ですか？"
MID_RELIANCE_C_#009,"[リンデン] 
千年もの間、眠り続けた神竜様じゃ。"
MID_RELIANCE_C_#010,"[リンデン] 
その体には安眠に関する情報が 
たくさん隠されているはずじゃよ。"
MID_RELIANCE_C_#011,"[リュール] 
そ、そうでしょうか…"
MID_RELIANCE_C_#012,"[リンデン] 
そうですとも！ 
不眠に悩む者たちを救えるやもしれんのですぞ！"
