key,text
MID_RELIANCE_A_#001,"[ルイ] 1 
[ジェーデ] 2 

[ジェーデ] 
ねえ、ルイ。 
聞きたかったことがあるの。"
MID_RELIANCE_A_#002,"[ルイ] 
なんでしょうか、ジェーデさん。"
MID_RELIANCE_A_#003,"[ジェーデ] 
どうして貴方は私に近づいてきたの…？"
MID_RELIANCE_A_#004,"[ジェーデ] 
私のことをかなり調査していたようだから、 
気になっていたのよ。"
MID_RELIANCE_A_#005,"[ルイ] 
…………"
MID_RELIANCE_A_#006,"[ジェーデ] 
知っている？ 
優秀な工作員は、言葉巧みに敵に近づき…"
MID_RELIANCE_A_#007,"[ジェーデ] 
慎重に信頼関係を築いた後、 
油断した相手から情報を入手するというわ。"
MID_RELIANCE_A_#008,"[ジェーデ] 
同盟を結んでいるとはいえ、 
あなたは他国の兵…可能性は否定できないわ。"
MID_RELIANCE_A_#009,"[ルイ] 
…さすがジェーデさんですね。"
MID_RELIANCE_A_#010,"[ジェーデ] 
そう。 
嫌な予感が当たってしまったのね…"
MID_RELIANCE_A_#011,"[ルイ] 
いいえ、大間違いですよ。 
僕は工作員なんかではありません。"
MID_RELIANCE_A_#012,"[ジェーデ] 
…え？"
MID_RELIANCE_A_#013,"[ルイ] 
さすが、と言ったのは、 
その想像力に対してです。"
MID_RELIANCE_A_#014,"[ルイ] 
物語を書かれる方としての、 
素晴らしい才能がある証拠ですね。"
MID_RELIANCE_A_#015,"[ジェーデ] 
は、はぐらかさないでちょうだい… 
私に近づいた理由をまだ聞いてないわ。"
MID_RELIANCE_A_#016,"[ルイ] 
ジェーデさんと仲良くなりたかったからですよ。"
MID_RELIANCE_A_#017,"[ジェーデ] 
本当にそれだけなの？"
MID_RELIANCE_A_#018,"[ルイ] 
ええ、それだけです。"
MID_RELIANCE_A_#019,"[ルイ] 
ジェーデさんのことを調査したのも 
何か会話のきっかけが見つかればな、と思っただけです。"
MID_RELIANCE_A_#020,"[ルイ] 
でも、とても重要なことだと思いませんか？ 
国、文化、価値観…"
MID_RELIANCE_A_#021,"[ルイ] 
僕たちはあらゆる違いを乗り越え、 
同じ側に立ち、共に命を懸けて戦っています。"
