key,text
MID_RELIANCE_A_#001,"[希特丽妮卡] 1 
[尤娜卡] 2 

[希特丽妮卡] 
尤娜卡，我们继续之前的话题吧。"
MID_RELIANCE_A_#002,"[尤娜卡] 
……好的。"
MID_RELIANCE_A_#003,"[尤娜卡] 
渐渐地“我”也接受了杀手的工作， 
跟着那个男人到处取人性命。"
MID_RELIANCE_A_#004,"[尤娜卡] 
然而某一天，男人突然病倒了。"
MID_RELIANCE_A_#005,"[尤娜卡] 
原来他患有不治之症， 
已时日无多。"
MID_RELIANCE_A_#006,"[尤娜卡] 
此时他才跟我说， 
捡我回来的真正原因是“想要个继承人”。"
MID_RELIANCE_A_#007,"[尤娜卡] 
然后他把至今赚来的钱作为报酬， 
委托我杀了他。"
MID_RELIANCE_A_#008,"[希特丽妮卡] 
咦……？！"
MID_RELIANCE_A_#009,"[尤娜卡] 
老实说，他就是个人渣。 
但我也的确是因为他才活了下来。"
MID_RELIANCE_A_#010,"[尤娜卡] 
……所以，我便如他所愿送他上路了。"
MID_RELIANCE_A_#011,"[希特丽妮卡] 
…………"
MID_RELIANCE_A_#012,"[尤娜卡] 
之后人家就金盆洗手， 
改名为尤娜卡……"
MID_RELIANCE_A_#013,"[尤娜卡] 
展开了第二人生， 
努力活到了今天。"
MID_RELIANCE_A_#014,"[希特丽妮卡] 
原来是这样啊……"
MID_RELIANCE_A_#015,"[尤娜卡] 
至于那个布罗帝亚权贵云集的会议……"
MID_RELIANCE_A_#016,"[希特丽妮卡] 
对啊，重点是这个。 
我当初就是因为这件事才怀疑你的。"
MID_RELIANCE_A_#017,"[尤娜卡] 
其实人家是在做一些事前准备。"
MID_RELIANCE_A_#018,"[希特丽妮卡] 
准备？"
MID_RELIANCE_A_#019,"[尤娜卡] 
嗯，人家想为弱势儿童 
成立一个基金会……"
MID_RELIANCE_A_#020,"[尤娜卡] 
并打算在会议中向大家提案。"
MID_RELIANCE_A_#021,"[希特丽妮卡] 
啊……！"
MID_RELIANCE_A_#022,"[希特丽妮卡] 
所、所以你才会到处向人 
打听会议的事情吗？"
MID_RELIANCE_A_#023,"[尤娜卡] 
是的，人家只是想帮助那些 
与自己有着相同境遇的孩子们。"
MID_RELIANCE_A_#024,"[希特丽妮卡] 
…………"
MID_RELIANCE_A_#025,"[希特丽妮卡] 
我到底在做什么啊…… 
简直像个小丑……"
MID_RELIANCE_A_#026,"[尤娜卡] 
不，没关系…… 
人家没有放在心上……"
MID_RELIANCE_A_#027,"[希特丽妮卡] 
尤娜卡……虽然可能算不上是赔罪， 
但请让我帮你一起成立那个基金会吧。"
MID_RELIANCE_A_#028,"[尤娜卡] 
咦？"
MID_RELIANCE_A_#029,"[希特丽妮卡] 
随着战争愈演愈烈， 
镇上的孤儿不断增多。"
MID_RELIANCE_A_#030,"[希特丽妮卡] 
布罗帝亚的人们也为此感到痛心， 
正想方设法地要帮助这些孩子呢。"
MID_RELIANCE_A_#031,"[希特丽妮卡] 
拜托了，让我帮忙吧。 
我想为之前怀疑你的行为赎罪。"
MID_RELIANCE_A_#032,"[尤娜卡] 
千万别这么说。 
有你帮忙，人家高兴都来不及呢。"
MID_RELIANCE_A_#033,"[希特丽妮卡] 
太好了……"
MID_RELIANCE_A_#034,"[希特丽妮卡] 
你的想法十分伟大， 
我一定会实现它的。"
MID_RELIANCE_A_#035,"[希特丽妮卡] 
我们之后还有很长的路要走， 
还请你多多指教哦。"
MID_RELIANCE_A_#036,"[尤娜卡] 
彼此彼此。 
这份恩情，人家一辈子都不会忘。"
MID_RELIANCE_B_#001,"[希特丽妮卡] 1 
[尤娜卡] 2 

[希特丽妮卡] 
那么，把事情交代清楚吧。 
你要是敢说一句假话……"
MID_RELIANCE_B_#002,"[尤娜卡] 
人家不会说谎。 
那就从人家的童年说起……"
MID_RELIANCE_B_#003,"[尤娜卡] 
人家的本名不是尤娜卡， 
而是菈莉玛。"
MID_RELIANCE_B_#004,"[尤娜卡] 
人家生于布罗帝亚一处断崖上的村落， 
从小家里就是一贫如洗。"
MID_RELIANCE_B_#005,"[尤娜卡] 
才刚懂事时，“我”就被抛弃了。 
后来被一名杀手捡回去……"
MID_RELIANCE_B_#006,"[希特丽妮卡] 
…………"
MID_RELIANCE_B_#007,"[尤娜卡] 
“我需要人手帮忙。” 
那个男人这样说道。"
MID_RELIANCE_B_#008,"[尤娜卡] 
然后，他教会了我杀人技术。"
MID_RELIANCE_B_#009,"[希特丽妮卡] 
他的目的是什么？"
MID_RELIANCE_B_#010,"[尤娜卡] 
他想更轻松地赚钱。"
MID_RELIANCE_B_#011,"[希特丽妮卡] 
也就是说他把杀人的工作推给你做了啊。"
MID_RELIANCE_B_#012,"[尤娜卡] 
是的。"
MID_RELIANCE_B_#013,"[希特丽妮卡] 
原来你有这样的过去……"
