key,text
MID_HUB_Alfred_M003,"[阿尔弗雷德] 2 
[阿尔弗雷德] 
[阿尔弗雷德] 
Smile 
[阿尔弗雷德] EmoTalk 
虽然来过这里好多次，但还是会感到紧张呢。 
还请多多指教喽，神龙大人。"
MID_HUB_Alfred_M004,"[阿尔弗雷德] 2 
[阿尔弗雷德] 
[阿尔弗雷德] Normal 
[阿尔弗雷德] EmoTalk 
虽然成功守住了弗鲁鲁风车村…… 
但费列聂城的情况仍令人担心，准备完毕就立刻启程吧。"
MID_HUB_Alfred_M005,"[阿尔弗雷德] 2 
[阿尔弗雷德] 
[阿尔弗雷德] 
Smile 
[阿尔弗雷德] EmoTalk 
准备好就动身前往“拂晓巫女戒指”所在之处吧。 
我会带大家去祠堂。"
MID_HUB_Alfred_M016,"[阿尔弗雷德] 2 
[阿尔弗雷德] 
[阿尔弗雷德] Status 
[阿尔弗雷德] EmoTalk 
居然有那么庞大的舰队航向费列聂…… 
我很担心国民，必须赶紧回去才行。"
MID_HUB_Alfred_M025,"[阿尔弗雷德] 2 
[阿尔弗雷德] 
[阿尔弗雷德] 
Smile 
[阿尔弗雷德] EmoTalk 
总算到了最终决战……别担心，神龙大人。 
不论何时何地，我永远都会支持你。"
MID_HUB_Bonet_M012,"[波聂] 2 
[波聂] 
[波聂] 
Smile 
[波聂] EmoTalk 
感谢您的邀请。这里的空气真新鲜…… 
请务必让我在这里的厨房大展身手。"
MID_HUB_Boucheron_M003,"[布修隆] 2 

[布修隆] 

[布修隆] 
Smile 

[布修隆] EmoTalk 
原来索拉涅尔也有池塘和果树园啊！ 
我还想再多逛逛，但得先确保自己不会迷路……"
MID_HUB_Byleth_M014,"[贝雷特] 2 
[贝雷特] 
[贝雷特] 
Smile 
[贝雷特] EmoTalk 
过去虽屡次与你们为敌，但那绝非我本意。 
终于能回到这里，我很高兴。"
MID_HUB_Celica_M004,"[赛莉卡] 2 
[赛莉卡] 
[赛莉卡] 
Smile 
[赛莉卡] EmoTalk 
距离上次来这里……已经过了好几百年呢。 
还请你多多关照与我同行的费列聂王族哦。"
MID_HUB_Celica_M020,"[赛莉卡] 2 
[赛莉卡] 
[赛莉卡] Shy 
[赛莉卡] EmoTalk 
这里比从前热闹多了。 
都是大家努力的成果呢，我有点感动到想哭……"
MID_HUB_Celine_M004,"[锡莉奴] 2 

[锡莉奴] 
[锡莉奴] 
Smile 
[锡莉奴] EmoTalk 
谢谢您邀请我来圣地。 
请务必在整备完毕后立刻启程至费列聂城……"
MID_HUB_Celine_M005,"[锡莉奴] 2 

[锡莉奴] 
[锡莉奴] Normal 
[锡莉奴] EmoTalk 
没想到费列聂居然有第二枚戒指。 
请跟随哥哥一起前往祠堂吧。"
MID_HUB_Celine_M016,"[锡莉奴] 2 

[锡莉奴] 
[锡莉奴] Sad 
[锡莉奴] EmoTalk 
伊尔席翁军是不是打算再次侵略费列聂呢…… 
那一大批军舰的身影，总在我脑海中挥之不去……"
MID_HUB_Celine_M025,"[锡莉奴] 2 

[锡莉奴] 
[锡莉奴] 
Relax 
[锡莉奴] EmoTalk 
我相信只要决战结束，和平就一定会到来…… 
为了国民、为了世上所有人的幸福，我们绝不能输。"
MID_HUB_Chloe_M004,"[克萝艾] 2 
[克萝艾] 
[克萝艾] 
Smile 
[克萝艾] EmoTalk 
谢谢您邀请我来这么美好的地方。 
天哪，这里每个角落都美得如诗如画呢……"
MID_HUB_Citrinica_M007,"[希特丽妮卡] 2 

[希特丽妮卡] 

[希特丽妮卡] Shy 

[希特丽妮卡] EmoTalk 
谢谢您邀请我到如此美轮美奂的城堡，我感到非常荣幸。 
请问这里会举办舞会之类的活动吗？"
MID_HUB_Clan_M003,"[柯岚] 2 
[柯岚] 
[柯岚] 
Smile 
[柯岚] EmoTalk 
这里好冷清哦，想办法让这里热闹起来吧！ 
有我们在，就别想冷场！"
MID_HUB_Diamand_M008,"[帝亚曼德] 2 
[帝亚曼德] 
[帝亚曼德] 
Smile 
[帝亚曼德] EmoTalk 
先前造访索拉涅尔时，神龙大人还没有醒来。 
如今能像这般在此地交谈，让我深有感触。"
MID_HUB_Diamand_M009,"[帝亚曼德] 2 
[帝亚曼德] 
[帝亚曼德] Sad 
[帝亚曼德] EmoTalk 
请你一定要平安无事……父王……"
MID_HUB_Diamand_M011,"[帝亚曼德] 2 
[帝亚曼德] 
[帝亚曼德] Normal 
[帝亚曼德] EmoTalk 
充分休息后就出发去索尔姆吧。 
可不能……让父王看见我停滞不前的丑态。"
MID_HUB_Diamand_M025,"[帝亚曼德] 2 
[帝亚曼德] 
[帝亚曼德] 
Smile 
[帝亚曼德] EmoTalk 
为了在这场战役中殒落的生命，也为了我们的未来…… 
我们一定要赢。我相信只要我们齐心协力就能战胜一切。"
MID_HUB_Eirik_M016,"[艾莉可] 2 

[艾莉可] 

[艾莉可] 
Smile 

[艾莉可] EmoTalk 
这里和神龙王城都让人感到很温馨，但似乎又有些不同。 
或许是您那温厚的特质，让这里跟着起了变化。"
MID_HUB_Etie_M003,"[艾媞耶] 2 

[艾媞耶] 

[艾媞耶] Shy 

[艾媞耶] EmoTalk 
在圣地索拉涅尔里换上如此轻便的服装……真的没问题吗？ 
虽然仍有些紧张，但我会努力帮上忙的。"
MID_HUB_Fogato_M012,"[佛贾特] 2 

[佛贾特] 

[佛贾特] 
Smile 

[佛贾特] EmoTalk 
居然邀请我来这么棒的地方，太让我高兴了！ 
我觉得自己越来越喜欢神龙大人了呢！"
MID_HUB_Fogato_M025,"[佛贾特] 2 

[佛贾特] 

[佛贾特] 
Smile 

[佛贾特] EmoTalk 
终于要跟尚卜尔做个了断了……紧张是难免的， 
要是下不了决心，随时都可以来找我商量。"
MID_HUB_Fram_M003,"[芙岚] 2 
[芙岚] 
[芙岚] 
Smile 
[芙岚] EmoTalk 
走到索拉涅尔边缘就能俯瞰整片云海哦！ 
那也是……琉弥艾尔大人生前喜爱的景色。"
MID_HUB_Goldmary_M016,"[戈尔德玛莉] 2 
[戈尔德玛莉] 
[戈尔德玛莉] 
Smile 
[戈尔德玛莉] Sad 
多么美妙的地方……和惹人怜爱的我再相称不过了…… 
哦不，我错了，神龙大人才是与此地最为般配的人选……"
