key,text
MID_RELIANCE_A_#001,"[阿尔弗雷德] 1 

[波聂] 2 
[阿尔弗雷德] 
波聂。"
MID_RELIANCE_A_#002,"[波聂] 
阿尔弗雷德王子……"
MID_RELIANCE_A_#003,"[阿尔弗雷德] 
特地麻烦你做料理给我吃， 
可惜我还是没能变成易增肌体质呢。"
MID_RELIANCE_A_#004,"[波聂] 
没能帮上您的忙…… 
我很抱歉。"
MID_RELIANCE_A_#005,"[阿尔弗雷德] 
别在意！ 
波聂你已经尽力了。"
MID_RELIANCE_A_#006,"[阿尔弗雷德] 
这些料理都很好吃。 
谢谢你，波聂。"
MID_RELIANCE_A_#007,"[阿尔弗雷德] 
没用的…… 
是我这瘦弱的身体。"
MID_RELIANCE_A_#008,"[波聂] 
阿尔弗雷德王子……"
MID_RELIANCE_A_#009,"[波聂] 
……那些料理确实没能成功塑造易增肌体质。"
MID_RELIANCE_A_#010,"[波聂] 
但不知您是否注意到了， 
它们其实也改变了某些事……"
MID_RELIANCE_A_#011,"[阿尔弗雷德] 
你指的是什么？"
MID_RELIANCE_A_#012,"[波聂] 
……就是我和阿尔弗雷德王子的味道。"
MID_RELIANCE_A_#013,"[阿尔弗雷德] 
味、味道……？"
MID_RELIANCE_A_#014,"[波聂] 
是我举的例子太差了…… 
我想说的是我们之间的关系……"
MID_RELIANCE_A_#015,"[波聂] 
随着感情加深，我们初识时枯燥无味的关系…… 
时至今日已变得相当有滋有味了。"
MID_RELIANCE_A_#016,"[阿尔弗雷德] 
经你这么一说， 
变化确实很大呢。"
MID_RELIANCE_A_#017,"[阿尔弗雷德] 
以前我们可没什么交集， 
不过现在却变得这么要好。"
MID_RELIANCE_A_#018,"[波聂] 
是的……"
MID_RELIANCE_A_#019,"[波聂] 
我想着阿尔弗雷德王子的时间， 
也因此多了许多……"
MID_RELIANCE_A_#020,"[阿尔弗雷德] 
你不觉得通过饮食来增进感情 
是一件非常美好的事吗？"
MID_RELIANCE_A_#021,"[波聂] 
是啊，为了让我们的感情能更加深厚…… 
今天也由我来准备料理吧。"
MID_RELIANCE_A_#022,"[阿尔弗雷德] 
真的吗？ 
那就麻烦你了。"
MID_RELIANCE_A_#023,"[波聂] 
今天的料理就以蔬菜为主吧…… 
上面撒些先前那种甜甜的花应该也很搭……"
MID_RELIANCE_A_#024,"[波聂] 
然后再多做些鱼， 
说不定能和之前的肉料理营养均衡一下……"
MID_RELIANCE_A_#025,"[阿尔弗雷德] 
我光听就觉得很美味呢。"
MID_RELIANCE_A_#026,"[波聂] 
阿尔弗雷德王子，您若是继续吃我做的料理， 
或许总有一天会如您所愿……"
MID_RELIANCE_A_#027,"[波聂] 
让身体变得强壮起来。"
MID_RELIANCE_A_#028,"[阿尔弗雷德] 
波聂……"
MID_RELIANCE_A_#029,"[阿尔弗雷德] 
呵呵，谢谢你。我很期待…… 
你来改变我的体格。"
MID_RELIANCE_B_#001,"[阿尔弗雷德] 1 

[波聂] 2 
[波聂] 
嗯…… 
微微的甜味……"
MID_RELIANCE_B_#002,"[阿尔弗雷德] 
费列聂送来的花味道如何？"
MID_RELIANCE_B_#003,"[波聂] 
嗯……丰富的香气令人惊艳， 
我想应该很适合拌入沙拉一起享用。"
MID_RELIANCE_B_#004,"[波聂] 
原来这就是费列聂王国第一王子的味道啊……"
MID_RELIANCE_B_#005,"[阿尔弗雷德] 
这、这不是我的味道啦……"
MID_RELIANCE_B_#006,"[阿尔弗雷德] 
不说这个了！ 
料理好像已经好了呢。"
MID_RELIANCE_B_#007,"[波聂] 
是的。"
MID_RELIANCE_B_#008,"[波聂] 
为了让王子您 
长出发达的肌肉……"
MID_RELIANCE_B_#009,"[波聂] 
我已经准备好料理了。"
MID_RELIANCE_B_#010,"[阿尔弗雷德] 
波聂，谢谢你！"
MID_RELIANCE_B_#011,"[阿尔弗雷德] 
只要吃下去，就能改善我的体质， 
让我拥有强健的体魄，对吧！"
MID_RELIANCE_B_#012,"[波聂] 
……这只是我的猜测。"
MID_RELIANCE_B_#013,"[阿尔弗雷德] 
没关系， 
还是很值得一试的。"
MID_RELIANCE_B_#014,"[波聂] 
好的…… 
那我现在就去把它端过来。"
MID_RELIANCE_B_#015,
MID_RELIANCE_B_#016,"[阿尔弗雷德] 
…………"
MID_RELIANCE_B_#017,"[波聂] 
…………"
MID_RELIANCE_B_#018,"[阿尔弗雷德] 
原来是肉啊。"
MID_RELIANCE_B_#019,"[阿尔弗雷德] 
肉、肉、肉…… 
放眼望去都是肉……"
MID_RELIANCE_B_#020,"[波聂] 
肉是肌肉的来源…… 
虽然没有什么根据，但我是这么认为的。"
MID_RELIANCE_B_#021,"[波聂] 
所以我想只要多吃肉， 
应该就会长肌肉了吧……"
MID_RELIANCE_B_#022,"[阿尔弗雷德] 
波聂，谢谢你。 
你这么费心，我真的很高兴。"
MID_RELIANCE_B_#023,"[阿尔弗雷德] 
我一定会把这堆肉料理都吃完的。"
MID_RELIANCE_B_#024,"[阿尔弗雷德] 
我开动了！ 
嚼嚼嚼嚼……"
MID_RELIANCE_B_#025,"[波聂] 
看您吃得这么津津有味…… 
我这个厨师真是感动。"
MID_RELIANCE_B_#026,"[波聂] 
接下来，只要阿尔弗雷德王子能顺利增肌的话……"
MID_RELIANCE_B_#027,"[波聂] 
……虽然这毫无根据， 
就让我相信奇迹会出现吧。"
MID_RELIANCE_C_#001,"[阿尔弗雷德] 1 

[波聂] 2 
[波聂] 
阿尔弗雷德王子…… 
请问我可以舔一下吗？"
MID_RELIANCE_C_#002,"[阿尔弗雷德] 
你突然这是怎么了，波聂。"
MID_RELIANCE_C_#003,"[波聂] 
非常抱歉， 
是我没把话说清楚……"
