key,text
MID_RELIANCE_A_#001,"[ボネ] 1 
[ジャン] 2 
[ジャン] 
ボネさん、この前はおおきに。"
MID_RELIANCE_A_#002,"[ジャン] 
おかげさんで、あの花… 
大勢の治療の役に立ったわ。"
MID_RELIANCE_A_#003,"[ボネ] 
それはよかった。 
きっと花も喜んでいることだろう…"
MID_RELIANCE_A_#004,"[ジャン] 
それで、これ。 
ボネさんに感謝の気持ちや。"
MID_RELIANCE_A_#005,"[ボネ] 
これは…花の種…"
MID_RELIANCE_A_#006,"[ジャン] 
大切に育てた花をわけてもろたからな。"
MID_RELIANCE_A_#007,"[ジャン] 
花を育ててた場所を空けてしもて、 
きっと寂しい思いをさせてしもたやろ。"
MID_RELIANCE_A_#008,"[ジャン] 
その代わりにはならへんかもしれんけど… 
これでまた花を殖やしてや。"
MID_RELIANCE_A_#009,"[ボネ] 
心遣い感謝する… 
この花の種、大切に育てさせてもらおう。"
MID_RELIANCE_A_#010,"[ジャン] 
おおきに。 
ほんまに助かったで。"
MID_RELIANCE_A_#011,"[ジャン] 
ほな、これで…"
MID_RELIANCE_A_#012,"[ボネ] 
ジャン。 
待ってくれ。"
MID_RELIANCE_A_#013,"[ジャン] 
どないした？"
MID_RELIANCE_A_#014,"[ボネ] 
他にも、医療に役立つ花があるのなら教えてくれ… 
育ててみようと思う。"
MID_RELIANCE_A_#015,"[ボネ] 
育てた花が摘まれるのは確かに寂しい… 
だが、人の役に立つのなら話は違う。"
MID_RELIANCE_A_#016,"[ボネ] 
できることがあるなら、 
私も貢献したいんだ。"
MID_RELIANCE_A_#017,"[ジャン] 
ボネさん…！ 
ありがとう。嬉しいわ。"
MID_RELIANCE_A_#018,"[ジャン] 
ほな、自分も手伝うで。 
花だけをもらうわけにもいかんからな。"
MID_RELIANCE_A_#019,"[ボネ] 
それは助かる。 
二人ならきっといい花が育てられるだろう。"
MID_RELIANCE_A_#020,"[ジャン] 
はは。そうやな。 
虫刺されに気をつけながら頑張るで。"
MID_RELIANCE_A_#021,"[ボネ] 
ああ…塗られた薬草の味見を我慢するのは、 
堪えるからな…"
MID_RELIANCE_B_#001,"[ボネ] 1 
[ジャン] 2 
[ジャン] 
ボネさん。 
虫刺されの様子はどうや？"
MID_RELIANCE_B_#002,"[ボネ] 
すっかり腫れも引いて落ち着いた… 
薬草を塗ってもらったおかげだ。"
MID_RELIANCE_B_#003,"[ボネ] 
薬草の味が気になって… 
我慢するのが大変だったがな…"
MID_RELIANCE_B_#004,"[ジャン] 
あはは… 
よう我慢してくれた。"
MID_RELIANCE_B_#005,"[ジャン] 
…うん。患部にも異常なしやな。 
安心したわ。"
MID_RELIANCE_B_#006,"[ボネ] 
ありがとう、ジャン。"
MID_RELIANCE_B_#007,"[ジャン] 
そうや。 
今日はボネさんに話があって来たんや。"
MID_RELIANCE_B_#008,"[ボネ] 
話？"
MID_RELIANCE_B_#009,"[ジャン] 
ボネさんからもろたカモミラなんやけど、 
調べてみたら薬草にもなる花やったんや。"
MID_RELIANCE_B_#010,"[ジャン] 
鎮痛作用や炎症緩和に役立つらしくて、 
もしよければ少し譲ってもらえへんかなと…"
MID_RELIANCE_B_#011,"[ボネ] 
なるほどな…"
MID_RELIANCE_B_#012,"[ボネ] 
そこまで数があるわけではないが… 
人助けになるのであれば喜んで渡そう。"
MID_RELIANCE_B_#013,"[ジャン] 
おおきに、少量でも助かるで。"
MID_RELIANCE_B_#014,"[ボネ] 
私の育てた花が人の役に立つなら嬉しい。"
MID_RELIANCE_B_#015,"[ボネ] 
丹精込めて育てた花が摘まれるのは 
少し寂しい気分だがな…"
MID_RELIANCE_B_#016,"[ジャン] 
一輪たりとも無駄にしいひんよ。 
ボネさん、おおきに。"
MID_RELIANCE_C_#001,"[ボネ] 1 
[ジャン] 2 
[ジャン] 
結構大きゅう腫れてるなぁ。 
これはきっと虫刺されやで。"
MID_RELIANCE_C_#002,"[ボネ] 
花や野菜の世話をするのが趣味だからな… 
刺されたとすれば、そのときだろう。"
MID_RELIANCE_C_#003,"[ジャン] 
念のために薬草を塗っておくさかい、 
患部を触らんように頼むで。"
MID_RELIANCE_C_#004,"[ボネ] 
念のためなら薬草がもったいない… 
他の人のためにとっておいてくれ。"
MID_RELIANCE_C_#005,"[ジャン] 
それはあかんで。"
MID_RELIANCE_C_#006,"[ジャン] 
どの虫に刺されたか、わからへんのやろ。 
放置すると重症化の危険性があるで。"
MID_RELIANCE_C_#007,"[ボネ] 
そうか… 
専門外の人間が口を出してすまなかった…"
MID_RELIANCE_C_#008,"[ジャン] 
わかればええで。 
ほな、包帯を結んで…っと…"
MID_RELIANCE_C_#009,"[ジャン] 
終わったで、これで安心や。 
痒くなってもしばらくは我慢してな。"
MID_RELIANCE_C_#010,"[ボネ] 
わかった。 
触らないよう気をつける。"
MID_RELIANCE_C_#011,"[ボネ] 
治療の礼と言ってはなんだが… 
これを受け取ってくれ。"
MID_RELIANCE_C_#012,"[ジャン] 
わぁ… 
可愛らしくて綺麗な花やな。"
MID_RELIANCE_C_#013,"[ボネ] 
私が育てたカモミラという花だ。 
甘い香りがして心が安らぐだろう。"
MID_RELIANCE_C_#014,"ジャン… 
おおきに、大切にするわ。"
MID_RELIANCE_C_#015,"[ボネ] 
今度、私が育てている花や野菜を見にくるといい… 
きっと、いい息抜きになる。"
