key,text
MID_RELIANCE_A_#001,"[贾恩] 1 
[霖丹] 2 
[贾恩] 
霖丹先生，前阵子真是抱歉。 
我不小心就睡着了……！"
MID_RELIANCE_A_#002,"[霖丹] 
你不用放在心上， 
老夫本来就是打算让你睡着的。"
MID_RELIANCE_A_#003,"[霖丹] 
而且，花儿们应该教了你 
一件重要的事情才对。"
MID_RELIANCE_A_#004,"[贾恩] 
重要的事情……？"
MID_RELIANCE_A_#005,"[霖丹] 
别被眼前的成果蒙蔽，要适度地让身心休息…… 
正所谓欲速则不达呐。"
MID_RELIANCE_A_#006,"[贾恩] 
…………"
MID_RELIANCE_A_#007,"[贾恩] 
自从那天去过草原后， 
我就能集中精神学习了。"
MID_RELIANCE_A_#008,"[霖丹] 
嗯， 
那真是太好了。"
MID_RELIANCE_A_#009,"[贾恩] 
霖丹先生…… 
我可以称你为老师吗？"
MID_RELIANCE_A_#010,"[霖丹] 
什么？"
MID_RELIANCE_A_#011,"[贾恩] 
你说的每一句话…… 
对我来说都是金玉良言。"
MID_RELIANCE_A_#012,"[贾恩] 
尽信书不如无书， 
我需要有人传授更广泛的知识与经验……"
MID_RELIANCE_A_#013,"[贾恩] 
而霖丹先生这样的大贤者正是不二人选。"
MID_RELIANCE_A_#014,"[霖丹] 
居，居然称老夫为大贤者……"
MID_RELIANCE_A_#015,"[贾恩] 
你不喜欢吗？"
MID_RELIANCE_A_#016,"[霖丹] 
也不是不喜欢……"
MID_RELIANCE_A_#017,"[霖丹] 
不过，要教的东西这么多…… 
老夫都这把年纪了，不知道教不教得完呐。"
MID_RELIANCE_A_#018,"[贾恩] 
这点就不用担心了。"
MID_RELIANCE_A_#019,"[贾恩] 
虽然我作为医生的经验尚浅…… 
但我会好好看管霖丹先生的健康。"
MID_RELIANCE_A_#020,"[霖丹] 
呵呵，来这招吗？ 
老夫真是败给你啦。"
MID_RELIANCE_A_#021,"[霖丹] 
好吧…… 
贾恩，老夫就收你为徒。"
MID_RELIANCE_A_#022,"[贾恩] 
多谢啦！ 
我一定会努力学习！"
MID_RELIANCE_B_#001,"[贾恩] 1 
[霖丹] 2 

[霖丹] 
我们到了…… 
这里就是老夫想带你来的地方。"
MID_RELIANCE_B_#002,"[贾恩] 
草原……？"
MID_RELIANCE_B_#003,"[贾恩] 
为什么要带我来这里呢？ 
我没有看到任何像老师的人呀……"
MID_RELIANCE_B_#004,"[霖丹] 
有哦。"
MID_RELIANCE_B_#005,"[贾恩] 
在，在哪里啊？"
MID_RELIANCE_B_#006,"[霖丹] 
你没看到眼前这片一望无际的花海吗？ 
“他们”就是你今天的老师哦。"
MID_RELIANCE_B_#007,"[贾恩] 
呵呵， 
霖丹先生你又在开玩笑了……"
MID_RELIANCE_B_#008,"[霖丹] 
老夫可不是在开玩笑呐。"
MID_RELIANCE_B_#009,"[霖丹] 
你已经身心俱疲了……"
MID_RELIANCE_B_#010,"[霖丹] 
对现在的你来说， 
这些小花才是你最需要的东西。"
MID_RELIANCE_B_#011,"[霖丹] 
好了，你就当作是被老夫骗， 
坐在花儿旁边看看吧。"
MID_RELIANCE_B_#012,"[贾恩] 
好，好吧……"
MID_RELIANCE_B_#013,"[霖丹] 
慢慢躺下来，望着天空…… 
然后深深地呼吸。"
MID_RELIANCE_B_#014,"[贾恩] 
好的……"
MID_RELIANCE_B_#015,"[贾恩] 
呼……呼…… 
是这样吗？"
MID_RELIANCE_B_#016,"[霖丹] 
哎呀？ 
花儿好像想跟你说什么哦。"
MID_RELIANCE_B_#017,"[贾恩] 
……咦？"
MID_RELIANCE_B_#018,"[贾恩] 
我什么都没听到耶……"
MID_RELIANCE_B_#019,"[霖丹] 
那还真是伤脑筋呐。 
你得把肩膀放松，竖起耳朵仔细听。"
MID_RELIANCE_B_#020,"[贾恩] 
…………"
MID_RELIANCE_B_#021,"[贾恩] 
我还是听不见……"
MID_RELIANCE_B_#022,"[贾恩] 
不过，花儿的味道很香…… 
微风吹拂的感觉也很舒服……"
MID_RELIANCE_B_#023,"[霖丹] 
是吗？ 
那就照这个感觉继续下去吧。"
MID_RELIANCE_B_#024,"[贾恩] 
好的…… 
我知道了……"
MID_RELIANCE_B_#025,"[贾恩] 
…………"
MID_RELIANCE_B_#026,"[贾恩] 
呼……呼……"
MID_RELIANCE_B_#027,"[霖丹] 
看来是睡着了呐。 
祝你有个好梦，贾恩。"
MID_RELIANCE_C_#001,"[贾恩] 1 
[霖丹] 2 
[贾恩] 
呼……"
MID_RELIANCE_C_#002,"[贾恩] 
不行呀…… 
太困了，内容都记不下来……"
MID_RELIANCE_C_#003,"[霖丹] 
你怎么啦？"
MID_RELIANCE_C_#004,"[贾恩] 
啊，霖丹先生。 
我正在学习。"
MID_RELIANCE_C_#005,"[霖丹] 
哦？学习到这么晚，真是不简单啊。 
你在读什么呢？"
MID_RELIANCE_C_#006,"[贾恩] 
我在读医学的书。"
MID_RELIANCE_C_#007,"[霖丹] 
嗯，但你看起来很累呐。"
MID_RELIANCE_C_#008,"[贾恩] 
可能是我睡太少了吧。 
毕竟要记的内容实在很多……"
MID_RELIANCE_C_#009,"[霖丹] 
白天战斗，晚上学医…… 
这样身体当然会吃不消。"
MID_RELIANCE_C_#010,"[霖丹] 
再这样下去…… 
还没等你治好病人，自己就会先倒下喽。"
MID_RELIANCE_C_#011,"[贾恩] 
我知道，但是……"
MID_RELIANCE_C_#012,"[霖丹] 
总之先把书本关上， 
稍微转换一下心情吧。"
MID_RELIANCE_C_#013,"[贾恩] 
但，但是这样学习就……"
MID_RELIANCE_C_#014,"[霖丹] 
书是非常好的老师。 
不过，学习的途径并非只有看书。"
MID_RELIANCE_C_#015,"[霖丹] 
这个世界上还有许多优秀的老师。"
MID_RELIANCE_C_#016,"[霖丹] 
只要向那些老师求教， 
你就能更有效率地学习哦。"
MID_RELIANCE_C_#017,"[贾恩] 
真的吗？"
MID_RELIANCE_C_#018,"[霖丹] 
嗯，当然是真的。 
下次老夫就介绍他们给你认识吧。"
