key,text
MID_RELIANCE_A_#001,"[フラン] 1 
[カゲツ] 2 
[カゲツ] 
…………"
MID_RELIANCE_A_#002,"[フラン] 
カゲツさん。 
暗い顔してどうしたの？"
MID_RELIANCE_A_#003,"[カゲツ] 
ああ、フランか。 
やはりそういう風に見えるか？"
MID_RELIANCE_A_#004,"[フラン] 
もしかして… 
この前出した手紙の返事がこないとか？"
MID_RELIANCE_A_#005,"[カゲツ] 
その通りじゃ。"
MID_RELIANCE_A_#006,"[カゲツ] 
やはり余は、 
家族から愛想を尽かされているようじゃな。"
MID_RELIANCE_A_#007,"[フラン] 
きっと何かの手違いで 
手紙が届かなかったんだよ。"
MID_RELIANCE_A_#008,"[カゲツ] 
それならそれで、 
良かったのかもしれぬ。"
MID_RELIANCE_A_#009,"[カゲツ] 
無事返信が戻ってきたとて、 
余には手紙を読む勇気はなさそうじゃ。"
MID_RELIANCE_A_#010,"[フラン] 
弱気になってどうするの。 
カゲツさんは頑張って手紙を書いたでしょ。"
MID_RELIANCE_A_#011,"[フラン] 
それに、まだ返事を書いてる最中かも 
しれないじゃない。諦めるのは早いよ。"
MID_RELIANCE_A_#012,"[カゲツ] 
フラン…"
MID_RELIANCE_A_#013,"[フラン] 
もうちょっと待ってみよう。 
そしたらまた、一緒にお返事を書こうよ。"
MID_RELIANCE_A_#014,"[カゲツ] 
そうじゃな。 
余は少し、気が短かったのかもしれぬ。"
MID_RELIANCE_A_#015,"[カゲツ] 
そうじゃ！　手紙を待つ間、 
フランの両親からの手紙を見せてはくれぬか。"
MID_RELIANCE_A_#016,"[フラン] 
私の？"
MID_RELIANCE_A_#017,"[カゲツ] 
うむ！　その手にあるのは、 
届いたばかりの両親からの手紙じゃろう？"
MID_RELIANCE_A_#018,"[カゲツ] 
家族からどんな手紙が届くのか気になるしのう。 
フランが構わないなら見せてほしいのじゃ。"
MID_RELIANCE_A_#019,"[フラン] 
いいよ。 
どうせいつも通りの内容だと思うし。"
MID_RELIANCE_A_#020,"[フラン] 
一応、先に内容を確認して… 
え～っと…ああっ！"
MID_RELIANCE_A_#021,"[カゲツ] 
何を驚いておるのだ。 
なになに…"
