key,text
MID_RELIANCE_A_#001,"[Bunet] 1 
[Jean] 2 
[Jean] 
You did me a big favor the other day."
MID_RELIANCE_A_#002,"[Jean] 
I put that flower you gave me to good use, and 
it helped in treating a lot of our people."
MID_RELIANCE_A_#003,"[Bunet] 
Good. I'm sure those little blooms of mine were 
happy to help."
MID_RELIANCE_A_#004,"[Jean] 
Here. This is something in return."
MID_RELIANCE_A_#005,"[Bunet] 
Hm... Flower seeds."
MID_RELIANCE_A_#006,"[Jean] 
You seemed to care a lot about the flower you 
gave me."
MID_RELIANCE_A_#007,"[Jean] 
So I thought it must have made you sad to see 
the space where it used to grow."
MID_RELIANCE_A_#008,"[Jean] 
This probably isn't much of a replacement, 
but...it's something to fill the space."
MID_RELIANCE_A_#009,"[Bunet] 
How thoughtful. I will make sure to give these 
seeds a loving, supportive home."
MID_RELIANCE_A_#010,"[Jean] 
It's the least I can do for the help you gave me."
MID_RELIANCE_A_#011,"[Jean] 
Well, I think that's all, so..."
MID_RELIANCE_A_#012,"[Bunet] 
Jean, wait."
MID_RELIANCE_A_#013,"[Jean] 
Yes?"
MID_RELIANCE_A_#014,"[Bunet] 
Are there any other flowers with medicinal uses 
that I could grow for you?"
MID_RELIANCE_A_#015,"[Bunet] 
Sometimes I'm sad to see my beautiful flowers 
being plucked, but not when they help people."
MID_RELIANCE_A_#016,"[Bunet] 
I want to contribute however I can."
MID_RELIANCE_A_#017,"[Jean] 
That's really nice of you, Bunet. It means a lot 
that you're willing to pitch in."
MID_RELIANCE_A_#018,"[Jean] 
I'm going to do my part, too, of course. I won't 
leave it all to you."
MID_RELIANCE_A_#019,"[Bunet] 
Wonderful. I'm sure my flowers will appreciate 
having another caretaker around."
MID_RELIANCE_A_#020,"[Jean] 
Haha, probably so! Keep up the good work, and 
try not to get stung again."
MID_RELIANCE_A_#021,"[Bunet] 
No need to tell me twice. I could hardly sleep 
with those tantalizing herbs on me."
MID_RELIANCE_B_#001,"[Bunet] 1 
[Jean] 2 
[Jean] 
How's that insect sting healing, Bunet?"
MID_RELIANCE_B_#002,"[Bunet] 
The swelling has stopped. All thanks to those 
herbs of yours, no doubt."
MID_RELIANCE_B_#003,"[Bunet] 
Somehow, I resisted the urge to taste them."
MID_RELIANCE_B_#004,"[Jean] 
Hahaha, a good patient is patient."
MID_RELIANCE_B_#005,"[Jean] 
Everything looks fine where you were stung. 
That's a relief."
MID_RELIANCE_B_#006,"[Bunet] 
Thank you, Jean."
MID_RELIANCE_B_#007,"[Jean] 
Oh, this reminds me. I wanted to ask you 
about something."
MID_RELIANCE_B_#008,"[Bunet] 
What's that?"
MID_RELIANCE_B_#009,"[Jean] 
Remember the chamomile you gave me? 
I looked into it, and it has medicinal uses."
MID_RELIANCE_B_#010,"[Jean] 
It's a painkiller and can sometimes reduce 
inflammation. Do you maybe have more?"
MID_RELIANCE_B_#011,"[Bunet] 
Interesting."
MID_RELIANCE_B_#012,"[Bunet] 
Well, there's not much of it, but what I do have, 
I will gladly give you."
MID_RELIANCE_B_#013,"[Jean] 
Thank you. Even a little will help."
MID_RELIANCE_B_#014,"[Bunet] 
It makes me happy to know that my little 
flowers will help people feel better."
MID_RELIANCE_B_#015,"[Bunet] 
Though, I must say...I'll be sorry to see them 
leave home after all my careful tending."
MID_RELIANCE_B_#016,"[Jean] 
Don't worry, Bunet. I won't let a single flower 
go to waste."
MID_RELIANCE_C_#001,"[Bunet] 1 
[Jean] 2 
[Jean] 
Wow, that's pretty swollen. This is definitely 
some sort of insect sting."
MID_RELIANCE_C_#002,"[Bunet] 
Well, I tend plants on the side. Probably got 
stung while I was in the garden."
MID_RELIANCE_C_#003,"[Jean] 
I can give you some herbs to reduce the 
swelling. Take care not to touch the wound."
MID_RELIANCE_C_#004,"[Bunet] 
I'm sure there's no need for that. Save your 
herbs for someone who could really use them."
MID_RELIANCE_C_#005,"[Jean] 
It doesn't work like that."
MID_RELIANCE_C_#006,"[Jean] 
We don't know what kind of insect stung you. 
If you leave it untreated, it might get serious."
MID_RELIANCE_C_#007,"[Bunet] 
I see... Forgive me. I suppose you would be 
more knowledgeable about such things."
MID_RELIANCE_C_#008,"[Jean] 
It's all right. Now you know. Just let me apply 
the dressing like so, and..."
MID_RELIANCE_C_#009,"[Jean] 
All done. Nothing to worry about now. Just 
leave it be, even if it starts to itch."
MID_RELIANCE_C_#010,"[Bunet] 
Understood. I'll try not to touch it."
MID_RELIANCE_C_#011,"[Bunet] 
Please, take this. A small token of thanks."
MID_RELIANCE_C_#012,"[Jean] 
Wow... What's this pretty flower?"
MID_RELIANCE_C_#013,"[Bunet] 
Some chamomile from my garden. It has a nice, 
soothing aroma, don't you think?"
MID_RELIANCE_C_#014,"[Jean] 
Thank you. I appreciate it."
MID_RELIANCE_C_#015,"[Bunet] 
You ought to come visit my garden sometime. 
I think you'd like it there."
