key,usen,jpja,cnch
Actinidia,Animal Treats,動物用のマタタビ,动物用的木天蓼
AlfredBento,Alfred's Meal,アルフレッド弁当,阿尔弗雷德便当
AnnaBento,Anna's Meal,アンナ弁当,安娜便当
Antidote,Antitoxin,毒消し薬,解毒剂
Apple,Apple,リンゴ,苹果
Apron,Cute Apron,可愛いエプロン,可爱围裙
Armorslayer,Armorslayer,アーマーキラー,破甲剑
Bandage,Bandages,包帯,绷带
BasicFist,Iron-Body Art,基本の体術,基本体术
Bean,Beans,豆,豆子
BeautifulStones,Pretty Pebble,綺麗な石ころ,漂亮的石头
Beef,Beef,牛肉,牛肉
BeginnerFist,Initiate Art,見習の体術,新手体术
Berry,Berries,ベリー,莓果
Bible,Dragon Scripture,神竜聖書,神龙圣书
BigDish,Large Plate,大きなお皿,巨大盘子
Block,Obstruct,アイスロック,冰锁
Bolganone,Bolganone,ボルガノン,火山爆焰
BonetBento,Bunet's Meal,ボネ弁当,波聂便当
Boots,Boots,ブーツ,靴子
BoucheronBento,Boucheron's Meal,ブシュロン弁当,布修隆便当
BraveAxe,Brave Axe,勇者の斧,勇者之斧
BraveBow,Brave Bow,勇者の弓,勇者之弓
BraveLance,Brave Lance,勇者の槍,勇者之枪
BraveSword,Brave Sword,勇者の剣,勇者之剑
Cabbage,Cabbage,キャベツ,卷心菜
Candle,Lovely Candle,美しい蝋燭,美丽的蜡烛
Carnwenhan,Carnwenhan,カルンウェナン,卡伦威南
Carp,Carp,コイ,鲤鱼
CelineBento,Céline's Meal,セリーヌ弁当,锡莉奴便当
ChangeSeal,Second Seal,チェンジプルフ,转职证
Chicken,Chicken,鶏肉,鸡肉
Chisel,Sharp Chisel,よく切れる彫刻刀,锋利雕刻刀
ChloeBento,Chloé's Meal,クロエ弁当,克萝艾便当
Chrysanthemum,Chrysanthemum,キクの花,菊花
Cinquedea,Cinquedea,シンクエディア,辛克艾迪亚
CitrinicaBento,Citrinne's Meal,シトリニカ弁当,希特丽妮卡便当
ClanBento,Clanne's Meal,クラン弁当,柯岚便当
Cod,Cod,タラ,鳕鱼
Collapse,Fracture,コラプス,崩塌
CreaturePictureBook,Field Guide,生き物図鑑,生物图鉴
DecorativeDagger,Fancy Dagger,装飾入りの短剣,装饰短剑
DefTonic,Defense Tonic,守備の薬,防守药
DiamandBento,Diamant's Meal,ディアマンド弁当,帝亚曼德便当
Dracoshield,Dracoshield,竜の盾,龙盾
Dragonslayer,Wyrmslayer,ドラゴンキラー,屠龙剑
Draw,Entrap,ドロー,召敌
DriedFish,Dried Fish,干物,干货
DriedMeat,Dried Meat,硬い干し肉,坚硬肉干
Eel,Eel,ウナギ,鳗鱼
Egg,Eggs,卵,蛋
EnergyDrop,Energy Drop,力のしずく,力量水滴
EtieBento,Etie's Meal,エーティエ弁当,艾媞耶便当
Excalibur,Excalibur,エクスカリバー,埃克斯卡利伯
FairyTaleBook,Fairy-Tale Book,不思議な童話絵本,奇妙的童话绘本
FarHeal,Physic,リブロー,远程圣疗
Fensalir,Fensalir,フェンサリル,芬萨里尔
Fire,Fire,ファイアー,火焰
FireBreath,Fire Breath,火のブレス,火之吐息
FireCannon,Flame Cannon,火炎砲台,火炎炮台
FishingBait,Fishing Bait,釣り用の餌,钓饵
FlameBall,Fireball,炎塊,炎块
FlameSpear,Flame Lance,炎の槍,炎枪
FlashFist,Flashing Fist Art,閃進の体術,闪进体术
FogatoBento,Fogado's Meal,フォガート弁当,佛贾特便当
Folkvangr,Fólkvangr,フォルクヴァング,弗尔克范格
FramBento,Framme's Meal,フラン弁当,芙岚便当
Freeze,Freeze,フリーズ,冰封
GodAxe,Fragarach,フラガラッハ,佛拉格拉克
GodAxeL,Ukonvasara,ウコンバサラ,乌哥巴萨拉
GodBow,Lendabair,レンダウィル,伦达威尔
GodFist,Divine Fist Art,覇神の体術,霸神体术
GodLance,Brionac,ブリューナク,布里欧奈克
GodLanceL,Venomous,ヴェノマス,恶毒枪
GodSword,Caladbolg,クラドホルグ,克拉德霍格
GodSwordL,Georgios,ゲオルギオス,盖欧吉欧斯
GoddessAgain,Goddess Dance,女神の舞,女神之舞
GoddessIcon,Goddess Icon,女神の像,女神像
GoldmaryBento,Goldmary's Meal,ゴルドマリー弁当,戈尔德玛莉便当
Grape,Grapes,ブドウ,葡萄
GrilledPotato,Roasted Yam,こだわりの焼き芋,行家烤番薯
GuardFist,Shielding Art,護身の体術,护身体术
Hammer,Hammer,ハンマー,战锤
HandAxe,Hand Axe,手斧,手斧
HandHeal,Sacrifice,癒しの手,治愈之手
HandLance,Javelin,手槍,标枪
Handkerchief,Quality Kerchief,上質なハンカチ,高级手帕
Heal,Heal,ライブ,圣疗
Herb,Herb,ハーブ,香草
Herring,Herring,ニシン,鲱鱼
HiHeal,Mend,リライブ,大圣疗
HighFist,Silver-Spirit Art,達人の体術,专家体术
HistoryBook,Elyos History,エレオスの歴史書,艾雷欧斯历史书
HolyWater,Pure Water,聖水,圣水
Horn,Horn,角笛,号角
HorseManure,Horse Manure,馬糞,马粪
HortensiaBento,Hortensia's Meal,オルテンシア弁当,奥尔坦希亚便当
HpTonic,HP Tonic,ＨＰの薬,HP药
InsectCatchingNet,Butterfly Net,虫取り網,捕虫网
IronAxe,Iron Axe,てつの斧,铁斧
IronAxeL,Iron Greataxe,てつの大斧,铁大斧
IronBow,Iron Bow,てつの弓,铁弓
IronKnife,Iron Dagger,てつのナイフ,铁刀
IronLance,Iron Lance,てつの槍,铁枪
IronLanceL,Iron Greatlance,てつの大槍,铁大枪
IronSword,Iron Sword,てつの剣,铁剑
IronSwordL,Iron Blade,てつの大剣,铁大剑
IvyBento,Ivy's Meal,アイビー弁当,艾比便当
JadeBento,Jade's Meal,ジェーデ弁当,洁德便当
JapaneseSword,Wo Dao,倭刀,倭刀
JeanBento,Jean's Meal,ジャン弁当,贾恩便当
KagetsuBento,Kagetsu's Meal,カゲツ弁当,花月便当
Kard,Kard,カルド,卡尔德
KazunoEarrings,Antler Earrings,シカ角の耳飾り,鹿角耳饰
KillerAxe,Killer Axe,キラーアクス,必杀斧
KillerBow,Killer Bow,キラーボウ,必杀弓
KillerLance,Killer Lance,キラーランス,必杀枪
KillingEdge,Killing Edge,キルソード,必杀剑
Komatsuna,Desert Marigold,コマツナの花,小松菜花
LFire,Elfire,エルファイアー,狂焰
LSurge,Elsurge,エルサージ,狂涌
LThunder,Elthunder,エルサンダー,狂雷
LWind,Elwind,エルウインド,狂风
LandscapePostcard,Landscape Art,風景の絵葉書,风景明信片
LapisBento,Lapis's Meal,ラピス弁当,菈琵思便当
LckTonic,Luck Tonic,幸運の薬,幸运药
Lentils,Lentil Flower,レンズマメの花,扁豆花
Liberation,Libération,リベラシオン,里贝拉锡翁
LightBow,Radiant Bow,光の弓,光之弓
Lily,Lily,ユリの花,百合花
LindenBento,Lindon's Meal,リンデン弁当,霖丹便当
LongBow,Longbow,長弓,长弓
LouisBento,Louis's Meal,ルイ弁当,路易便当
Lupinus,Lupine Flower,ルピナスの花,羽扇豆花
MagTonic,Magic Tonic,魔力の薬,魔力药
MasterSeal,Master Seal,マスタープルフ,大师证
MauveBento,Mauvier's Meal,モーヴ弁当,莫布便当
MdefTonic,Resistance Tonic,魔防の薬,魔防药
Medicine,Elixir,特効薬,特效药
MerinBento,Merrin's Meal,メリン弁当,玫琳便当
Meteo,Meteor,メティオ,陨石
MiddleFist,Steel-Hand Art,上級の体術,高级体术
Milk,Milk,ミルク,乳品
MincedFish,Minced Fish,すり身,碎肉
Misericorde,Misericorde,ミセリコルデ,米谢利克德
MisutiraBento,Timerra's Meal,ミスティラ弁当,蜜丝提拉便当
MultiFunctionKnife,Utility Knife,多機能ナイフ,多功能折叠刀
MuscleBuilder,Muscle Balm,塗る筋肉増強剤,外用肌肉增强剂
Mutton,Mutton,羊肉,羊肉
Noatun,Nóatún,ノーアトゥーン,诺欧通
Nodus,Nodus,ノードゥス,结节
None,,,
Nova,Nova,ノヴァ,新星
Nuts,Nuts,木の実,树果
Obscurite,Obscurité,オヴスキュリテ,暗黑无光
Onion,Onion,タマネギ,洋葱
Orange,Orange,オレンジ,柳橙
PandoroBento,Pandreo's Meal,パンドロ弁当,庞德罗便当
PanetoneBento,Panette's Meal,パネトネ弁当,帕涅托涅便当
Peach,Peach,モモ,蜜桃
Perfume,Strong Perfume,強い香りの香水,香气浓郁的香水
Peshkad,Peshkatz,ペシュカド,佩修卡特
PhilosophyBook,Philosophy Book,難しい哲学書,深奥的哲学书
PlayingCards,Playing Cards,卓上遊び用絵札,桌游用纸牌
PoetryCollection,Poetry Book,世界各国の詩集,世界各国诗集
PoleAxe,Poleaxe,ポールアクス,长斧
Pork,Pork,豚肉,猪肉
Potato,Potato,芋,薯类
PromiseRing,Pact Ring,約束の指輪,约定戒指
QuillPen,Fine Quill Pen,高級な羽根ペン,高级羽毛笔
RareFish,Rare Fish,幻の魚,幻之鱼
RareFoodstuffs,Topping,幻の食材,幻之食材
RareFruit,Rare Fruit,幻の果物,幻之水果
RareVagetable,Rare Vegetable,幻の野菜,幻之蔬菜
ReWarp,Rewarp,リワープ,自我传送
Recover,Recover,リカバー,圣愈
RefineIron,Iron Ingot,てつの晶石,铁晶石
RefineSilver,Silver Ingot,ぎんの晶石,银晶石
RefineSteel,Steel Ingot,はがねの晶石,钢晶石
Rescue,Rescue,レスキュー,救援
Rest,Restore,レスト,休息
Rice,Rice,米,米
RiderKiller,Ridersbane,ナイトキラー,骑士杀手
RosadoBento,Rosado's Meal,ロサード弁当,罗萨德便当
SPBook1,Novice Book,スキルの書・守,特技之书·守
SPBook2,Adept Book,スキルの書・破,特技之书·破
SPBook3,Expert Book,スキルの書・離,特技之书·离
SThoron,Thoron,トロン,托隆
Salmon,Salmon,サケ,鲑鱼
SaphirBento,Saphir's Meal,ザフィーア弁当,札菲亚便当
Sardine,Sardines,イワシ,沙丁鱼
SeadasBento,Seadall's Meal,セアダス弁当,赛安达斯便当
SecretBook,Secret Book,秘伝の書,秘传之书
SeraphRobe,Seraph Robe,天使の衣,天使之衣
SewingKit,Sewing Kit,裁縫セット,裁缝套组
SheepYarnBall,Sheep Wool,羊の毛糸玉,羊毛线球
ShortBow,Mini Bow,ショートボウ,短弓
Silence,Silence,サイレス,沉默
SilverAxe,Silver Axe,ぎんの斧,银斧
SilverAxeL,Silver Greataxe,ぎんの大斧,银大斧
SilverBow,Silver Bow,ぎんの弓,银弓
SilverKnife,Silver Dagger,ぎんのナイフ,银刀
SilverLance,Silver Lance,ぎんの槍,银枪
SilverLanceL,Silver Greatlance,ぎんの大槍,银大枪
SilverSword,Silver Sword,ぎんの剣,银剑
SilverSwordL,Silver Blade,ぎんの大剣,银大剑
SlicedRawFish,Sashimi,刺身,生鱼片
SmallAxe,Compact Axe,ショートアクス,短斧
SmallKnife,Short Knife,ショートナイフ,短刀
SmallLance,Slim Lance,ほそみの槍,细枪
SmallSword,Slim Sword,ほそみの剣,细剑
SombreBeam,Howling Beam,邪竜吼号砲,邪龙吼叫炮
SombreEngageBreak,Disengage,エンゲージブレイク,结合破坏
SombreMagicAttack,Fell Surge,邪竜ノ波動,邪龙的波动
SombrePhysicalAttack,Fell Assault,邪竜ノ強撃,邪龙的强击
SombreSpinAttack,Whirling Death,邪竜旋転乱舞,邪龙旋转乱舞
SoraJewelry,Spirit Gem,守り神の宝石,守护神的宝石
SpdTonic,Speed Tonic,速さの薬,速度药
Spear,Spear,スレンドスピア,投枪
Speedwing,Speedwing,はやての羽,疾风羽毛
Spice,Spices,スパイス,香料
SpicySeasoning,Spicy Seasonings,激辛調味料,超辣调味料
SpiritDust,Spirit Dust,精霊の粉,精灵之粉
StalukeBento,Alcryst's Meal,スタルーク弁当,史塔卢克便当
SteelAxe,Steel Axe,はがねの斧,钢斧
SteelAxeL,Steel Greataxe,はがねの大斧,钢大斧
SteelBow,Steel Bow,はがねの弓,钢弓
