key,text
MID_WU_A_1_HELLO_#001,おはよう。
MID_WU_A_1_HELLO_#002,丁度「紫雲の秘薬」ができたところです。
MID_WU_A_1_HELLO_#003,これを「飲む」と
MID_WU_A_1_HELLO_#004,「眠気」がたちどころに「消える」んです。
MID_WU_A_1_IN_#001,今日の「眠り」は深そうだな…
MID_WU_A_1_IN_#002,「邪魔」をするのは「忍びない」…
MID_WU_A_1_SOON_#001,ん？　すぐに「起きる」とは、
MID_WU_A_1_SOON_#002,俺の「見立て」は外れましたね。
MID_WU_A_1_SOON_#003,「おはよう」ございます。
MID_WU_A_1_WAKEUP_#001,「眠る者」の「傍ら」にいるのは慣れている…
MID_WU_A_1_WAKEUP_#002,「新しい薬」でも調合し、
MID_WU_A_1_WAKEUP_#003,「暇」を潰そう。
MID_WU_A_1_WAKEUP_#004,この葉と、この実を、切って、潰して…
MID_WU_A_2_HELLO_#001,ふっ…「無言」で起き上がり、俺を「見つめる」とは。
MID_WU_A_2_HELLO_#002,今度は意味深な「振る舞い」に
MID_WU_A_2_HELLO_#003,「興じて」いらっしゃるのですか？
MID_WU_A_2_IN_#001,「定刻」より少し前に到着だ。「仕事」に取り掛かろう…
MID_WU_A_2_SOON_#001,そう「すぐ」に起きられると、
MID_WU_A_2_SOON_#002,なんだか「意味深」に感じますね…
MID_WU_A_2_SOON_#003,神竜様といると「飽きる」ことがない。
MID_WU_A_2_WAKEUP_#001,神竜様は以前、
MID_WU_A_2_WAKEUP_#002,俺と同じ「無駄に意味深」な「話し方」に興じられていたが…
MID_WU_A_2_WAKEUP_#003,流石に「この部屋」ではそうされないだろう。
MID_WU_B_1_HELLO_#001,「目覚め」ましたか。
MID_WU_B_1_HELLO_#002,ああ、「俺」のことはお気になさらず。
MID_WU_B_1_HELLO_#003,どのみち、「睡眠」はいつも
MID_WU_B_1_HELLO_#004,「仮眠」程度にしかとりませんので。
MID_WU_B_1_IN_#001,いつもよく「眠って」いらっしゃいますね…
MID_WU_B_1_SOON_#001,そして、「寝起き」もこの通り「良好」ときた。
MID_WU_B_1_SOON_#002,「羨ましい」限りですよ、
MID_WU_B_1_SOON_#003,神竜様。
MID_WU_B_1_WAKEUP_#001,こうして「千年」も眠っていたのか…
MID_WU_B_1_WAKEUP_#002,そんなに「深い眠り」とは、
MID_WU_B_1_WAKEUP_#003,どのようなものなのだろうな。
MID_WU_B_1_WAKEUP_#004,「悪い夢」など、見ないのだろうか…
MID_WU_B_2_HELLO_#001,「お目覚め」になられたので、
MID_WU_B_2_HELLO_#002,俺はまた「収集」に出かけます。
MID_WU_B_2_HELLO_#003,気が向いたらまた、
MID_WU_B_2_HELLO_#004,あの「部屋」に来てください。
MID_WU_B_2_IN_#001,よく見ると「殺風景」な部屋だ…
MID_WU_B_2_IN_#002,もっと「物」を置かないのだろうか。
MID_WU_B_2_SOON_#001,おはようございます。
MID_WU_B_2_SOON_#002,この部屋は「何もない」ので、
MID_WU_B_2_SOON_#003,「退屈」で「眠くなる」可能性はありませんか？
MID_WU_B_2_WAKEUP_#001,「ここだけの話」だが…
MID_WU_B_2_WAKEUP_#002,神竜様が遊びに来て以来、
MID_WU_B_2_WAKEUP_#003,「秘密の小屋」にはさらに「物」が「増えて」しまった。
MID_WU_B_2_WAKEUP_#004,どうしたものか…
MID_WU_C_1_HELLO_#001,おはようございます。
MID_WU_C_1_HELLO_#002,なんですか、その「不服」そうな顔は。
MID_WU_C_1_HELLO_#003,生憎、「目的」のための「手段」は
MID_WU_C_1_HELLO_#004,指定されませんでしたのでね。
MID_WU_C_1_IN_#001,神竜様、「お目覚め」の時間です。
MID_WU_C_1_SOON_#001,ほう、「些細な物音」で目覚められるとは、流石。
MID_WU_C_1_SOON_#002,では俺はこれで…
MID_WU_C_1_WAKEUP_#001,…「起きない」か。
MID_WU_C_1_WAKEUP_#002,困ったな…俺は仕事で忙しい。
MID_WU_C_1_WAKEUP_#003,少々「手荒」な真似だが、
MID_WU_C_1_WAKEUP_#004,耳元で金属の「嫌な音」でもさせてみるか。
MID_WU_C_2_HELLO_#001,意外とすぐに「目覚め」られましたね。
MID_WU_C_2_HELLO_#002,「長期戦」を覚悟して、
MID_WU_C_2_HELLO_#003,「哲学書」を読み始めていたのですが…
MID_WU_C_2_HELLO_#004,「杞憂」でした。
MID_WU_C_2_IN_#001,…「静かな部屋」だ。まるで
MID_WU_C_2_IN_#002,「墓場」のような…
MID_WU_C_2_SOON_#001,良かった。
MID_WU_C_2_SOON_#002,「寝息」の一つも聞こえませんでしたので、
MID_WU_C_2_SOON_#003,つい「要らぬ心配」をしてしまいましたよ。
MID_WU_C_2_WAKEUP_#001,…「生きている」な。
MID_WU_C_2_WAKEUP_#002,では目覚めるのを待つとしよう。
MID_WU_C_2_WAKEUP_#003,いつか「起きる」と分かっていれば、
MID_WU_C_2_WAKEUP_#004,「退屈」はしないさ…
MID_WU_S_1_HELLO_#001,「起きた」か。
MID_WU_S_1_HELLO_#002,さあ、「戦の準備」です。
MID_WU_S_1_HELLO_#003,世界を平和に、「退屈」にして…
MID_WU_S_1_HELLO_#004,俺は一生、あなたと「暇だ」と言って笑い合いたいんだ。
MID_WU_S_1_IN_#001,「来ました」よ、神竜様。入っても「いい」ですよね。
MID_WU_S_1_SOON_#001,「俺」が来たからといって、
MID_WU_S_1_SOON_#002,急いで「目覚め」ないでくれ…
MID_WU_S_1_SOON_#003,パートナーを目覚めさせる時間は、
MID_WU_S_1_SOON_#004,俺の至福なのですから。
MID_WU_S_1_WAKEUP_#001,さて、今日は「起きる」まで何に「興じよう」か。
MID_WU_S_1_WAKEUP_#002,読書や調合もいいが、
MID_WU_S_1_WAKEUP_#003,眠る「パートナー」を眺めているのも、悪くないな。
MID_WU_S_1_WAKEUP_#004,あなたといると、こんな時間すら「特別」になる。
MID_WU_S_1_WAKEUP_#005,退屈だった俺の人生に
MID_WU_S_1_WAKEUP_#006,生きる意味を与えてくれて…ありがとう。
MID_WU_S_2_HELLO_#001,これからもあなたが「目覚める」瞬間を、
MID_WU_S_2_HELLO_#002,何千回も見せてください。
MID_WU_S_2_HELLO_#003,…俺がいつか目覚めなくなるその日まで、ずっと。
MID_WU_S_2_IN_#001,やはり「殺風景」だな…
MID_WU_S_2_IN_#002,だが、あの「ネックレス」が大事に「置いてある」ことは、
MID_WU_S_2_IN_#003,もう知っている。
MID_WU_S_2_SOON_#001,おはよう。
MID_WU_S_2_SOON_#002,随分「意味深」な視線が得意になりましたね。
MID_WU_S_2_SOON_#003,俺に染まってしまったのなら…
MID_WU_S_2_SOON_#004,もう戻れませんよ。
MID_WU_S_2_WAKEUP_#001,相変わらず「深く眠る」のだな。
MID_WU_S_2_WAKEUP_#002,たまに「息をしている」か心配になる。
MID_WU_S_2_WAKEUP_#003,「パートナー」であるあなたは、
MID_WU_S_2_WAKEUP_#004,俺にとって「家族」も同じ。
MID_WU_S_2_WAKEUP_#005,失えば今度こそ、俺は「灰」になる。
MID_WU_S_2_WAKEUP_#006,…大切なんだ。あなたが。
MID_WU_S_2_WAKEUP_#007,もう二度と失うことのないよう…
MID_WU_S_2_WAKEUP_#008,どうか守らせてくれ。
