key,text
MID_RELIANCE_A_#001,"[琉尔] 1 
[莫布] 2 

[琉尔] 
我能跟你一起去帮助居民吗？"
MID_RELIANCE_A_#002,"[莫布] 
您胡说什么呢……"
MID_RELIANCE_A_#003,"[莫布] 
神龙大人您可是军中统帅， 
怎能和我一起行动。"
MID_RELIANCE_A_#004,"[琉尔] 
我不认为这有什么问题。"
MID_RELIANCE_A_#005,"[莫布] 
……您还真是与众不同。"
MID_RELIANCE_A_#006,"[莫布] 
为什么要对我这种人那么好？"
MID_RELIANCE_A_#007,"[琉尔] 
经过这段时间跟你的相处，我察觉到了一件事。 
那就是，我跟你很相似……"
MID_RELIANCE_A_#008,"[莫布] 
我跟神龙大人您相似？ 
怎么可能。"
MID_RELIANCE_A_#009,"[琉尔] 
我跟你一样， 
无法对有困难的人置之不理。"
MID_RELIANCE_A_#010,"[琉尔] 
你之前会与我们为敌，那是情势所迫…… 
仅此而已。"
MID_RELIANCE_A_#011,"[莫布] 
您到底想说什么……"
MID_RELIANCE_A_#012,"[琉尔] 
正因为你很善良， 
才会对自己那么严苛，无法原谅自己。"
MID_RELIANCE_A_#013,"[琉尔] 
莫布你所欠缺的， 
只是一颗信任自己的心吧。"
MID_RELIANCE_A_#014,"[琉尔] 
你要做的， 
不是心怀歉疚地赎罪……"
MID_RELIANCE_A_#015,"[琉尔] 
而是相信伙伴、与他们同在。"
MID_RELIANCE_A_#016,"[莫布] 
…………"
MID_RELIANCE_A_#017,"[琉尔] 
莫布，我想帮助你。 
希望你能相信我。"
MID_RELIANCE_A_#018,"[莫布] 
我无法信任…… 
犯下过错的自己……"
MID_RELIANCE_A_#019,"[莫布] 
不过……和您聊过以后， 
我开始这么想……"
MID_RELIANCE_A_#020,"[莫布] 
神龙大人……是可以信赖的。"
MID_RELIANCE_A_#021,"[琉尔] 
莫布……"
MID_RELIANCE_A_#022,"[莫布] 
您能陪我去帮助居民吗？"
MID_RELIANCE_A_#023,"[琉尔] 
嗯，当然没问题。 
我们一起努力吧。"
MID_RELIANCE_A_#024,"[莫布] 
……我现在的感受有些奇妙， 
总觉得心里暖洋洋的。"
MID_RELIANCE_A_#025,"[琉尔] 
接下来， 
就轮到你把那份温暖带给其他人了哦。"
MID_RELIANCE_A_#026,"[莫布] 
只要有您在我身边， 
我想我应该能做到。"
MID_RELIANCE_A_#027,"[莫布] 
我也得向您道谢……"
MID_RELIANCE_B_#001,"[琉尔] 1 
[莫布] 2 

[琉尔] 
虽然你之前那么说…… 
但我还是认为你是良善之人。"
MID_RELIANCE_B_#002,"[琉尔] 
因为我常看到你在镇上帮助居民。"
MID_RELIANCE_B_#003,"[莫布] 
……如果是那些事，还请您别再说了。 
当初是我自己走错了路。"
