key,text
MID_RELIANCE_A_#001,"[凡德雷] 1 

[札菲亚] 2 

[札菲亚] 
凡德雷先生， 
我把编好的东西带来了。"
MID_RELIANCE_A_#002,"[凡德雷] 
终于完成了啊。"
MID_RELIANCE_A_#003,"[札菲亚] 
我编了个小篮子。 
可以麻烦你帮我看一下吗？"
MID_RELIANCE_A_#004,"[凡德雷] 
嗯…… 
纹路相当整齐美丽。"
MID_RELIANCE_A_#005,"[凡德雷] 
想必阁下是经过了一番努力吧。 
做得好。"
MID_RELIANCE_A_#006,"[札菲亚] 
当我专注在编织上时， 
仿佛进入了冥想的状态……"
MID_RELIANCE_A_#007,"[札菲亚] 
后来我才发现…… 
原来这也是锻炼自己的方法之一。"
MID_RELIANCE_A_#008,"[札菲亚] 
为了感谢你的指导， 
我有一份礼物想送给你。"
MID_RELIANCE_A_#009,"[札菲亚] 
一点心意，还请笑纳……"
MID_RELIANCE_A_#010,"[凡德雷] 
这是手织的围巾啊。"
MID_RELIANCE_A_#011,"[凡德雷] 
没想到不只是篮子， 
阁下连这么难的东西都编出来了呢。"
MID_RELIANCE_A_#012,"[札菲亚] 
因为布罗帝亚的骑士除了求知欲旺盛之外， 
还有着强烈的好胜心啊。"
MID_RELIANCE_A_#013,"[凡德雷] 
原来如此。 
不过……想在编织上赢过我，还早一百年呢。"
MID_RELIANCE_A_#014,"[札菲亚] 
我也不认为自己能轻易赢过你啊。"
MID_RELIANCE_A_#015,"[凡德雷] 
札菲亚女士， 
下次要不要和我一起锻炼呢？"
MID_RELIANCE_A_#016,"[札菲亚] 
锻炼？"
MID_RELIANCE_A_#017,"[凡德雷] 
我觉得互相了解对方的兴趣也不坏。 
下次就换阁下来教我一些锻炼的技巧吧。"
MID_RELIANCE_A_#018,"[札菲亚] 
好，好的！ 
乐意之至！"
MID_RELIANCE_A_#019,"[札菲亚] 
我们就一起互相切磋学习吧！ 
如此一来……我们一定能变得更强！"
MID_RELIANCE_B_#001,"[凡德雷] 1 

[札菲亚] 2 

[凡德雷] 
札菲亚女士， 
穿线的位置错了哦。"
MID_RELIANCE_B_#002,"[札菲亚] 
呜……！真的耶！ 
要穿到这边才对……！"
MID_RELIANCE_B_#003,"[凡德雷] 
慢慢来，这样线会缠在一起哦。"
MID_RELIANCE_B_#004,"[札菲亚] 
好的。 
……啊，已经缠住了。"
MID_RELIANCE_B_#005,"[凡德雷] 
唔……看这样子…… 
只能拆掉编错的部分重来了。"
MID_RELIANCE_B_#006,"[札菲亚] 
又要重来！？ 
凡德雷先生，我不行了……！"
MID_RELIANCE_B_#007,"[凡德雷] 
别说丧气话。 
就算是笨手笨脚的人，多练习也一定会成功。"
MID_RELIANCE_B_#008,"[札菲亚] 
笨手笨脚的还真是对不起啊。"
MID_RELIANCE_B_#009,"[札菲亚] 
反正我就是不适合 
编织这种可爱的兴趣啦。"
MID_RELIANCE_B_#010,"[凡德雷] 
怎么啦？ 
布罗帝亚的骑士都会这样半途而废吗？"
MID_RELIANCE_B_#011,"[凡德雷] 
我还以为你们是坚强的战士呢， 
看来也没什么了不起嘛。"
MID_RELIANCE_B_#012,"[札菲亚] 
…………"
MID_RELIANCE_B_#013,"[札菲亚] 
呵，凡德雷先生是想要用激将法吗？ 
我一听就听出来啦。"
MID_RELIANCE_B_#014,"[札菲亚] 
不过，我也来劲了。 
布罗帝亚骑士的字典里没有放弃二字。"
MID_RELIANCE_B_#015,"[凡德雷] 
那么，这次我就教得详细一点吧。"
MID_RELIANCE_B_#016,"[札菲亚] 
不，不用劳烦你了…… 
接下来让我自己完成吧。"
MID_RELIANCE_B_#017,"[札菲亚] 
我一定会编出让凡德雷先生 
大吃一惊的作品。"
MID_RELIANCE_B_#018,"[凡德雷] 
嗯…… 
那阁下就试试看吧。"
MID_RELIANCE_C_#001,"[凡德雷] 2 

[凡德雷] 
…………"
MID_RELIANCE_C_#002,"[凡德雷] 
呼…… 
还是编织最能让人安心了……"
MID_RELIANCE_C_#003,"[札菲亚] 1 

[札菲亚] 
凡德雷先生……那，那是！？"
MID_RELIANCE_C_#004,"[凡德雷] 
札菲亚女士？"
MID_RELIANCE_C_#005,"[凡德雷] 
别突然大叫啊， 
吓到我都差点编错了呢。"
MID_RELIANCE_C_#006,"[札菲亚] 
抱……抱歉……"
MID_RELIANCE_C_#007,"[札菲亚] 
看到凡德雷先生在编织…… 
让我有些吃惊……"
MID_RELIANCE_C_#008,"[凡德雷] 
唉，这点小事有什么好吃惊的…… 
难道阁下就没有自己的兴趣吗？"
MID_RELIANCE_C_#009,"[札菲亚] 
我只对锻炼感兴趣。 
对骑士来说，其他东西都不重要。"
MID_RELIANCE_C_#010,"[凡德雷] 
看来阁下还嫩得很呢。 
就算是编织的经验……在实战中也能派上用场哦。"
MID_RELIANCE_C_#011,"[札菲亚] 
这话是什么意思？"
MID_RELIANCE_C_#012,"[凡德雷] 
编织需要耐心地重复相同的针法才能完成。"
MID_RELIANCE_C_#013,"[凡德雷] 
若急着编完， 
就编不出漂亮的纹路。"
MID_RELIANCE_C_#014,"[凡德雷] 
换作在战场上， 
也是相同的道理不是吗？"
MID_RELIANCE_C_#015,"[札菲亚] 
原，原来如此。 
你说得也有道理。"
MID_RELIANCE_C_#016,"[凡德雷] 
如何？ 
开始对编织感兴趣了吧？"
MID_RELIANCE_C_#017,"[札菲亚] 
是的。"
MID_RELIANCE_C_#018,"[凡德雷] 
那么，我就来教阁下编织吧。 
相信阁下一定能从中有所收获。"
