key,text
MID_RELIANCE_A_#001,"[阿尔弗雷德] 1 
[艾比] 2 

[艾比] 
阿尔弗雷德王子， 
你知道吗？"
MID_RELIANCE_A_#002,"[阿尔弗雷德] 
知道什么？ 
艾比公主。"
MID_RELIANCE_A_#003,"[艾比] 
第一次是你为迷路的我带路。"
MID_RELIANCE_A_#004,"[艾比] 
第二次，你又教给我能安然入睡的方法。"
MID_RELIANCE_A_#005,"[艾比] 
总之……虽然是不得已， 
但我总是受到你的照顾……"
MID_RELIANCE_A_#006,"[阿尔弗雷德] 
哈哈哈， 
这有什么问题吗？"
MID_RELIANCE_A_#007,"[艾比] 
当然有了……"
MID_RELIANCE_A_#008,"[艾比] 
身为伊尔席翁王国的第一公主…… 
我无法忍受自己只接受帮助而不去回报。"
MID_RELIANCE_A_#009,"[艾比] 
所、所以那个…… 
你有没有什么烦恼呢……？"
MID_RELIANCE_A_#010,"[阿尔弗雷德] 
也就是说， 
这次换公主你来帮助我吗？"
MID_RELIANCE_A_#011,"[艾比] 
这只是…… 
要还你人情罢了。"
MID_RELIANCE_A_#012,"[阿尔弗雷德] 
谢谢你的好意， 
但我现在并没有什么烦恼。"
MID_RELIANCE_A_#013,"[艾比] 
什、什么嘛…… 
你这是不屑于我的帮助吗？"
MID_RELIANCE_A_#014,"[艾比] 
我不能接受…… 
你快点想出个什么困扰啦。"
MID_RELIANCE_A_#015,"[阿尔弗雷德] 
呵呵， 
你这话倒是令我挺困扰的呢。"
MID_RELIANCE_A_#016,"[阿尔弗雷德] 
不过，才那么点小事， 
你不需要特别还我人情的。"
MID_RELIANCE_A_#017,"[阿尔弗雷德] 
毕竟我们是伙伴嘛。"
MID_RELIANCE_A_#018,"[艾比] 
什么……"
MID_RELIANCE_A_#019,"[阿尔弗雷德] 
对有困难的伙伴伸出援手是理所当然的， 
我们已经不是那种……需要还人情的关系了。"
MID_RELIANCE_A_#020,"[艾比] 
…………"
MID_RELIANCE_A_#021,"[艾比] 
你真的是…… 
很容易就相信人呢……"
MID_RELIANCE_A_#022,"[艾比] 
你啊……真是天真。"
MID_RELIANCE_A_#023,"[阿尔弗雷德] 
也许吧， 
但我不认为这有什么不好的。"
MID_RELIANCE_A_#024,"[艾比] 
…………"
MID_RELIANCE_A_#025,"[艾比] 
真拿你没办法…… 
我看我也跟你学习学习吧。"
MID_RELIANCE_A_#026,"[艾比] 
我会……相信你。"
MID_RELIANCE_A_#027,"[阿尔弗雷德] 
谢谢你，艾比公主， 
我很高兴哦。"
MID_RELIANCE_A_#028,"[艾比] 
我也是…… 
很高兴能相信的人增加了。"
MID_RELIANCE_A_#029,"[艾比] 
将来……我成为女王后…… 
若能全心信任你这个国王……那真是种救赎。"
MID_RELIANCE_A_#030,"[艾比] 
阿尔弗雷德王子……谢谢你。"
MID_RELIANCE_B_#001,"[艾比] 2 

[艾比] 
…………"
MID_RELIANCE_B_#002,"[阿尔弗雷德] 1 
[阿尔弗雷德] 
艾比公主， 
我很容易在夜里遇到你呢。"
MID_RELIANCE_B_#003,"[艾比] 
阿尔弗雷德王子， 
这个时间你不是应该已经睡了吗？"
MID_RELIANCE_B_#004,"[阿尔弗雷德] 
我今天起得比较早。"
MID_RELIANCE_B_#005,"[艾比] 
呵呵， 
现在可还称不上是早晨哦。"
MID_RELIANCE_B_#006,"[阿尔弗雷德] 
艾比公主你又怎么会在这里呢？"
MID_RELIANCE_B_#007,"[艾比] 
我是……那个……睡不着。"
MID_RELIANCE_B_#008,"[阿尔弗雷德] 
你待在这样明亮的地方， 
反而会更睡不着吧？"
MID_RELIANCE_B_#009,"[艾比] 
没、没关系， 
我现在就想待在这里。"
MID_RELIANCE_B_#010,"[阿尔弗雷德] 
…………"
MID_RELIANCE_B_#011,"[阿尔弗雷德] 
今晚的风真大。"
MID_RELIANCE_B_#012,"[阿尔弗雷德] 
风声有时候就像是野兽的咆哮， 
有时候又像是人的絮语呢。"
MID_RELIANCE_B_#013,"[艾比] 
你、你突然间说什么……"
MID_RELIANCE_B_#014,"[阿尔弗雷德] 
艾比公主， 
你是不是害怕一个人睡觉？"
MID_RELIANCE_B_#015,"[艾比] 
什么！？ 
你、你真失礼……！"
MID_RELIANCE_B_#016,"[阿尔弗雷德] 
我懂的。"
MID_RELIANCE_B_#017,"[阿尔弗雷德] 
我小时候也曾因为害怕风声， 
缩在被子里熬到天亮来着。"
MID_RELIANCE_B_#018,"[艾比] 
我、我可不是小孩子了……！"
MID_RELIANCE_B_#019,"[阿尔弗雷德] 
睡不着时就想些快乐的事吧， 
那样就会在不知不觉间睡着了。"
MID_RELIANCE_B_#020,"[阿尔弗雷德] 
自从母后教了我这个方法之后， 
我就再也没有因为害怕而熬夜到天亮了。"
MID_RELIANCE_B_#021,"[艾比] 
…………"
MID_RELIANCE_B_#022,"[艾比] 
我也该回房了， 
熬夜有碍健康。"
MID_RELIANCE_B_#023,"[阿尔弗雷德] 
嗯， 
希望这次你能睡个好觉。"
MID_RELIANCE_B_#024,"[艾比] 
……谢谢你。"
MID_RELIANCE_C_#001,"[艾比] 2 

[艾比] 
…………"
MID_RELIANCE_C_#002,"[阿尔弗雷德] 1 
[阿尔弗雷德] 
艾比公主， 
这么晚了你在做什么？"
MID_RELIANCE_C_#003,"[艾比] 
阿尔弗雷德王子……"
MID_RELIANCE_C_#004,"[艾比] 
呵呵……我这个伊尔席翁王国的人在深夜独自游荡， 
看起来果然很可疑吧……"
MID_RELIANCE_C_#005,"[艾比] 
不过，你放心…… 
我没有要挑唆背叛的意思。"
MID_RELIANCE_C_#006,"[艾比] 
不过…… 
大概没人会相信我吧。"
MID_RELIANCE_C_#007,"[阿尔弗雷德] 
我可没有那么怀疑你哦， 
现在我还是倾向于相信你的。"
MID_RELIANCE_C_#008,"[艾比] 
……是吗？ 
那你这费列聂王国的第一王子还挺天真的。"
MID_RELIANCE_C_#009,"[阿尔弗雷德] 
如果相信他人就是天真， 
那我坦然接受这个评价。"
MID_RELIANCE_C_#010,"[艾比] 
……所以呢，你还有什么事吗？"
MID_RELIANCE_C_#011,"[艾比] 
如果你没有对我起疑心， 
那么应该早就离开这里了。"
MID_RELIANCE_C_#012,"[阿尔弗雷德] 
那可不行。"
MID_RELIANCE_C_#013,"[艾比] 
为什么…… 
我想知道理由。"
