key,text
MID_RELIANCE_A_#001,"[リュール] 1 
[クロエ] 2 

[リュール] 
クロエは御伽噺のような生き方に 
憧れているんですよね。"
MID_RELIANCE_A_#002,"[クロエ] 
はい。 
子供の頃からずっと。"
MID_RELIANCE_A_#003,"[クロエ] 
わたしは貴族の生まれで…ずっと、 
両親に決められた人生を歩んでいましたから。"
MID_RELIANCE_A_#004,"[クロエ] 
女の子として、平凡に生き、結婚し… 
相手の家のために尽くすよう教育をされました。"
MID_RELIANCE_A_#005,"[クロエ] 
大好きな市井の食べ物だって、 
口にすることは許されなかったんですよ。"
MID_RELIANCE_A_#006,"[クロエ] 
親の思う平凡な貴族としての人生なんて、 
わたしは大嫌いでした。"
MID_RELIANCE_A_#007,"[リュール] 
クロエ…"
MID_RELIANCE_A_#008,"[クロエ] 
だから…常に自由で、新しくて、胸が高鳴るような、 
そんな生き方に憧れていたんです。"
MID_RELIANCE_A_#009,"[リュール] 
そうだったんですね。 
私はクロエの過去を知らずに…すみません。"
MID_RELIANCE_A_#010,"[クロエ] 
謝らないでください。もう過去のこと。 
騎士になって、その夢は叶ったんです。"
MID_RELIANCE_A_#011,"[クロエ] 
セリーヌ様や、神竜様と出会ったことで、 
夢に描いていたような生き方ができています。"
MID_RELIANCE_A_#012,"[クロエ] 
神竜様や王族の方たちと共に戦うなんて 
御伽噺の冒険譚よりもすごいと思いませんか？"
MID_RELIANCE_A_#013,"[リュール] 
そう言われるとそうかもしれませんね。"
MID_RELIANCE_A_#014,"[クロエ] 
今のこの戦いもいつの日か、 
御伽噺として語り継がれるんでしょうか。"
MID_RELIANCE_A_#015,"[リュール] 
その可能性はありますね。 
そうなると…"
MID_RELIANCE_A_#016,"[リュール] 
クロエが御伽噺の登場人物として描かれる日も 
そう遠くないかもしれません。"
MID_RELIANCE_A_#017,"[クロエ] 
え！？　そ、それは… 
照れてしまいますが、嬉しいですね。"
MID_RELIANCE_A_#018,"[クロエ] 
御伽噺を聞いた子供たちが憧れるような、 
立派な騎士にならないと。"
MID_RELIANCE_A_#019,"[リュール] 
クロエなら絶対に大丈夫ですよ。 
私が保証します。"
MID_RELIANCE_A_#020,"[クロエ] 
ふふふ。 
ありがとうございます、神竜様。"
MID_RELIANCE_B_#001,"[リュール] 1 
[クロエ] 2 
[クロエ] 
千年もの間、眠り続け…"
MID_RELIANCE_B_#002,"[クロエ] 
目覚めた後、 
仲間と共に邪悪な者たちとの戦いへ…"
MID_RELIANCE_B_#003,"[クロエ] 
神竜様はまごうことなき 
御伽噺の登場人物そのものです。"
MID_RELIANCE_B_#004,"[リュール] 
そ、そうなのでしょうか。"
MID_RELIANCE_B_#005,"[クロエ] 
はい。 
神竜様ほど特別な人はそうそういません。"
