key,text
MID_RELIANCE_A_#001,"[琉尔] 1 

[波聂] 2 
[波聂] 
神龙大人…… 
前阵子对您那么失礼，真的很抱歉。"
MID_RELIANCE_A_#002,"[琉尔] 
不用在意，多亏你提醒， 
我才能及时换下脏衣服。"
MID_RELIANCE_A_#003,"[波聂] 
您那时所说的话…… 
在料理之道中比味道更重要的事物……"
MID_RELIANCE_A_#004,"[波聂] 
为了搞清楚您所指的究竟是什么， 
我之后便日夜埋头于修行。"
MID_RELIANCE_A_#005,"[琉尔] 
竟然为了这事修行？！"
MID_RELIANCE_A_#006,"[波聂] 
是的…… 
我连日在厨房闭关，不停地做着料理……"
MID_RELIANCE_A_#007,"[波聂] 
朝思暮想着…… 
神龙大人您那件衣服……"
MID_RELIANCE_A_#008,"[琉尔] 
……当时是不是应该豁出去， 
让你舔一口比较好？"
MID_RELIANCE_A_#009,"[波聂] 
但我始终没能找到答案…… 
就在那时，我心中浮现出一个想法……"
MID_RELIANCE_A_#010,"[波聂] 
与其钻牛角尖……不如全心只想着 
让神龙大人您品尝美味的料理就好……"
MID_RELIANCE_A_#011,"[波聂] 
结果做出来的料理竟然 
美味得惊为天人。"
MID_RELIANCE_A_#012,"[波聂] 
比认识味道更重要的事…… 
我想就是……对用餐之人的心意吧。"
MID_RELIANCE_A_#013,"[琉尔] 
嗯！波聂，你说得没错。 
我就是这个意思。"
MID_RELIANCE_A_#014,"[琉尔] 
如果采用不恰当的手段，就算知晓各种味道， 
做出来的料理也不会好吃。"
MID_RELIANCE_A_#015,"[波聂] 
神龙大人，我感到十分抱歉…… 
让您有了不愉快的回忆。"
MID_RELIANCE_A_#016,"[琉尔] 
别这么说，我才该说对不起， 
身为外行人竟然大言不惭地对你说教。"
MID_RELIANCE_A_#017,"[琉尔] 
波聂，你的修行有了好成果， 
我想你一定可以成为世界第一的厨师。"
MID_RELIANCE_A_#018,"[波聂] 
谢谢您……"
MID_RELIANCE_A_#019,"[波聂] 
其实我准备了当时做出来的料理， 
您不介意的话，要不要品尝看看？"
MID_RELIANCE_A_#020,"[琉尔] 
当然要了！ 
会是什么样的味道呢，好期待啊！"
MID_RELIANCE_B_#001,"[琉尔] 1 

[波聂] 2 
[波聂] 
嗯……这股香味……"
MID_RELIANCE_B_#002,"[琉尔] 
怎么了吗？"
MID_RELIANCE_B_#003,"[波聂] 
神龙大人，您身上散发着 
我从未闻过的食物香味……"
MID_RELIANCE_B_#004,"[琉尔] 
啊，刚才吃午饭时， 
不小心沾到衣服上了。"
MID_RELIANCE_B_#005,"[琉尔] 
本以为只有一点点应该没关系的…… 
不好意思，我这就去换衣服。"
MID_RELIANCE_B_#006,"[波聂] 
不，不用换……请再靠近我一些。 
我想好好闻闻您衣服上的香味……"
MID_RELIANCE_B_#007,"[琉尔] 
啊？！"
MID_RELIANCE_B_#008,"[波聂] 
啊……这股香味…… 
肯定是我所不知道的料理。"
MID_RELIANCE_B_#009,"[波聂] 
方便的话，能让我舔舔看吗？ 
这样我才能认识那道菜的味道……"
MID_RELIANCE_B_#010,"[琉尔] 
舔、舔什么？！舔衣服吗？！ 
这未免太……！"
MID_RELIANCE_B_#011,"[琉尔] 
对了！如果你好奇菜的味道， 
我们可以去问今天负责下厨的人。"
MID_RELIANCE_B_#012,"[波聂] 
我等不及了…… 
我的厨师之魂……现在立刻就想知道！"
MID_RELIANCE_B_#013,"[琉尔] 
什么……"
MID_RELIANCE_B_#014,"[波聂] 
我从小在食物的环绕下长大…… 
一心只有料理，磨炼厨艺至今……"
MID_RELIANCE_B_#015,"[波聂] 
我想在厨师一道上登峰造极…… 
神龙大人，您不也说过很期待我创造的料理吗……"
MID_RELIANCE_B_#016,"[琉尔] 
我是说过没错， 
但这跟舔衣服上的食物是两回事吧！"
MID_RELIANCE_B_#017,"[琉尔] 
波聂，我认为求知欲旺盛是很好， 
但是……不能因此就做出一些出格的行为。"
MID_RELIANCE_B_#018,"[琉尔] 
我认为从事厨师这行， 
有比认识味道更重要的事。"
MID_RELIANCE_B_#019,"[波聂] 
比认识味道更重要的事……？"
MID_RELIANCE_B_#020,"[琉尔] 
那我去换衣服了哦！ 
再见！"
MID_RELIANCE_B_#021,"[波聂] 
神龙大人刚才说的话…… 
是什么意思呢……"
MID_RELIANCE_C_#001,"[琉尔] 1 

[波聂] 2 
[波聂] 
神龙大人的眼眸…… 
就像番茄一样鲜艳……"
MID_RELIANCE_C_#002,"[波聂] 
啊…… 
另一边则像是青涩的蓝莓……"
MID_RELIANCE_C_#003,"[琉尔] 
……这是在夸我吗？"
MID_RELIANCE_C_#004,"[波聂] 
当然。"
MID_RELIANCE_C_#005,"[波聂] 
番茄也好，蓝莓也好， 
都是大自然孕育的珍宝……"
MID_RELIANCE_C_#006,"[波聂] 
我身为厨师，接触过世界各国的料理…… 
因此习惯用食材来比喻所见所闻。"
MID_RELIANCE_C_#007,"[波聂] 
啊……多么令人垂涎的色泽……"
MID_RELIANCE_C_#008,"[琉尔] 
精通料理和食材的你，如此夸赞我的眼睛， 
这一定是件值得自豪的事吧。"
MID_RELIANCE_C_#009,"[琉尔] 
谢谢。"
MID_RELIANCE_C_#010,"[波聂] 
您别客气。"
MID_RELIANCE_C_#011,"[波聂] 
能欣赏到如番茄和蓝莓般娇艳欲滴的眼眸…… 
我才要感谢您才对。"
MID_RELIANCE_C_#012,"[琉尔] 
波聂你可真不简单， 
竟能熟知世界各国的料理。"
MID_RELIANCE_C_#013,"[波聂] 
这世上…… 
还有许多我从未尝过的味道。"
MID_RELIANCE_C_#014,"[波聂] 
总有一天，我要尝遍世上所有的味道， 
然后创造出前所未有的全新料理……"
MID_RELIANCE_C_#015,"[琉尔] 
你会创造出什么样的料理呢…… 
我真的很期待。"
MID_RELIANCE_C_#016,"[波聂] 
为了做出美食，我什么都愿意做。 
这是我身为厨师的意义……"
MID_RELIANCE_S_#001,"[琉尔] 1 

[波聂] 2 
[波聂] 
神龙大人……我完成了新的菜品。"
MID_RELIANCE_S_#002,"[波聂] 
请您务必尝尝看， 
让我听听您的感想……"
MID_RELIANCE_S_#003,"[琉尔] 
色泽非常漂亮， 
看起来就很美味。"
MID_RELIANCE_S_#004,"[波聂] 
这些点缀的番茄和蓝莓， 
是从您美丽的瞳色所得到的灵感……"
MID_RELIANCE_S_#005,"[波聂] 
请慢用。"
MID_RELIANCE_S_#006,"[琉尔] 
那我开动了。"
MID_RELIANCE_S_#007,"[琉尔] 
唔……！"
MID_RELIANCE_S_#008,"[琉尔] 
这、这……！真好吃！ 
比我吃过的任何一道菜都好吃……！"
MID_RELIANCE_S_#009,"[波聂] 
这是我为神龙大人您精心制作的料理…… 
合您的胃口，我很荣幸。"
MID_RELIANCE_S_#010,"[波聂] 
只要心中想着您，我就能做出美味的料理， 
请允许我今后在下厨的同时继续念着您吧……"
MID_RELIANCE_S_#011,"[波聂] 
……可以的话，我希望是一辈子。"
MID_RELIANCE_S_#012,"[琉尔] 
你的意思是……"
MID_RELIANCE_S_#013,"[波聂] 
神龙大人…… 
我想成为您的搭档。"
MID_RELIANCE_S_#014,"[波聂] 
……我下定决心， 
如果您满意这道料理，就对您说这些话……"
MID_RELIANCE_S_#015,"[波聂] 
但是，如果让您感到困扰……我会将这道料理 
收藏在回忆里，像往常一样做回大家的厨师……"
MID_RELIANCE_S_#016,"[琉尔] 
…………"
MID_RELIANCE_S_#017,"[琉尔] 
……那可不行， 
我希望你之后也能为我做出美味佳肴。"
MID_RELIANCE_S_#018,"[琉尔] 
不……就算你不做菜， 
我也希望你陪在我身边。"
MID_RELIANCE_S_#019,"[琉尔] 
波聂，请收下这枚“约定戒指”。"
MID_RELIANCE_S_#020,"[波聂] 
天啊……！谢谢您。 
啊……这戒指跟您一样美丽……"
MID_RELIANCE_S_#021,"[琉尔] 
从今往后，你不只要认识料理， 
还要更加认识我哦。"
MID_RELIANCE_S_#022,"[波聂] 
那是当然， 
神龙 大人……"
MID_RELIANCE_S_#023,"[波聂] 
谢谢您……让我尝到如此幸福甜蜜的滋味。 
有您添色的日子会是什么样的味道呢，我很期待……"
