key,text
MID_RELIANCE_A_#001,"[Zelkov] 1 
[Anna] 2 

[Zelkov] 
Steel yourself. You are about to witness a 
*simple* design honed by artistic prowess."
MID_RELIANCE_A_#002,"[Zelkov] 
Well? What is your opinion of this sculpture? 
Is it up to your *standards* of quality?"
MID_RELIANCE_A_#003,"[Anna] 
Ehh..."
MID_RELIANCE_A_#004,"[Anna] 
I was hoping for better."
MID_RELIANCE_A_#005,"[Zelkov] 
What brings you to say this *hurtful* thing?"
MID_RELIANCE_A_#006,"[Anna] 
I know I said it has to be much simpler if you 
want it to sell."
MID_RELIANCE_A_#007,"[Anna] 
But you're an artist! I wasn't expecting you to 
cave so easily."
MID_RELIANCE_A_#008,"[Anna] 
After you went on and on about passion, I kinda 
hoped you'd refuse to budge on that."
MID_RELIANCE_A_#009,"[Zelkov] 
Heh-heh. You are quite *mistaken.* In fact, 
you could not be more wrong."
MID_RELIANCE_A_#010,"[Anna] 
Huh? But..."
MID_RELIANCE_A_#011,"[Zelkov] 
The *appearance* of simplicity in this sculpture 
is but a carefully crafted facade."
MID_RELIANCE_A_#012,"[Zelkov] 
Its design is *actually* beautifully intricate."
MID_RELIANCE_A_#013,"[Anna] 
Run that by me again?"
MID_RELIANCE_A_#014,"[Zelkov] 
I began by crafting a sculpture which contained 
every layer of *intricacy* I could ever desire."
MID_RELIANCE_A_#015,"[Zelkov] 
That done, I added atop these yet another 
layer...to *obscure* how intricate it was."
MID_RELIANCE_A_#016,"[Zelkov] 
The result is my most *complex* work to date. 
One that, at a glance, appears utterly simple."
MID_RELIANCE_A_#017,"[Zelkov] 
You may now stand in *awe* of its glory."
MID_RELIANCE_A_#018,"[Anna] 
I had no idea. That's amazing...almost too 
amazing, if you ask me. It makes no sense!"
MID_RELIANCE_A_#019,"[Anna] 
But─and I hate to say so─this won't sell either."
MID_RELIANCE_A_#020,"[Zelkov] 
What? Why not?"
MID_RELIANCE_A_#021,"[Anna] 
You can't guess? It's way too intricate. I'd go 
broke trying to manufacture them!"
MID_RELIANCE_A_#022,"[Anna] 
Plus, high production costs mean high prices, 
and customers tend not to like those."
MID_RELIANCE_A_#023,"[Zelkov] 
Ugh, I *suppose* you have a point."
MID_RELIANCE_A_#024,"[Anna] 
But I'll buy it from you anyway."
MID_RELIANCE_A_#025,"[Zelkov] 
You will?"
MID_RELIANCE_A_#026,"[Anna] 
I was really impressed by the way you think."
MID_RELIANCE_A_#027,"[Anna] 
I never thought much about passion, but it's 
incredibly important for a merchant."
MID_RELIANCE_A_#028,"[Anna] 
Without it, how could I hope to make it as an 
independent entrepreneur?"
MID_RELIANCE_A_#029,"[Anna] 
So I want to buy this from you and keep it close 
at hand. That way I won't forget this feeling."
MID_RELIANCE_A_#030,"[Zelkov] 
Anna..."
MID_RELIANCE_A_#031,"[Anna] 
Lady Anna."
MID_RELIANCE_A_#032,"[Zelkov] 
Lady Anna..."
MID_RELIANCE_A_#033,"[Anna] 
Haha, that's better. Mind you, I can't pay much 
for it. One gold's my best offer."
MID_RELIANCE_A_#034,"[Zelkov] 
So *little*..."
MID_RELIANCE_A_#035,"[Zelkov] 
But I *suppose* it is not a matter of gold."
MID_RELIANCE_A_#036,"[Zelkov] 
If this transaction will benefit you, Lady Anna, 
then it is a *meaningful* one to me."
MID_RELIANCE_A_#037,"[Zelkov] 
Best of luck to you, young merchant. I earnestly 
*hope* for your great success."
MID_RELIANCE_A_#038,"[Anna] 
Aww, thanks! You know, you're a much nicer 
guy than you came off to be at first."
MID_RELIANCE_A_#039,"[Anna] 
Do you want to share some sweets? I've got 
a private stock of some really great ones."
MID_RELIANCE_A_#040,"[Zelkov] 
I will happily partake."
MID_RELIANCE_B_#001,"[Zelkov] 1 
[Anna] 2"
MID_RELIANCE_B_#002,"[Anna] 
This is your stash of good stuff, huh?"
MID_RELIANCE_B_#003,"[Zelkov] 
Indeed. Behold my various *creations.* 
Paintings, sculptures, candles... I *have* it all."
MID_RELIANCE_B_#004,"[Zelkov] 
Each piece has been lovingly *crafted* by yours 
truly. Help yourself to anything you like."
MID_RELIANCE_B_#005,"[Zelkov] 
Certainly any item contained on these shelves 
would fetch you a *tidy* profit."
MID_RELIANCE_B_#006,"[Anna] 
Ehh..."
