key,text
MID_RELIANCE_A_#001,"[Céline] 1 

[Fogado] 2 

[Céline] 
Do you ever get the sense that you and I are 
quite similar?"
MID_RELIANCE_A_#002,"[Fogado] 
I was just thinking that."
MID_RELIANCE_A_#003,"[Fogado] 
We look and act completely different, and yet 
for some reason, we understand each other."
MID_RELIANCE_A_#004,"[Céline] 
Yes, I know precisely what you mean."
MID_RELIANCE_A_#005,"[Fogado] 
I guess it makes sense if you think about it. 
We are in similar situations."
MID_RELIANCE_A_#006,"[Fogado] 
Each of us is second in line to the throne. 
The sovereigns' siblings."
MID_RELIANCE_A_#007,"[Céline] 
Indeed."
MID_RELIANCE_A_#008,"[Céline] 
Ever since childhood, I have endeavored to 
grow into a role where I might support the king."
MID_RELIANCE_A_#009,"[Fogado] 
Same here. I've spent my whole life thinking of 
ways to help my sister."
MID_RELIANCE_A_#010,"[Fogado] 
That meant becoming stronger than she was. 
Training harder than she did."
MID_RELIANCE_A_#011,"[Fogado] 
Leaving the palace to resolve conflicts around 
the queendom."
MID_RELIANCE_A_#012,"[Céline] 
I suspected as much."
MID_RELIANCE_A_#013,"[Céline] 
Likewise, I honed my swordsmanship and 
magical prowess to support my sickly brother."
MID_RELIANCE_A_#014,"[Céline] 
But wouldn't you know it! Just when I thought 
I'd strengthened myself enough..."
MID_RELIANCE_A_#015,"[Céline] 
my brother seemed to make a full recovery."
MID_RELIANCE_A_#016,"[Fogado] 
Haha, and you didn't know whether to cheer 
or break down sobbing."
MID_RELIANCE_A_#017,"[Fogado] 
We really are alike."
MID_RELIANCE_A_#018,"[Céline] 
We both dearly love our siblings, as we love 
our nations."
MID_RELIANCE_A_#019,"[Fogado] 
And to protect what we love...we'd be willing to 
do the unthinkable."
MID_RELIANCE_A_#020,"[Céline] 
Precisely. Neither of us would hesitate to 
employ less-than-peaceful means."
MID_RELIANCE_A_#021,"[Fogado] 
Heh heh..."
MID_RELIANCE_A_#022,"[Céline] 
..."
