key,text
MID_RELIANCE_A_#001,"[琉尔] 1 

[布修隆] 2 

[布修隆] 
神龙大人，前阵子真的很对不起……！"
MID_RELIANCE_A_#002,"[布修隆] 
都怪我是个路痴， 
给您添了这么多麻烦……！"
MID_RELIANCE_A_#003,"[琉尔] 
你不用道歉，反正我们最后平安回来了， 
而且我觉得很开心。"
MID_RELIANCE_A_#004,"[布修隆] 
那真是太好了……！"
MID_RELIANCE_A_#005,"[琉尔] 
那么，今天你要教我什么方法 
来纾解压力呢？"
MID_RELIANCE_A_#006,"[布修隆] 
今天来看书吧。 
看一本触动心弦的好书，把压力统统赶走。"
MID_RELIANCE_A_#007,"[布修隆] 
请您读读看这本书， 
是费列聂王国的杰作《费列聂之爱》。"
MID_RELIANCE_A_#008,"[琉尔] 
……这本书……湿哒哒又皱巴巴的呢。"
MID_RELIANCE_A_#009,"[布修隆] 
啊，抱歉，那是我的眼泪。"
MID_RELIANCE_A_#010,"[琉尔] 
眼泪？！"
MID_RELIANCE_A_#011,"[布修隆] 
我一感动就会哭， 
所以……呜……！"
MID_RELIANCE_A_#012,"[布修隆] 
非常抱歉…… 
我光是看到封面就很想哭……"
MID_RELIANCE_A_#013,"[琉尔] 
这样就哭了？！"
MID_RELIANCE_A_#014,"[布修隆] 
请您别顾虑我，快读读看吧…… 
那真的是本好书……"
MID_RELIANCE_A_#015,"[琉尔] 
我、我知道了……这就看……"
MID_RELIANCE_A_#016,"[布修隆] 
呜呜！光是看到目录， 
就让我哽咽不已……！"
MID_RELIANCE_A_#017,"[琉尔] 
什么？！"
MID_RELIANCE_A_#018,"[布修隆] 
对不起……我……很碍事吧…… 
我到别处去……"
MID_RELIANCE_A_#019,"[琉尔] 
没关系，你可以继续待在这， 
我不介意你哭……"
MID_RELIANCE_A_#020,"[琉尔] 
而且你哭着跑去别的地方， 
会让大家担心的。"
MID_RELIANCE_A_#021,"[布修隆] 
呜呜……神龙大人，您真体贴……！ 
呜呜……您现在翻开的这页又让我想哭了……！"
MID_RELIANCE_A_#022,"[琉尔] 
……我能顺利看完这本书吗……"
MID_RELIANCE_B_#001,"[琉尔] 1 

[布修隆] 2"
MID_RELIANCE_B_#002,"[布修隆] 
神龙大人， 
您还满意这深山之中吗？"
MID_RELIANCE_B_#003,"[琉尔] 
好幽静的地方啊。"
MID_RELIANCE_B_#004,"[琉尔] 
光是站在这里， 
平时的烦恼都烟消云散了。"
MID_RELIANCE_B_#005,"[布修隆] 
很高兴您能喜欢。"
