key,text
MID_RELIANCE_A_#001,"[杰尔科巴] 1 
[尤娜卡] 2 
[尤娜卡] 
杰尔科巴氏……您有空吗？ 
我们来聊聊以前的工作吧。"
MID_RELIANCE_A_#002,"[杰尔科巴] 
怎么了？ 
你不是“不愿意”谈“这段往事”吗？"
MID_RELIANCE_A_#003,"[尤娜卡] 
之前的确是不愿意……"
MID_RELIANCE_A_#004,"[尤娜卡] 
人家一直不敢提起这些往事…… 
怕自己会因此陷入过去的泥淖。"
MID_RELIANCE_A_#005,"[尤娜卡] 
不过……和杰尔科巴氏聊过后， 
人家反而觉得渐渐能够放下过去。"
MID_RELIANCE_A_#006,"[杰尔科巴] 
什么？"
MID_RELIANCE_A_#007,"[尤娜卡] 
或许是因为我们曾经是同行， 
所以能够毫无保留地吐露心声吧。"
MID_RELIANCE_A_#008,"[杰尔科巴] 
原来是“这么回事”…… 
那么，你想“聊”什么？"
MID_RELIANCE_A_#009,"[杰尔科巴] 
以杀人为“业”的理由…… 
嗯，还是别提了吧。"
MID_RELIANCE_A_#010,"[杰尔科巴] 
感觉只会让气氛变得更“沉重”。"
MID_RELIANCE_A_#011,"[尤娜卡] 
是啊， 
那段日子简直就像是在地狱呢。"
MID_RELIANCE_A_#012,"[杰尔科巴] 
我也差不多。虽然现在也很“辛苦”， 
但跟当时的“地狱”相比可说是小巫见大巫啊。"
MID_RELIANCE_A_#013,"[杰尔科巴] 
尤娜卡，你是“逼不得已” 
才成为“杀手”的吧？"
MID_RELIANCE_A_#014,"[尤娜卡] 
您怎么会知道？"
MID_RELIANCE_A_#015,"[杰尔科巴] 
我看一眼就“明白”了。 
若是如此……那你就不必“懊悔”。"
MID_RELIANCE_A_#016,"[杰尔科巴] 
你之所以会那么做是身不由己， 
谁都没有资格责备你。"
MID_RELIANCE_A_#017,"[尤娜卡] 
什么……！？"
MID_RELIANCE_A_#018,"[杰尔科巴] 
况且，没有“过去的你” 
就不会有“现在的你”。"
MID_RELIANCE_A_#019,"[杰尔科巴] 
过去的经验会成为“养分”， 
让“现在的你”变得更加茁壮。"
MID_RELIANCE_A_#020,"[尤娜卡] 
…………"
MID_RELIANCE_A_#021,"[尤娜卡] 
杰尔科巴氏…… 
您的话果然格外引人共鸣呢。"
MID_RELIANCE_A_#022,"[尤娜卡] 
没想到同行的一句话， 
竟会令人感到如此安心……"
MID_RELIANCE_A_#023,"[杰尔科巴] 
你太夸张了， 
不过都是些老生常谈。"
MID_RELIANCE_A_#024,"[尤娜卡] 
杰尔科巴氏…… 
人家有一个梦想。"
MID_RELIANCE_A_#025,"[尤娜卡] 
等到世界恢复和平后， 
人家想要找块地悠闲地度日……"
MID_RELIANCE_A_#026,"[杰尔科巴] 
听起来“不错”啊。"
MID_RELIANCE_A_#027,"[尤娜卡] 
然后…… 
人家想邀请杰尔科巴氏来坐坐。"
MID_RELIANCE_A_#028,"[杰尔科巴] 
我很“乐意”哦， 
到时候再来聊聊我们的“秘密”吧。"
MID_RELIANCE_A_#029,"[尤娜卡] 
好！ 
真期待那一天的到来。"
MID_RELIANCE_A_#030,"[杰尔科巴] 
“我也一样”。为了实现这个梦想， 
我们“现在”可得努力奋战才行呢。"
MID_RELIANCE_A_#031,"[尤娜卡] 
是啊，那就一言为定喽。 
让我们这对共享过去与未来的好伙伴并肩作战吧。"
MID_RELIANCE_B_#001,"[杰尔科巴] 1 
[尤娜卡] 2 

[杰尔科巴] 
尤娜卡，“之前”跟你聊到的事情……"
MID_RELIANCE_B_#002,"[尤娜卡] 
人家已经说过…… 
不想再提自己的过去了。"
MID_RELIANCE_B_#003,"[杰尔科巴] 
我知道， 
但是我想问你“一件事”。"
MID_RELIANCE_B_#004,"[杰尔科巴] 
“你”说我的身上有一股 
非比“寻常”的“杀气”……"
MID_RELIANCE_B_#005,"[杰尔科巴] 
你为什么会那样想？"
MID_RELIANCE_B_#006,"[尤娜卡] 
…………"
MID_RELIANCE_B_#007,"[杰尔科巴] 
拜托了，我想了解“别人眼中的自己”。 
也算是为了能够在今后保住自己的“命”。"
MID_RELIANCE_B_#008,"[尤娜卡] 
……好吧，人家就告诉您。"
MID_RELIANCE_B_#009,"[尤娜卡] 
人家之所以会觉得杰尔科巴氏有杀气…… 
是因为您的所作所为都像是为了暗杀。"
MID_RELIANCE_B_#010,"[杰尔科巴] 
“所作所为”？"
MID_RELIANCE_B_#011,"[尤娜卡] 
比方说您那异常冰冷， 
不带一丝感情的眼神……"
MID_RELIANCE_B_#012,"[尤娜卡] 
仿佛就像是在衡量人命的价值， 
正常人是不会这样看人的。"
MID_RELIANCE_B_#013,"[尤娜卡] 
您一定是在冷静地分析对手…… 
思考着最有效率的暗杀手法……"
MID_RELIANCE_B_#014,"[杰尔科巴] 
我没有“那么想”……"
MID_RELIANCE_B_#015,"[尤娜卡] 
不用辩解了， 
现在您的眼神就是这种感觉。"
MID_RELIANCE_B_#016,"[尤娜卡] 
您的心里正盘算着要是人家出手， 
自己该如何回避，如何反击……"
MID_RELIANCE_B_#017,"[尤娜卡] 
随时都要让自己处于优势。 
如何，人家说得没错吧？"
MID_RELIANCE_B_#018,"[杰尔科巴] 
…………"
MID_RELIANCE_B_#019,"[尤娜卡] 
人家指的杀气，就是这个意思。 
一般人才不会散发出这种气息呢。"
MID_RELIANCE_B_#020,"[杰尔科巴] 
没想到你观察得这么“彻底”。"
MID_RELIANCE_B_#021,"[尤娜卡] 
那当然，人家以前可是您的同行啊。"
MID_RELIANCE_B_#022,"[杰尔科巴] 
谢谢你的宝贵“建议”。 
我会参考这些“话”，好好审视自己一番。"
