key,text
MID_GR_Alfred_A_#001,"[阿尔弗雷德] 1 
[赛莉卡] 2 
[赛莉卡] 
哎呀，阿尔弗雷德？ 
你不是去参加作战会议了吗？"
MID_GR_Alfred_A_#002,"[阿尔弗雷德] 
就是那个会开得不太顺利， 
所以我才想活动活动身体，好整理一下思路。"
MID_GR_Alfred_A_#003,"[阿尔弗雷德] 
为了国家的将来，得想个万全之策才行…… 
不然我哪还有脸来见一直庇护着费列聂的你呢。"
MID_GR_Alfred_A_#004,"[赛莉卡] 
……谢谢你，阿尔弗雷德。 
呵呵，今天我就陪你一起跑步好了。"
MID_GR_Alfred_B_#001,"[阿尔弗雷德] 1 
[赛莉卡] 2 
[赛莉卡] 
阿尔弗雷德……天都没亮呢。 
你一大清早的有什么事吗？"
MID_GR_Alfred_B_#002,"[阿尔弗雷德] 
我正打算去巡视一圈， 
之后再开始每天的跑步锻炼。赛莉卡，你要一起来吗？"
MID_GR_Alfred_C_#001,"[阿尔弗雷德] 1 
[赛莉卡] 2 
[阿尔弗雷德] 
原来托管在我国的戒指里，住着这么厉害的纹章士啊。 
能与你对话是我的荣幸。"
MID_GR_Alfred_C_#002,"[赛莉卡] 
这也是我的荣幸，阿尔弗雷德。 
让我们同心协力，为世界带来和平吧。"
MID_GR_Anna_A_#001,"[安娜] 1 
[赛莉卡] 2 
[安娜] 
赛莉卡，你看、你看！ 
我做了新商品哦！"
MID_GR_Anna_A_#002,"[赛莉卡] 
哦，是什么样的商品？"
MID_GR_Anna_A_#003,"[安娜] 
把木柴放在这里，把斧头插进去，再把石头放到这沟上…… 
好了！接着就会自动砍柴啦！很省力吧？！"
MID_GR_Anna_A_#004,"[赛莉卡] 
……的确很省力呢。 
不过，我觉得自己动手砍可能会更快吧……"
MID_GR_Anna_B_#001,"[安娜] 1 
[赛莉卡] 2 
[赛莉卡] 
安娜……不对，安娜小姐。 
你找到失散家人的线索了吗？"
MID_GR_Anna_B_#002,"[安娜] 
完全没找到……不过我不担心， 
因为我相信大家一定都平安无事！"
MID_GR_Anna_C_#001,"[安娜] 1 
[赛莉卡] 2 
[安娜] 
一夕致富！生意兴隆！ 
为了庆祝与你相遇，今天我就破例大特价喽！"
MID_GR_Anna_C_#002,"[赛莉卡] 
哎呀，真可爱的店面。 
机会难得，我就逛逛吧。"
