key,text
MID_RELIANCE_A_#001,"[路易] 1 
[洁德] 2 

[洁德] 
对了，路易， 
我有件事想问你。"
MID_RELIANCE_A_#002,"[路易] 
洁德小姐，请问有什么事？"
MID_RELIANCE_A_#003,"[洁德] 
你接近我的目的是什么……？"
MID_RELIANCE_A_#004,"[洁德] 
你好像打探了很多关于我的事， 
令我非常在意。"
MID_RELIANCE_A_#005,"[路易] 
…………"
MID_RELIANCE_A_#006,"[洁德] 
你知道吗？ 
优秀的情报员会先用花言巧语接近目标……"
MID_RELIANCE_A_#007,"[洁德] 
等到一步步建立信赖关系后， 
再从放下戒心的敌人口中套出情报。"
MID_RELIANCE_A_#008,"[洁德] 
你我两国虽有盟约， 
但你终究是他国士兵……因此我不能排除这个可能性。"
MID_RELIANCE_A_#009,"[路易] 
洁德小姐果然厉害……"
MID_RELIANCE_A_#010,"[洁德] 
哦，看来不好的预感成真了……"
MID_RELIANCE_A_#011,"[路易] 
不，大错特错， 
我不是什么情报员。"
MID_RELIANCE_A_#012,"[洁德] 
咦……？"
MID_RELIANCE_A_#013,"[路易] 
那句“洁德小姐果然厉害”， 
是在称赞您的想象力。"
MID_RELIANCE_A_#014,"[路易] 
这证明您是一位才华横溢的作家。"
MID_RELIANCE_A_#015,"[洁德] 
你，你不要岔开话题…… 
我是在问你接近我的理由。"
MID_RELIANCE_A_#016,"[路易] 
是为了跟您交朋友哦。"
MID_RELIANCE_A_#017,"[洁德] 
真的只有这样？"
MID_RELIANCE_A_#018,"[路易] 
是的，就只有这样。"
MID_RELIANCE_A_#019,"[路易] 
我之所以打探您的事情， 
是为了找话题跟您聊天而已。"
MID_RELIANCE_A_#020,"[路易] 
您不觉得了解彼此很重要吗？ 
像是国家、文化、价值观……"
MID_RELIANCE_A_#021,"[路易] 
我们跨越了这些隔阂， 
才能像现在这样并肩奋战。"
MID_RELIANCE_A_#022,"[路易] 
这些都建立在身为命运共同体的我们 
成为朋友的前提下。"
MID_RELIANCE_A_#023,"[洁德] 
的确如此……"
MID_RELIANCE_A_#024,"[洁德] 
加深彼此的了解， 
才能建立更坚定的友谊。"
MID_RELIANCE_A_#025,"[路易] 
没错，而我相信这份友谊 
在战争结束后也一定会延续下去。"
MID_RELIANCE_A_#026,"[洁德] 
路易，很抱歉怀疑了你。"
MID_RELIANCE_A_#027,"[洁德] 
我也想多了解你， 
让我们好好相处吧。"
MID_RELIANCE_A_#028,"[路易] 
那就让我泡一壶上好的红茶， 
我们边喝边聊吧。"
MID_RELIANCE_A_#029,"[洁德] 
嗯，好啊。 
谢谢你，路易。"
MID_RELIANCE_B_#001,"[路易] 1 
[洁德] 2 

[洁德] 
…………"
MID_RELIANCE_B_#002,"[路易] 
您觉得一群可爱的女孩 
一起开开心心聊天的故事怎么样？"
MID_RELIANCE_B_#003,"[洁德] 
你没头没脑的在说什么……"
MID_RELIANCE_B_#004,"[路易] 
我看您眉头深锁， 
以为您在烦恼小说没灵感嘛。"
MID_RELIANCE_B_#005,"[洁德] 
看来继续瞒着你也没有意义了……"
MID_RELIANCE_B_#006,"[洁德] 
嗯，你说得没错。 
关于下一部作品的题材，我还拿不定主意。"
MID_RELIANCE_B_#007,"[路易] 
那正好， 
您就用我的提案吧。"
MID_RELIANCE_B_#008,"[洁德] 
嗯……是要我写一篇 
女孩们共患难后感情越来越好的故事？"
MID_RELIANCE_B_#009,"[路易] 
只要有女孩们谈笑风生的情节， 
我就心满意足了。"
MID_RELIANCE_B_#010,"[洁德] 
女孩们谈笑风生…… 
这样就够了？"
MID_RELIANCE_B_#011,"[路易] 
对，这样就够了， 
一定会成为经典名著的。"
MID_RELIANCE_B_#012,"[洁德] 
路易，故事是需要起承转合的。"
MID_RELIANCE_B_#013,"[路易] 
难道起承转合就一定比较重要吗？"
MID_RELIANCE_B_#014,"[洁德] 
咦？"
