key,text
MID_RELIANCE_A_#001,"[クラン] 1 

[ルイ] 2 
[ルイ] 
うっ…うぅ…なんということだ…"
MID_RELIANCE_A_#002,"[クラン] 
ルイさん、どうしたの？"
MID_RELIANCE_A_#003,"[ルイ] 
悲しいのです… 
貴方たちの筋肉鍛錬が終わってしまったので…"
MID_RELIANCE_A_#004,"[クラン] 
なんで鍛錬が終わったこと、知ってるの？"
MID_RELIANCE_A_#005,"[ルイ] 
それは僕があの場にいたからです…"
MID_RELIANCE_A_#006,"[クラン] 
えっ！？ 
全然気付かなかった。"
MID_RELIANCE_A_#007,"[ルイ] 
偶然、お二人を見つけたので 
離れた場所から警護していたのです…"
MID_RELIANCE_A_#008,"[クラン] 
そうだったんだ。ありがとう。"
MID_RELIANCE_A_#009,"[ルイ] 
貴方たちの関係は本当に素敵でした…"
MID_RELIANCE_A_#010,"[ルイ] 
さわやかな正統派王子と、 
幼さが残る美形少年が紡ぎ出す、心地よい空気感…"
MID_RELIANCE_A_#011,"[ルイ] 
光る汗…ほとばしる笑顔… 
こちらが赤面するほどの互いの気遣い…"
MID_RELIANCE_A_#012,"[ルイ] 
あぁ… 
貴方たちの筋肉鍛錬が僕の新境地を拡げてくれたのに…"
MID_RELIANCE_A_#013,"[クラン] 
アルフレッド王子、 
また別の人に筋肉鍛錬を個人指導するみたいだよ。"
MID_RELIANCE_A_#014,"[ルイ] 
…え！？"
MID_RELIANCE_A_#015,"[クラン] 
で、僕も別の人を見つけて、 
王子から教わったことを伝えていく予定なんだ。"
MID_RELIANCE_A_#016,"[ルイ] 
…終わってなかった。"
MID_RELIANCE_A_#017,"[クラン] 
へ？"
MID_RELIANCE_A_#018,"[ルイ] 
終わったと思ったら、始まっていた… 
ただ始まっていただけではない…二つに倍加していた…"
MID_RELIANCE_A_#019,"[ルイ] 
きっと、この二つはさらに倍加する… 
あぁ…なんという尊さの無限増殖…"
MID_RELIANCE_A_#020,"[ルイ] 
これら全ての現場において、僕は警護という名の 
慎ましい壁になろう…そうだ…ぜひともそうしよう…"
MID_RELIANCE_A_#021,"[クラン] 
あの…大丈夫？"
MID_RELIANCE_A_#022,"[ルイ] 
え…ええ！　もちろんです…！"
MID_RELIANCE_A_#023,"[ルイ] 
では、次の筋肉鍛錬のご予定が決まり次第、 
教えてください。"
MID_RELIANCE_A_#024,"[ルイ] 
貴方たちの尊い活動、心から応援しています。 
今後ともしっかり楽しませていただき…"
MID_RELIANCE_A_#025,"[ルイ] 
間違えました。 
しっかり警護させていただきますので。"
MID_RELIANCE_A_#026,"[クラン] 
うん、ありがとう。 
ルイさんは優しいなあー！"
MID_RELIANCE_B_#001,"[クラン] 1 

[ルイ] 2 
[ルイ] 
ふむ… 
なるほどなるほど。やっと読めてきましたよ。"
MID_RELIANCE_B_#002,"[ルイ] 
クランさんは美形で、幼さの中に 
しっかり者の芯の強さが見て取れる…"
MID_RELIANCE_B_#003,"[ルイ] 
王子は恐らくそこに惹かれ、二人きりで会いたいと… 
筋肉鍛錬はあくまで口実。可能性としてなくはない。"
MID_RELIANCE_B_#004,"[ルイ] 
いい。いいです。 
王子とクランさん、ありです。"
MID_RELIANCE_B_#005,"[クラン] 
ルイさん…どうしたの？ 
遠い目をしてブツブツと…"
MID_RELIANCE_B_#006,"[ルイ] 
はっ！？ 
あ、ああ…なんでもありません！"
MID_RELIANCE_B_#007,"[ルイ] 
それより王子との筋肉鍛錬はどうでしたか？"
MID_RELIANCE_B_#008,"[クラン] 
楽しく過ごせたよ。 
ルイさんのおかげで、失礼なこともしなかった！"
MID_RELIANCE_B_#009,"[クラン] 
アルフレッド王子はいつも以上に優しくて、 
手取り足取り筋肉鍛錬のやり方を教えてくれたんだ。"
MID_RELIANCE_B_#010,"[ルイ] 
な、なんですと！！！？"
MID_RELIANCE_B_#011,"[ルイ] 
ちょっ…いつも以上に優しくてと… 
その部分について、詳しくお聞きしてもいいですか？"
MID_RELIANCE_B_#012,"[クラン] 
うん、いいけど。"
MID_RELIANCE_B_#013,"[ルイ] 
その優しさは、仲間に対してのものでしたか…？ 
それとも、何か別の感情が読み取れるような…？"
MID_RELIANCE_B_#014,"[クラン] 
別の感情？ 
あぁ、そういうことか。"
MID_RELIANCE_B_#015,"[クラン] 
仲間っていうよりは、 
お兄ちゃんっていう感じの優しさだったよ。"
MID_RELIANCE_B_#016,"[ルイ] 
お、お兄ちゃん！！"
MID_RELIANCE_B_#017,"[ルイ] 
兄と弟…禁断の関係… 
これも僕の新たな領域…しかし悪くない…！！"
MID_RELIANCE_B_#018,"[クラン] 
どうしたの？　足がふらふらだよ。"
MID_RELIANCE_B_#019,"[ルイ] 
いえ。なんでもありません。忘れてください。"
MID_RELIANCE_B_#020,"[クラン] 
そうだ。また筋肉鍛錬をやるんだけど、 
ルイさんも興味があったら来る？"
MID_RELIANCE_B_#021,"[ルイ] 
行きません！　どうぞお二人きりで！！ 
そんな尊いものを壊すような真似はできません！"
MID_RELIANCE_B_#022,"[ルイ] 
心ゆくまで筋肉鍛錬を楽しんできてください。 
僕も全力で妄想を膨らませておきますので。"
MID_RELIANCE_C_#001,"[クラン] 1 

[ルイ] 2 
[クラン] 
アルフレッド王子、ご機嫌いかがですか？ 
今日はお招きいただき、ありがとうございます。"
MID_RELIANCE_C_#002,"[クラン] 
うーん…なんか固いような… 
もうちょっと柔らかいほうがいいかな…"
MID_RELIANCE_C_#003,"[ルイ] 
どうしたのですか？"
MID_RELIANCE_C_#004,"[クラン] 
わわ、びっくりした！"
MID_RELIANCE_C_#005,"[ルイ] 
驚かせてしまってすみません。 
我が国の王子の名を口にされていたので…"
MID_RELIANCE_C_#006,"[クラン] 
アルフレッド王子に誘われたんだ。 
筋肉鍛錬を一緒にやらないかって。"
MID_RELIANCE_C_#007,"[クラン] 
だけど二人きりで会うのって 
初めてだし、なんか緊張しちゃって…"
MID_RELIANCE_C_#008,"[ルイ] 
二人きりなんですか？"
MID_RELIANCE_C_#009,"[クラン] 
そうだよ。"
MID_RELIANCE_C_#010,"[ルイ] 
ふむ。一人でもなく大人数でもない。 
二人きりで筋肉鍛錬…これはどういう意味なのか…"
MID_RELIANCE_C_#011,"[クラン] 
特に深い意味はないと思うけど…"
MID_RELIANCE_C_#012,"[ルイ] 
まあ、その話はいいです。 
つまり王子への挨拶を練習していた、と。"
MID_RELIANCE_C_#013,"[クラン] 
うん！ 
失礼があったらいけないからね。"
MID_RELIANCE_C_#014,"[クラン] 
ルイさん、もしよかったら… 
僕の話し方とか、見てもらえない？"
MID_RELIANCE_C_#015,"[クラン] 
ルイさんをアルフレッド王子だと思って話すから、 
気になったところがあったら助言してほしいんだ。"
MID_RELIANCE_C_#016,"[ルイ] 
ええ、もちろんいいですよ。 
では早速、始めましょう。"
