key,text
MID_RELIANCE_A_#001,"[アイビー] 1 
[ヴェイル] 2 

[ヴェイル] 
アイビー。 
この間の償いのことなんだけど…"
MID_RELIANCE_A_#002,"[ヴェイル] 
ごめんなさい。 
わたし、ただ美味しく食事をしただけで。"
MID_RELIANCE_A_#003,"[アイビー] 
まだそんなことを言ってるのね… 
いい加減にしないと怒るわよ。"
MID_RELIANCE_A_#004,"[ヴェイル] 
でも…"
MID_RELIANCE_A_#005,"[アイビー] 
聞きなさい。 
ヴェイル王女。"
MID_RELIANCE_A_#006,"[アイビー] 
確かに私の父は邪竜に魅入られ、 
人の道を踏み外したわ…"
MID_RELIANCE_A_#007,"[アイビー] 
でも、それは貴方のせいじゃない。"
MID_RELIANCE_A_#008,"[ヴェイル] 
…………"
MID_RELIANCE_A_#009,"[アイビー] 
納得できない。 
そんな顔をしているわね。"
MID_RELIANCE_A_#010,"[アイビー] 
私も何度も言われたわ。 
父の罪は、お前の罪ではないと…"
MID_RELIANCE_A_#011,"[アイビー] 
一度として… 
納得はできなかった。"
MID_RELIANCE_A_#012,"[ヴェイル] 
うん…"
MID_RELIANCE_A_#013,"[アイビー] 
理不尽で、不可解よね。"
MID_RELIANCE_A_#014,"[アイビー] 
私は貴方に… 
父親の罪を背負う必要はないと言っているわ。"
MID_RELIANCE_A_#015,"[アイビー] 
私自身…その言葉が納得できないものだと、 
痛いほどわかっているのに。"
MID_RELIANCE_A_#016,"[アイビー] 
でも…そう言うしかないじゃない… 
私も貴方も…前を向いて…進まなくちゃ…"
MID_RELIANCE_A_#017,"[ヴェイル] 
アイビー…"
MID_RELIANCE_A_#018,"[ヴェイル] 
わかったわ。 
もう償いたいとは言わない。"
MID_RELIANCE_A_#019,"[ヴェイル] 
その代わりにこう言わせて。"
MID_RELIANCE_A_#020,"[ヴェイル] 
人々が笑顔になれる世界を… 
これから一緒に作っていきたい、と。"
MID_RELIANCE_A_#021,"[アイビー] 
ヴェイル王女…"
MID_RELIANCE_A_#022,"[ヴェイル] 
あなたへの償いかどうかは、 
もう考えない。"
MID_RELIANCE_A_#023,"[ヴェイル] 
同じ苦しみを知っている者同士、 
助け合って生きていきたいって思ったの。"
MID_RELIANCE_A_#024,"[ヴェイル] 
どうかな？"
MID_RELIANCE_A_#025,"[アイビー] 
ええ、 
喜んで貴方の手を取るわ…"
MID_RELIANCE_A_#026,"[アイビー] 
ありがとう、ヴェイル王女…"
MID_RELIANCE_A_#027,"[ヴェイル] 
ありがとう、アイビー。"
MID_RELIANCE_B_#001,"[アイビー] 1 
[ヴェイル] 2 

[ヴェイル] 
…アイビー。 
これって…"
MID_RELIANCE_B_#002,"[アイビー] 
後悔しても遅いわ… 
償いがしたいと言ったのは貴方なのだから。"
MID_RELIANCE_B_#003,"[ヴェイル] 
でも…"
MID_RELIANCE_B_#004,"[アイビー] 
言い訳は聞きたくないわ。"
MID_RELIANCE_B_#005,"[アイビー] 
さあ、償いとして完食してもらうわよ。 
この激辛料理を…"
MID_RELIANCE_B_#006,"[ヴェイル] 
…………"
MID_RELIANCE_B_#007,"[アイビー] 
恐ろしくて声も出ないようね。"
MID_RELIANCE_B_#008,"[アイビー] 
でも、安心しなさい。 
かわいそうだから一口でも食べたら許してあげるわ…"
MID_RELIANCE_B_#009,"[アイビー] 
そもそも償いなんて必要ないのに… 
こうでもしないと貴方が納得しないから…"
MID_RELIANCE_B_#010,"[ヴェイル] 
もぐもぐぱくぱく！"
MID_RELIANCE_B_#011,"[アイビー] 
…待って。"
MID_RELIANCE_B_#012,"[アイビー] 
なんで美味しそうに食べてるのよ… 
かなり辛い料理を用意したのに…"
MID_RELIANCE_B_#013,"[ヴェイル] 
わたし、辛い食べ物が大好物なの。"
MID_RELIANCE_B_#014,"[アイビー] 
えっ…"
MID_RELIANCE_B_#015,"[アイビー] 
でも確か、お父様は… 
「あの方は辛い食べ物を嫌悪される」と…"
MID_RELIANCE_B_#016,"[アイビー] 
聞き間違いだったのかしら…？"
MID_RELIANCE_B_#017,"[ヴェイル] 
ど、どうしよう… 
美味しくて手が止まらない。"
MID_RELIANCE_B_#018,"[ヴェイル] 
こんな思いをしていたら、 
償いなんかにならないのに。"
MID_RELIANCE_B_#019,"[ヴェイル] 
うっ…うう… 
美味しいけど…悲しくなってきた…"
MID_RELIANCE_B_#020,"[アイビー] 
…ま、いいわ。"
MID_RELIANCE_B_#021,"[アイビー] 
美味しく食べられるのなら、 
それに越したことはないし…"
MID_RELIANCE_B_#022,"[アイビー] 
なんか、あんなに泣いてるし…"
MID_RELIANCE_B_#023,"[アイビー] 
ヴェイル王女。 
これで貴方の償いは終了よ。"
MID_RELIANCE_B_#024,"[ヴェイル] 
そ、そんな！ 
そんなわけにはいかないわ。"
MID_RELIANCE_B_#025,"[ヴェイル] 
もう、食べるのはやめる。 
これ以上普通に食事をするわけにはいかないもの。"
MID_RELIANCE_B_#026,"[アイビー] 
それは勿体ないから… 
良かったら全部食べて頂戴…"
