key,text
MID_DIE_Anna,"[安娜] t 
[安娜] Pain 
[安娜] 
我还想……继续做生意……还有…… 
好想和失散的家人……团聚……啊……"
MID_DIE_Bonet,"[波聂] t 
[波聂] Pain 
[波聂] 
败北的滋味……还真是苦涩啊…… 
为了品尝这味道……我竟然……"
MID_DIE_Boucheron,"[布修隆] t 

[布修隆] Pain 

[布修隆] 
请不要……为我流泪…… 
直到最后……我都无怨无悔……"
MID_DIE_CASUAL_Alfred,"[阿尔弗雷德] t 
[阿尔弗雷德] Pain 
[阿尔弗雷德] 
看来是我锻炼得还不够呢…… 
抱歉，我先撤退了……"
MID_DIE_CASUAL_Anna,"[安娜] t 
[安娜] Pain 
[安娜] 
呜呜……太过分了……！ 
我才没哭呢！我只是要撤退……！"
MID_DIE_CASUAL_Bonet,"[波聂] t 
[波聂] Pain 
[波聂] 
还是先撤退吧……留在这里…… 
就只能全军覆没了……"
MID_DIE_CASUAL_Boucheron,"[布修隆] t 

[布修隆] Pain 

[布修隆] 
非常抱歉……我受了重伤…… 
布修隆在此先行撤退……"
MID_DIE_CASUAL_Celine,"[锡莉奴] t 
[锡莉奴] Pain 

[锡莉奴] 
为了和平……我必须战斗…… 
虽然不甘心，但现在只能撤退了……"
MID_DIE_CASUAL_Chloe,"[克萝艾] t 
[克萝艾] Pain 
[克萝艾] 
真伤脑筋……这样可没办法战斗呢…… 
我还是先退到后方吧……"
MID_DIE_CASUAL_Citrinica,"[希特丽妮卡] t 

[希特丽妮卡] Pain 

[希特丽妮卡] 
我的实力果然还不够啊…… 
撤退只是一时之计……我一定会重振旗鼓再次迎战的……"
MID_DIE_CASUAL_Clan,"[柯岚] t 
[柯岚] Pain 
[柯岚] 
这样下去可就没资格当守护者了啊…… 
为了不妨碍大家，我还是先撤退吧……"
MID_DIE_CASUAL_Diamand,"[帝亚曼德] t 
[帝亚曼德] Pain 
[帝亚曼德] 
要是命丧此地……就永无胜算了…… 
为了布罗帝亚……只好……撤退……"
MID_DIE_CASUAL_Etie,"[艾媞耶] t 

[艾媞耶] Pain 

[艾媞耶] 
我竟然会败得如此难堪…… 
撤退后可要重新锻炼一番了……"
MID_DIE_CASUAL_Fogato,"[佛贾特] t 

[佛贾特] Pain 

[佛贾特] 
看来我太得意忘形了…… 
为了不拖累大家，还是先撤退吧……"
MID_DIE_CASUAL_Fram,"[芙岚] t 
[芙岚] Pain 
[芙岚] 
虽然很想待在神龙大人身边，但我实在撑不下去了…… 
非常抱歉，我先撤退了……！"
MID_DIE_CASUAL_Goldmary,"[戈尔德玛莉] t 
[戈尔德玛莉] Pain 
[戈尔德玛莉] 
咦……？我居然输了？……咦……？ 
简直不敢相信……我先撤退了……"
MID_DIE_CASUAL_Hortensia,"[奥尔坦希亚] t 
[奥尔坦希亚] Pain 
[奥尔坦希亚] 
好不甘心……！人家最讨厌输了…… 
这次就先撤退了……下次一定会赢……！"
MID_DIE_CASUAL_Ivy,"[艾比] t 
[艾比] Pain 

[艾比] 
继续战斗下去并非明智之举…… 
神龙大人……非常抱歉，我要撤退了……"
MID_DIE_CASUAL_Jade,"[洁德] t 
[洁德] Pain 

[洁德] 
……看来只能乖乖地撤退了。 
我和手中的盾牌……还不能倒下……"
MID_DIE_CASUAL_Jean,"[贾恩] t 
[贾恩] Pain 
[贾恩] 
看这伤势……我应该还有救吧…… 
抱歉呀，我要先去后方疗伤了……"
MID_DIE_CASUAL_Kagetsu,"[花月] t 
[花月] Pain 
[花月] 
余技不如人，才会吞下如此败果…… 
容余退战重振旗鼓……方可一雪前耻……！"
MID_DIE_CASUAL_Lapis,"[菈琵思] t 
[菈琵思] Pain 
[菈琵思] 
撤退并非出自我的本意…… 
只是常言道……留得青山在，何愁没柴烧……"
MID_DIE_CASUAL_Linden,"[霖丹] t 
[霖丹] Pain 

[霖丹] 
亡妻对老夫说……现在可不是重逢的时候…… 
先撤退了……这条老命还有可用之处……"
MID_DIE_CASUAL_Louis,"[路易] t 
[路易] Pain 
[路易] 
非常抱歉……我先撤退了…… 
我还得守护百合蔷薇之园呢……"
MID_DIE_CASUAL_Lueur,"[琉尔] b 
[琉尔] Pain 

[琉尔] 
暂且……先撤退了……"
MID_DIE_CASUAL_Mauve,"[莫布] t 
[莫布] Pain 
[莫布] 
身为贝珥大人的骑士……我不能死…… 
十分抱歉，神龙大人……请容我撤退吧……"
MID_DIE_CASUAL_Merin,"[玫琳] t 
[玫琳] Pain 
[玫琳] 
让您见笑了…… 
我还是乖乖地撤退吧……"
MID_DIE_CASUAL_Misutira,"[蜜丝提拉] t 

[蜜丝提拉] Pain 

[蜜丝提拉] 
啊哈哈……已经没力气战斗了…… 
抱歉，我先撤退了……"
