key,text
MID_RELIANCE_A_#001,"[セリーヌ] 1 

[セリーヌ] 
ええと、この野草は乾燥させて 
食べるときは水で戻せばいいのだったわね。"
MID_RELIANCE_A_#002,"[セリーヌ] 
こちらの苔は乾燥させて粉末にすれば 
腹痛に効く飲み薬になる、と。"
MID_RELIANCE_A_#003,"[セリーヌ] 
それから、この野草はお茶にできて…"
MID_RELIANCE_A_#004,"[ラピス] 2 
[ラピス] 
セリーヌ王女。 
何を書かれているんですか？"
MID_RELIANCE_A_#005,"[セリーヌ] 
ちょうどいいところにきてくれたわ。 
この間、ラピスから得た知識を書にまとめているの。"
MID_RELIANCE_A_#006,"[セリーヌ] 
抜けている情報があったら 
教えて欲しいと思っているのだけれど…"
MID_RELIANCE_A_#007,"[ラピス] 
それはもちろん喜んで。 
ですが、なぜセリーヌ王女がそんなことを？"
MID_RELIANCE_A_#008,"[セリーヌ] 
万が一の備え、かしら。"
MID_RELIANCE_A_#009,"[ラピス] 
どういうことですか？　食料でも薬でも、 
まだ沢山備えがあったと思いますが…"
MID_RELIANCE_A_#010,"[セリーヌ] 
わたしたちではなく、民のためよ。"
MID_RELIANCE_A_#011,"[ラピス] 
民のため？"
MID_RELIANCE_A_#012,"[セリーヌ] 
フィレネは豊穣な土地が多い国だけれど、 
いつ何が起こるかはわからないわ。"
MID_RELIANCE_A_#013,"[セリーヌ] 
天災や戦争、土地が痩せてしまう原因は 
いくらでもあるもの。"
MID_RELIANCE_A_#014,"[セリーヌ] 
そんなときに、ラピスに教えてもらった知識が 
少しでも役に立つかもしれないと思ったの。"
MID_RELIANCE_A_#015,"[ラピス] 
そ、そうだったんですか… 
そんな大きなことを考えていらしたなんて。"
MID_RELIANCE_A_#016,"[セリーヌ] 
もちろんラピスにだけ負担はかけないわ。 
他の皆からも情報をもらうつもりでいるし…"
MID_RELIANCE_A_#017,"[セリーヌ] 
ラピスにも公務があることは理解しているから、 
あまり時間は取らせないつもりよ。"
MID_RELIANCE_A_#018,"[ラピス] 
いいえ。あたしで良ければいくらでも。 
ぜひ協力させてください。"
