key,text
MID_FORTUNE_BAD_01,"[赛安达斯] t 
[赛安达斯] Normal 

[赛安达斯] 
这是“孤立”卡……今天还是不要一个人独处比较好哦。 
和你在乎的那个人一起下水游个泳，或许对你会有所帮助。"
MID_FORTUNE_BAD_01_S,"[赛安达斯] t 
[赛安达斯] Sad 

[赛安达斯] 
是“孤立”卡啊……还是不要一个人独处比较好。 
去找在乎的那个人一起在索拉涅尔边唱歌边散步吧。"
MID_FORTUNE_BAD_02,"[赛安达斯] t 
[赛安达斯] Normal 

[赛安达斯] 
这是“恶评”卡……你或许会听到一些自己的奇怪谣言。 
让别人看见你对在乎的那个人好的一面就能化解此危机。"
MID_FORTUNE_BAD_02_S,"[赛安达斯] t 
[赛安达斯] Sad 

[赛安达斯] 
是“恶评”卡啊……看来之前偷吃东西的事情被发现了。 
去在乎的那个人面前强调自己最近吃得很少吧。"
MID_FORTUNE_BAD_03,"[赛安达斯] t 
[赛安达斯] Normal 

[赛安达斯] 
这是“歉收”卡……今天不管种什么都会立刻枯萎哦。 
和你在乎的那个人一起翻翻土，等今天过去才是上策。"
MID_FORTUNE_BAD_03_S,"[赛安达斯] t 
[赛安达斯] Sad 

[赛安达斯] 
是“歉收”卡啊……今天要是碰到植物就输了。 
把用餐时出现的蔬菜，全都移到在乎的那个人的餐盘里吧。"
MID_FORTUNE_BAD_04,"[赛安达斯] t 
[赛安达斯] Shy 

[赛安达斯] 
这是“乌云”卡……可能会有水或长枪等物从天而降。 
和你在乎的那个人共撑一把伞，或许就能逃过一劫哦。"
MID_FORTUNE_BAD_04_S,"[赛安达斯] t 
[赛安达斯] Sad 

[赛安达斯] 
是“乌云”卡啊……抽到就代表未来很有可能会掉到水里。 
赶快叫在乎的那个人带泳装过来吧。"
MID_FORTUNE_BAD_05,"[赛安达斯] t 
[赛安达斯] 
Angry 

[赛安达斯] 
这是“战乱”卡……今天你可能会和某人发生严重的争执。 
支持自己的人当然是越多越好，快去找你在乎的那个人吧！"
MID_FORTUNE_BAD_05_S,"[赛安达斯] t 
[赛安达斯] Sad 

[赛安达斯] 
是“战乱”卡啊……要是和在乎的那个人吵架的话， 
就献上手中珍藏的蜂蜜，然后趁隙脱逃吧。"
MID_FORTUNE_BAD_06,"[赛安达斯] t 
[赛安达斯] Normal 

[赛安达斯] 
这是“挫折”卡……你可能会碰到令自己想放弃一切之事。 
和你在乎的那个人用两人三脚绕着索拉涅尔走一圈试试吧。"
MID_FORTUNE_BAD_06_S,"[赛安达斯] t 
[赛安达斯] Sad 

[赛安达斯] 
是“挫折”卡啊……我有预感我会忍不住暴饮暴食。 
必须去给在乎的那个人责骂一顿，让自己的皮绷紧一点了。"
MID_FORTUNE_BAD_07,"[赛安达斯] t 
[赛安达斯] Sad 

[赛安达斯] 
这是“绝望”卡……遇上烦恼的事情可不能憋在心里哦。 
和你在乎的那个人一起在墙上凿个洞或许会有所帮助。"
MID_FORTUNE_BAD_07_S,"[赛安达斯] t 
[赛安达斯] Sad 

[赛安达斯] 
是“绝望”卡啊……今天心情要是变得消沉就不好了。 
和在乎的那个人一起点上蜡烛度过这一天吧。"
MID_FORTUNE_BAD_08,"[赛安达斯] t 
[赛安达斯] Surprise 

[赛安达斯] 
这是“背叛”卡……嗯？你说不记得曾被谁背叛过吗？ 
说不定你在乎的那个人偷吃了你特地留下来的点心哦。"
MID_FORTUNE_BAD_08_S,"[赛安达斯] t 
[赛安达斯] Sad 

[赛安达斯] 
是“背叛”卡啊……好了，谁是偷吃我的点心的犯人呢？ 
在乎的那个人好像有点可疑，赶快去找他对质吧。"
MID_FORTUNE_BAD_09,"[赛安达斯] t 
[赛安达斯] Sad 

[赛安达斯] 
这是“负伤”卡……你走在路上时可能会不小心跌倒哦。 
你在乎的那个人愿意替你治疗的话，或许能更快康复呢。"
