key,text
MID_RELIANCE_A_#001,"[ジェーデ] 1 
[ジャン] 2 
[ジャン] 
ジェーデさん！"
MID_RELIANCE_A_#002,"[ジェーデ] 
ジャン…"
MID_RELIANCE_A_#003,"[ジャン] 
ジェーデさんは誤解しとる！ 
自分はジェーデさんに怯えてなんかない！"
MID_RELIANCE_A_#004,"[ジェーデ] 
でも、貴方は… 
私が苦手って…"
MID_RELIANCE_A_#005,"[ジャン] 
違うんや。苦手やって言ったんは、 
そういう意味とちゃう！"
MID_RELIANCE_A_#006,"[ジャン] 
ジェーデさんが敵に容赦ないのは 
自分たちを守るためだって知ってる！"
MID_RELIANCE_A_#007,"[ジャン] 
でも、そのために 
ジェーデさんは戦場の最前線に立つから…"
MID_RELIANCE_A_#008,"[ジャン] 
…怪我も人より多く作って帰ってくるやろ。"
MID_RELIANCE_A_#009,"[ジェーデ] 
…！"
MID_RELIANCE_A_#010,"[ジャン] 
自分はそれが心配で… 
いつもいつも心配でたまらんのや…"
MID_RELIANCE_A_#011,"[ジェーデ] 
ジャン…"
MID_RELIANCE_A_#012,"[ジャン] 
誰かのために怪我を作ってくる人は、 
長生きできひん。"
MID_RELIANCE_A_#013,"[ジャン] 
だから、仲良くなるんが怖いんや。 
いつかおらんくなったら、って…"
MID_RELIANCE_A_#014,"[ジェーデ] 
…………"
MID_RELIANCE_A_#015,"[ジャン] 
けど… 
そんな考えはもうやめや。"
MID_RELIANCE_A_#016,"[ジャン] 
ジェーデさんがどんな怪我をしても、 
必ず自分が治す。"
MID_RELIANCE_A_#017,"[ジャン] 
誰かのために戦うあんたを 
自分は全力で支えたいんや！"
MID_RELIANCE_A_#018,"[ジェーデ] 
ジャン…"
MID_RELIANCE_A_#019,"[ジャン] 
ジェーデさん！ 
今までのことは全部、謝らせて欲しい！"
MID_RELIANCE_A_#020,"[ジャン] 
それでこれからは…"
MID_RELIANCE_A_#021,"[ジェーデ] 
ええ。一緒に戦いましょう。 
仲間として、友として。"
MID_RELIANCE_A_#022,"[ジャン] 
ああ。 
おおきに、ジェーデさん。"
MID_RELIANCE_A_#023,"[ジャン] 
友達になってくれて、 
ほんまに嬉しいで。"
MID_RELIANCE_B_#001,"[ジェーデ] 1 
[ジャン] 2 
[ジャン] 
ジェーデさん… 
この間は、ごめんなさい。"
MID_RELIANCE_B_#002,"[ジェーデ] 
…私に苦手だと言ったこと？"
MID_RELIANCE_B_#003,"[ジェーデ] 
気にしなくていいわ。 
でも、よければ理由を教えて欲しいの。"
MID_RELIANCE_B_#004,"[ジェーデ] 
私のような人が苦手だと言ってたけど… 
あれはどういう意味？"
MID_RELIANCE_B_#005,"[ジャン] 
それは…"
MID_RELIANCE_B_#006,"[ジャン] 
ジェーデさんは… 
冷酷非道な人やっていう噂やから。"
MID_RELIANCE_B_#007,"[ジェーデ] 
それは…間違いではないわね。"
MID_RELIANCE_B_#008,"[ジャン] 
戦う相手には一切の容赦をせず、 
徹底的に叩きのめす…それもほんまなん？"
MID_RELIANCE_B_#009,"[ジェーデ] 
…そうよ。"
MID_RELIANCE_B_#010,"[ジェーデ] 
ありがとう、もういいわ。 
言いたいことは理解できたから。"
MID_RELIANCE_B_#011,"[ジャン] 
ジェーデさん…？"
MID_RELIANCE_B_#012,"[ジェーデ] 
貴方はこの間まで… 
戦いとは無縁の暮らしをしていたものね。"
MID_RELIANCE_B_#013,"[ジェーデ] 
血生臭い兵士が苦手なのも、 
無理はないわ。"
MID_RELIANCE_B_#014,"[ジャン] 
ち、違うんや… 
そうじゃなくて…"
MID_RELIANCE_B_#015,"[ジェーデ] 
安心して。 
私は貴方を非難しないから。"
MID_RELIANCE_B_#016,"[ジェーデ] 
むしろその気持ちを理解して、 
これからは一定の距離を保つ努力をするわ。"
MID_RELIANCE_B_#017,"[ジェーデ] 
…………"
MID_RELIANCE_B_#018,"[ジェーデ] 
…今までごめんね。"
MID_RELIANCE_B_#019,"[ジェーデ] 
[ジャン] 
ジェーデさん！"
MID_RELIANCE_C_#001,"[ジェーデ] 1 
[ジャン] 2 

[ジェーデ] 
ジャン、こんにちは。"
MID_RELIANCE_C_#002,"[ジャン] 
ひっ！？ 
あ、あんたはジェーデさん！？"
MID_RELIANCE_C_#003,"[ジェーデ] 
どうしてそんなに怯えているの？ 
私はただあいさつしただけよ。"
MID_RELIANCE_C_#004,"[ジャン] 
べ、別に自分は… 
怯えてなんかいいひんで。"
MID_RELIANCE_C_#005,"[ジェーデ] 
…………"
MID_RELIANCE_C_#006,"[ジャン] 
よ、用が無いんやったら… 
もう行くしな…"
MID_RELIANCE_C_#007,"[ジェーデ] 
怯えているわね。 
私に。"
MID_RELIANCE_C_#008,"[ジェーデ] 
でも、なぜ？ 
怖がられる心当たりはないのだけれど。"
MID_RELIANCE_C_#009,"[ジャン] 
…………"
MID_RELIANCE_C_#010,"[ジャン] 
怖がってはない。 
ただ…苦手なんや。"
MID_RELIANCE_C_#011,"[ジェーデ] 
苦手… 
私のことが？"
MID_RELIANCE_C_#012,"[ジャン] 
自分は… 
お化けなんかは平気や。"
MID_RELIANCE_C_#013,"[ジャン] 
暗くて狭い部屋とか、 
虫とか獣も、全然怖くない。"
MID_RELIANCE_C_#014,"[ジャン] 
でも、でも…"
MID_RELIANCE_C_#015,"[ジェーデ] 
でも何？"
MID_RELIANCE_C_#016,"[ジャン] 
ジェーデさんみたいな人は… 
ちょっと苦手なんや…ごめんな！"
MID_RELIANCE_C_#017,"[ジャン] 

[ジェーデ] 
…行ってしまったわね。"
MID_RELIANCE_C_#018,"[ジェーデ] 
私みたいな人が苦手、か… 
どういうことなのかしら…"
