key,text
MID_WU_A_1_HELLO_#001,晚安。
MID_WU_A_1_HELLO_#002,现在许愿的话……
MID_WU_A_1_HELLO_#003,愿望说不定就会实现哦。
MID_WU_A_1_HELLO_#004,只要把愿望说出来就会成真。
MID_WU_A_1_HELLO_#005,您看，刚刚出现流星了……
MID_WU_A_1_IN_#001,神龙大人，今晚的星空非常美哦。
MID_WU_A_1_IN_#002,您要不要一起来占星呢？
MID_WU_A_1_SOON_#001,谢谢您答应我的邀请。
MID_WU_A_1_SOON_#002,从这个祭坛看到的天空也很棒呢……
MID_WU_A_1_SOON_#003,看着眼前这片无垠的天空……
MID_WU_A_1_SOON_#004,仿佛思绪也能徜徉其中呢。
MID_WU_A_1_WAKEUP_#001,神龙大人还在梦乡里啊……
MID_WU_A_1_WAKEUP_#002,您正在做着什么样的梦呢？
MID_WU_A_1_WAKEUP_#003,我很常梦到晚上月亮高挂的沙漠呢……
MID_WU_A_1_WAKEUP_#004,呵呵，我连在梦里也只想着看星星呢。
MID_WU_A_2_HELLO_#001,嗯，您醒了呢。
MID_WU_A_2_HELLO_#002,您觉得我幸福又美丽的样子怎么样？
MID_WU_A_2_HELLO_#003,这就是我所说的“更好的表现”……
MID_WU_A_2_HELLO_#004,我可没有食言哦。
MID_WU_A_2_IN_#001,今天早上我可以一边想着“吃得好饱～”一边跳舞哦。
MID_WU_A_2_SOON_#001,早安。
MID_WU_A_2_SOON_#002,为了让您更清醒……
MID_WU_A_2_SOON_#003,我来跳一段舞如何？
MID_WU_A_2_SOON_#004,因为我吃了喜欢的食物……
MID_WU_A_2_SOON_#005,所以要把幸福分享给您。
MID_WU_A_2_WAKEUP_#001,为了不想让神龙大人担心……
MID_WU_A_2_WAKEUP_#002,我早餐多吃了一些。
MID_WU_A_2_WAKEUP_#003,……这很难得哦？
MID_WU_A_2_WAKEUP_#004,要我改变自己的行动可不简单哦？
MID_WU_B_1_HELLO_#001,……如果方便的话，能请您今晚在这里……
MID_WU_B_1_HELLO_#002,看着我跳舞吗？
MID_WU_B_1_HELLO_#003,我想让您也看看……
MID_WU_B_1_HELLO_#004,我已经过世的师父跳的舞。
MID_WU_B_1_IN_#001,这个地方果然很适合跳舞啊……
MID_WU_B_1_SOON_#001,啊，我吵醒您了吗？
MID_WU_B_1_SOON_#002,我在找练习的场地，一不小心就……
MID_WU_B_1_SOON_#003,因为这里是祭坛……
MID_WU_B_1_SOON_#004,所以才建造得很适合献舞吧。
MID_WU_B_1_WAKEUP_#001,应该也有人在这里为神龙大人您献过舞吧……
MID_WU_B_1_WAKEUP_#002,真想让神龙大人您也看看我师父跳的舞呢。
MID_WU_B_1_WAKEUP_#003,他的舞姿……真的很美……
MID_WU_B_2_HELLO_#001,很抱歉在深夜来打扰您。
MID_WU_B_2_HELLO_#002,我肚子饿到很焦躁……
MID_WU_B_2_HELLO_#003,我想如果是神龙大人……
MID_WU_B_2_HELLO_#004,应该能温柔地守护着我……
MID_WU_B_2_HELLO_#005,所以就来了。
MID_WU_B_2_IN_#001,卡牌啊，告诉我……
MID_WU_B_2_IN_#002,我可以吃点东西当宵夜吗……！
MID_WU_B_2_SOON_#001,啊……对不起……
MID_WU_B_2_SOON_#002,我占卜的声音太大了吧。
MID_WU_B_2_SOON_#003,这里很安静，我应该要小声一点的……
MID_WU_B_2_SOON_#004,我先离开了。
MID_WU_B_2_WAKEUP_#001,虽然我现在的体型很完美，但只要一不注意我就会变胖。
MID_WU_B_2_WAKEUP_#002,那些怎么吃都吃不胖的的人真是可恨……
MID_WU_B_2_WAKEUP_#003,我也想，我也想……
MID_WU_B_2_WAKEUP_#004,在半夜吃奶油和蜂蜜啊……！
MID_WU_C_1_HELLO_#001,啊啊，早安。
MID_WU_C_1_HELLO_#002,你说很在意我刚刚的舞蹈？
MID_WU_C_1_HELLO_#003,那么等哪天晚上……
MID_WU_C_1_HELLO_#004,升起同样的月亮时……
MID_WU_C_1_HELLO_#005,我再为您跳舞吧。
MID_WU_C_1_IN_#001,居然要叫神龙大人起床，真是个令人感到不可思议的工作啊……
MID_WU_C_1_SOON_#001,哦，您该不会已经醒了吧？
MID_WU_C_1_SOON_#002,看来这次没有我出场的机会了。
MID_WU_C_1_WAKEUP_#001,叫不起来……看来得花一番功夫了呢。
MID_WU_C_1_WAKEUP_#002,真没办法，我一边跳舞一边等神龙大人醒来好了。
MID_WU_C_1_WAKEUP_#003,踏步、跳跃、在这里转圈……
MID_WU_C_1_WAKEUP_#004,嗯，真不错……
MID_WU_C_2_HELLO_#001,早安。
MID_WU_C_2_HELLO_#002,对了……例如……
MID_WU_C_2_HELLO_#003,会在路上偶然遇见喜欢的人。
MID_WU_C_2_HELLO_#004,嗯……
MID_WU_C_2_HELLO_#005,我知道说的不是我，再见了。
MID_WU_C_2_IN_#001,我早上占卜了一下。
MID_WU_C_2_IN_#002,出现了两个结果……要告诉您哪一个呢。
MID_WU_C_2_SOON_#001,我替马上起床的神龙大人抽到的是“勒·舍瓦尔”的卡牌……
MID_WU_C_2_SOON_#002,这是一张军马的卡牌。
MID_WU_C_2_SOON_#003,您今天似乎会很忙碌呢。
MID_WU_C_2_SOON_#004,请您穿戴上黄色的东西。
MID_WU_C_2_WAKEUP_#001,我替没有马上起床的神龙大人抽到的是“勒·佩加兹”的卡牌……
MID_WU_C_2_WAKEUP_#002,这是一张飞马的卡牌。
MID_WU_C_2_WAKEUP_#003,只要带着蓝色的东西……
MID_WU_C_2_WAKEUP_#004,可能就会有幸运降临在您身上。
MID_WU_C_2_WAKEUP_#005,例如……
MID_WU_S_1_HELLO_#001,太好了，我还在想要是您没醒的话该怎么办。
MID_WU_S_1_HELLO_#002,之后无论发生什么事，都请您一定要平安地活着。
MID_WU_S_1_HELLO_#003,请不要……比我早成为一颗星星。
MID_WU_S_1_IN_#001,我来接您啦，搭档。
MID_WU_S_1_IN_#002,好，在神龙大人醒来之前把卡牌整理好吧……
MID_WU_S_1_SOON_#001,早安，我就知道您一定会马上醒来的。
MID_WU_S_1_SOON_#002,不，我不是靠占卜知道的。
MID_WU_S_1_SOON_#003,……如果一直看着自己重要的人……
MID_WU_S_1_SOON_#004,当然会知道她的事情啊。
MID_WU_S_1_WAKEUP_#001,“勒·德斯坦”……是命运的卡片啊。
MID_WU_S_1_WAKEUP_#002,我和你会有这段特别的关系……
MID_WU_S_1_WAKEUP_#003,是早在几千年以前就决定好的。
MID_WU_S_1_WAKEUP_#004,从我在索尔姆的城塞……
MID_WU_S_1_WAKEUP_#005,看到您的第一眼起，星星就开始转动了。
MID_WU_S_1_WAKEUP_#006,这是多么美妙的事。
MID_WU_S_1_WAKEUP_#007,……是您将我们的命运牵在一起。
MID_WU_S_1_WAKEUP_#008,不要再离开我了……
MID_WU_S_2_HELLO_#001,早安。
MID_WU_S_2_HELLO_#002,来，醒了就来吃早餐吧。
MID_WU_S_2_HELLO_#003,……当然要吃啊。
MID_WU_S_2_HELLO_#004,因为我也很喜欢……
MID_WU_S_2_HELLO_#005,看着您幸福的样子。
MID_WU_S_2_IN_#001,总觉得神龙大人在用“约定戒指”呼唤我……
MID_WU_S_2_IN_#002,应该是我搞错了吧。
MID_WU_S_2_SOON_#001,咦？难道说……
MID_WU_S_2_SOON_#002,您真的想见我吗？
MID_WU_S_2_SOON_#003,……如果是的话，就太让我开心了。
MID_WU_S_2_SOON_#004,因为要是都只有我想见您的话就太不公平了。
MID_WU_S_2_WAKEUP_#001,这个世界上充满着不可思议的事情……
MID_WU_S_2_WAKEUP_#002,我现在会来到这里，或许也是因为神龙大人的指引呢。
MID_WU_S_2_WAKEUP_#003,机会难得，我献给您一段特别的舞吧。
MID_WU_S_2_WAKEUP_#004,只要跳了这段舞，就能唤回我们确认关系那天感受到的幸福。
MID_WU_S_2_WAKEUP_#005,我一直……很喜欢您。
MID_WU_S_2_WAKEUP_#006,我的心灵、身躯和舞蹈已经全都属于您了。
