key,text
MID_RELIANCE_A_#001,"[艾比] 1 
[莫布] 2 
[莫布] 
真不可思议。"
MID_RELIANCE_A_#002,"[莫布] 
我不太会向别人提起自己的往事。 
但在艾比殿下面前，就会不自觉地说出来呢。"
MID_RELIANCE_A_#003,"[艾比] 
我也是呢。 
不知为何，对你就能坦白说出口。"
MID_RELIANCE_A_#004,"[莫布] 
这样对彼此都是麻烦呢。"
MID_RELIANCE_A_#005,"[艾比] 
嗯，是啊。"
MID_RELIANCE_A_#006,"[艾比] 
继续深交下去…… 
恐怕会暴露自己的弱点。"
MID_RELIANCE_A_#007,"[莫布] 
或许那正是我们所期望的……"
MID_RELIANCE_A_#008,"[艾比] 
呵呵…… 
因为我们很像啊……"
MID_RELIANCE_A_#009,"[莫布] 
艾比殿下， 
我以前曾对你说过……"
MID_RELIANCE_A_#010,"[莫布] 
我会尽力让所有人接纳我，对吧？"
MID_RELIANCE_A_#011,"[艾比] 
嗯…… 
我记得……"
MID_RELIANCE_A_#012,"[莫布] 
但是…… 
这个想法或许不太对。"
MID_RELIANCE_A_#013,"[艾比] 
你的意思是？"
MID_RELIANCE_A_#014,"[莫布] 
就算没能获得所有人的认同， 
只要有一个人愿意接纳我……"
MID_RELIANCE_A_#015,"[莫布] 
那里就是我的容身之所， 
这就是我现在的想法。"
MID_RELIANCE_A_#016,"[莫布] 
因此，只要艾比殿下愿意接纳我……"
MID_RELIANCE_A_#017,"[莫布] 
我就能把这里当作是 
自己的容身之所。"
MID_RELIANCE_A_#018,"[艾比] 
这样啊…… 
那就好。"
MID_RELIANCE_A_#019,"[艾比] 
让我们也一起守护这里…… 
守护我们的容身之所吧……"
MID_RELIANCE_A_#020,"[莫布] 
是。"
MID_RELIANCE_A_#021,"[艾比] 
莫布…… 
我还能多跟你聊聊吗？"
MID_RELIANCE_A_#022,"[莫布] 
乐意至极，艾比殿下。"
MID_RELIANCE_B_#001,"[艾比] 1 
[莫布] 2 
[莫布] 
什么……"
MID_RELIANCE_B_#002,"[莫布] 
艾比殿下身在伊尔席翁王国， 
却不信仰邪龙，而是崇拜神龙吗？"
MID_RELIANCE_B_#003,"[艾比] 
嗯……"
MID_RELIANCE_B_#004,"[艾比] 
因为我身边那些阿谀奉承， 
满口谎言的大人们都信仰邪龙……"
MID_RELIANCE_B_#005,"[艾比] 
为了不想跟他们一样， 
我才在暗地里信仰神龙……"
MID_RELIANCE_B_#006,"[莫布] 
艾比殿下从小就胆识过人呢。"
MID_RELIANCE_B_#007,"[艾比] 
现在回想起来，的确是呢……"
MID_RELIANCE_B_#008,"[艾比] 
莫布也来自伊尔席翁对吧？ 
那么，你是信仰神龙喽？"
MID_RELIANCE_B_#009,"[莫布] 
不，其实我出生在费列聂。"
MID_RELIANCE_B_#010,"[莫布] 
小时候父亲就因病去世， 
之后便移居到伊尔席翁。"
MID_RELIANCE_B_#011,"[莫布] 
母亲对神龙再三祈祷，仍无法救回父亲。 
于是她在绝望之下改信邪龙，带我离开家乡……"
MID_RELIANCE_B_#012,"[艾比] 
原来如此……"
MID_RELIANCE_B_#013,"[艾比] 
你的母亲现在还好吗？"
MID_RELIANCE_B_#014,"[莫布] 
搬到伊尔席翁后不久， 
她就追随天上的父亲病逝了。"
MID_RELIANCE_B_#015,"[莫布] 
所以我是在伊尔席翁的教会 
和其他孤儿一起长大的。"
MID_RELIANCE_B_#016,"[艾比] 
抱歉…… 
让你想起这段伤心事……"
MID_RELIANCE_B_#017,"[莫布] 
不用在意， 
我本来就无意隐瞒。"
MID_RELIANCE_B_#018,"[莫布] 
不过……我虽然是邪龙信徒， 
却无法发自内心地崇拜邪龙。"
MID_RELIANCE_B_#019,"[莫布] 
或许是因为跟我的性格不符吧。"
MID_RELIANCE_B_#020,"[艾比] 
这样啊……"
MID_RELIANCE_B_#021,"[艾比] 
身处邪龙信徒之中…… 
却没有倾心于邪龙……"
MID_RELIANCE_B_#022,"[莫布] 
是的，这一点我们也很相似呢。"
MID_RELIANCE_B_#023,"[艾比] 
呵呵…… 
是啊……"
MID_RELIANCE_C_#001,"[艾比] 1 
[莫布] 2 

[艾比] 
莫布……"
MID_RELIANCE_C_#002,"[莫布] 
是艾比殿下啊， 
有什么事吗？"
MID_RELIANCE_C_#003,"[艾比] 
我想和你聊聊……"
MID_RELIANCE_C_#004,"[艾比] 
毕竟我们的处境相似……"
MID_RELIANCE_C_#005,"[莫布] 
处境相似…… 
啊，我明白了。"
MID_RELIANCE_C_#006,"[莫布] 
你的意思是…… 
我们都曾经与现在的伙伴为敌吧。"
MID_RELIANCE_C_#007,"[艾比] 
是的……"
