key,text
MID_RELIANCE_A_#001,"[Jade] 1 
[Rosado] 2 

[Jade] 
Heyo, rosey Rosado. Having a shucks-a- 
doodly day?"
MID_RELIANCE_A_#002,"[Rosado] 
Jade, you're incredible! Every greeting you give 
me is cuter than the last!"
MID_RELIANCE_A_#003,"[Jade] 
I must admit, this is a bit addictive. It's fun to 
turn this on without warning."
MID_RELIANCE_A_#004,"[Rosado] 
What a wonderful monster I've unleashed. 
Good for you!"
MID_RELIANCE_A_#005,"[Jade] 
Thank you. It's liberating to relax and be silly 
like this. I know I don't look the type..."
MID_RELIANCE_A_#006,"[Rosado] 
That's true. Your face is like a marble sculpture. 
Classy, majestic─beautifully mysterious."
MID_RELIANCE_A_#007,"[Jade] 
Sometimes I wonder if I should make an effort 
to express myself more."
MID_RELIANCE_A_#008,"[Rosado] 
That mysterious air is exactly what's unique 
about you. Don't you dare hide it."
MID_RELIANCE_A_#009,"[Jade] 
Well, shucks-a-doodles. I won't."
MID_RELIANCE_A_#010,"[Rosado] 
There she is! So cute I can barely stand it!"
MID_RELIANCE_A_#011,"[Jade] 
I'm glad this little experiment led to us getting 
to know each other, Rosado."
MID_RELIANCE_A_#012,"[Jade] 
I may not have found any secret wells of energy 
to help me write through the night..."
MID_RELIANCE_A_#013,"[Jade] 
But these ""cute lessons"" will definitely help me 
flesh out the quirks of some of my characters."
MID_RELIANCE_A_#014,"[Jade] 
It's been fun to think about what makes 
something cute. Interesting creative exercise."
MID_RELIANCE_A_#015,"[Jade] 
Thanks for sharing a bit of yourself. These chats 
have become very special to me."
MID_RELIANCE_A_#016,"[Rosado] 
..."
MID_RELIANCE_A_#017,"[Rosado] 
You are...the essence of cute."
MID_RELIANCE_A_#018,"[Rosado] 
The way your true feelings shine through... 
Like a sunbeam─pure and radiant."
MID_RELIANCE_A_#019,"[Jade] 
Thanks-a-doodles...but I still have a lot to learn 
from rosey-posey Rosado, cuteness maestro."
MID_RELIANCE_A_#020,"[Rosado] 
Hahaha! High praise! Thanks!"
MID_RELIANCE_B_#001,"[Jade] 1 
[Rosado] 2 

[Rosado] 
Ready, Jade? Today we set your best self loose."
MID_RELIANCE_B_#002,"[Jade] 
Set loose? I don't think I'm actively restraining 
any part of myself. I'm not sure what to do."
MID_RELIANCE_B_#003,"[Rosado] 
Do what comes naturally. Strike a pose, say a 
phrase─no wrong answers. Be you!"
MID_RELIANCE_B_#004,"[Jade] 
Hm. Very well."
MID_RELIANCE_B_#005,"[Jade] 
Uh... Shucks-a-doodles."
MID_RELIANCE_B_#006,"[Rosado] 
Perfect! Yes! You're beautiful!"
MID_RELIANCE_B_#007,"[Jade] 
Really? That did it?"
MID_RELIANCE_B_#008,"[Rosado] 
Really! Now, introduce yourself to me. Tell me 
who you are."
MID_RELIANCE_B_#009,"[Jade] 
Shucks-a-doodles, I'm jimmy-jammy Jade."
MID_RELIANCE_B_#010,"[Rosado] 
Jade! I promise, I don't say this to everyone. 
You're a natural. Over-the-top adorable!"
MID_RELIANCE_B_#011,"[Jade] 
Heh."
MID_RELIANCE_B_#012,"[Rosado] 
You OK? Something wrong?"
MID_RELIANCE_B_#013,"[Jade] 
I'm fine. That was my laugh."
MID_RELIANCE_B_#014,"[Jade] 
There's no way this tactic will help me work 
through the night. It's totally ridiculous."
MID_RELIANCE_B_#015,"[Rosado] 
Haha! Well, that's a shame. So does the road 
to cuteness end here for you?"
MID_RELIANCE_B_#016,"[Jade] 
I think not. I'm having a good time."
MID_RELIANCE_B_#017,"[Jade] 
I want to see how much further I can take this. 
It's definitely inspiring some new joke ideas."
MID_RELIANCE_B_#018,"[Rosado] 
Yes! I'm gonna be there every step of the way!"
MID_RELIANCE_C_#001,"[Jade] 1 
[Rosado] 2 

[Jade] 
Hello, Rosado. If you have a spare moment, 
there's something I'd like to ask you."
MID_RELIANCE_C_#002,"[Rosado] 
Let me guess. You wanna know the secret. 
How'd I get to be so cute?"
MID_RELIANCE_C_#003,"[Rosado] 
Sorry, I don't have an answer for you. I've 
always been adorable. I think it's destiny."
MID_RELIANCE_C_#004,"[Jade] 
No, that's not my question."
MID_RELIANCE_C_#005,"[Rosado] 
Aw."
MID_RELIANCE_C_#006,"[Jade] 
Your energy seems to be limitless. I heard you 
can work all night and be fine the following day."
MID_RELIANCE_C_#007,"[Rosado] 
Oh, that's true. Staying up all night is no big 
deal to me. I'm always fine the next day."
MID_RELIANCE_C_#008,"[Jade] 
Ah, I envy that. I'd like to be that way too."
MID_RELIANCE_C_#009,"[Jade] 
If I were able to work through the night, I could 
get so much more writing done."
MID_RELIANCE_C_#010,"[Jade] 
Can you give me some advice?"
MID_RELIANCE_C_#011,"[Rosado] 
Y'know... I've never really thought about it."
MID_RELIANCE_C_#012,"[Rosado] 
Pretty sure I just coast through the night on 
cuteness. I'm sure you could do it too!"
MID_RELIANCE_C_#013,"[Jade] 
Your energy comes from cuteness?"
MID_RELIANCE_C_#014,"[Jade] 
Strange...but I suppose it's worth a shot."
MID_RELIANCE_C_#015,"[Jade] 
I've never tried to be cute before. I'd really 
appreciate some pointers from a professional."
MID_RELIANCE_C_#016,"[Rosado] 
Jade...you came to the right place. Let's bring 
out your inner sparkle."
